name,email,city,state,website,type
"Gallagher Benefit Services","benefits@ajg.com","Rolling Meadows","IL","ajg.com","Large National Benefits Broker"
"Mercer","info@mercer.com","New York","NY","mercer.com","Large National Benefits Broker"
"Willis Towers Watson","contact@wtwco.com","Arlington","VA","wtwco.com","Large National Benefits Broker"
"Lockton Companies","info@lockton.com","Kansas City","MO","lockton.com","Large National Benefits Broker"
"NFP Corp","info@nfp.com","New York","NY","nfp.com","Large National Benefits Broker"
"OneDigital Health and Benefits","info@onedigital.com","Atlanta","GA","onedigital.com","Regional Benefits Consulting"
"Benefitfocus","partnerships@benefitfocus.com","Charleston","SC","benefitfocus.com","Benefits Administration Platform"
"TriNet","info@trinet.com","Dublin","CA","trinet.com","PEO"
"Insperity","info@insperity.com","Kingwood","TX","insperity.com","PEO"
"Justworks","partnerships@justworks.com","New York","NY","justworks.com","PEO"
"Paychex","info@paychex.com","Rochester","NY","paychex.com","PEO / Payroll"
"Rippling","partnerships@rippling.com","San Francisco","CA","rippling.com","HR Platform / Benefits Admin"
"Gusto","partnerships@gusto.com","San Francisco","CA","gusto.com","HR Platform / Benefits Admin"
"Zenefits","hello@zenefits.com","San Francisco","CA","zenefits.com","HR Platform / Benefits Admin"
"BambooHR","partnerships@bamboohr.com","Lindon","UT","bamboohr.com","HR Platform / Benefits Admin"
"Namely","info@namely.com","New York","NY","namely.com","HR Platform / Benefits Admin"
"Sequoia Consulting Group","info@sequoia.com","San Mateo","CA","sequoia.com","Benefits Consulting / Brokerage"
"PerkSpot","partnerships@perkspot.com","Chicago","IL","perkspot.com","Employee Perks Platform"
"Fond","hello@fond.co","Portland","OR","fond.co","Employee Perks"
"Benepass","hello@benepass.com","San Francisco","CA","benepass.com","Benefits Platform"
"Fringe","partnerships@fringe.us","Richmond","VA","fringe.us","Employee Perks Platform"
"Compt","partnerships@compt.io","Boston","MA","compt.io","Employee Perks Platform"
"Virgin Pulse","partnerships@virginpulse.com","Providence","RI","virginpulse.com","Corporate Wellness Platform"
"Wellable","partnerships@wellable.co","Boston","MA","wellable.co","Corporate Wellness Platform"
"Limeade","info@limeade.com","Bellevue","WA","limeade.com","Corporate Wellness Platform"
"Wellhub","partnerships@wellhub.com","New York","NY","wellhub.com","Corporate Wellness Platform"
"League Inc","hello@league.com","Toronto","ON","league.com","Benefits Platform"
"Businessolver","partnerships@businessolver.com","West Des Moines","IA","businessolver.com","Benefits Administration Platform"
"PlanSource","partnerships@plansource.com","Orlando","FL","plansource.com","Benefits Administration Platform"
"Ease (formerly EaseCentral)","hello@ease.com","San Francisco","CA","ease.com","Benefits Admin"
"Bernard Health","info@bernardhealth.com","Nashville","TN","bernardhealth.com","Benefits Consulting"
"Nava Benefits","partnerships@navabenefits.com","New York","NY","navabenefits.com","Benefits Consulting / Brokerage"
"Collective Health","partnerships@collectivehealth.com","San Mateo","CA","collectivehealth.com","Benefits Administration Platform"
"Alight Solutions","info@alight.com","Lincolnshire","IL","alight.com","Benefits Administration Platform"
"Buck Global","info@buck.com","New York","NY","buck.com","Benefits Consulting"
"Segal Group","info@segalgroup.com","New York","NY","segalgroup.com","Benefits Consulting"
"CBIZ Benefits","info@cbiz.com","Cleveland","OH","cbiz.com","Benefits Consulting / Brokerage"
"USI Insurance Services","info@usi.com","Valhalla","NY","usi.com","Large National Benefits Broker"
"Marsh McLennan Agency","info@marshmma.com","New York","NY","marshmma.com","Large National Benefits Broker"
"AssuredPartners","info@assuredpartners.com","Lake Mary","FL","assuredpartners.com","Benefits Broker"
"HUB International","info@hubinternational.com","Chicago","IL","hubinternational.com","Large National Benefits Broker"
"Alera Group","info@aleragroup.com","Deerfield","IL","aleragroup.com","Benefits Broker"
