Name,Email,Phone,City,State,Website,Facebook,Type,Notes
"Albany Humane Society",,(229) 888-7387,"",,https://albanyhumane.org,https://facebook.com/Albany,Shelter,""
"California Humane Society",,(175) 805-7604,"",,https://californiahumanesociety.org,https://facebook.com/pg,Shelter,""
"California SPCA",jerry@californiaspca.org,(725) 897-9206,"",,https://californiaspca.org,,Shelter,""
"Fortworth Pets Alive",info@dallaspetsalive.org,(214) 444-9372,"",,https://www.fortworthpetsalive.org,https://facebook.com/DallasPetsAlive,Shelter,""
"Fresno Humane Society",info@fresnohumane.org,(145) 790-5099,"",,https://fresnohumane.org,https://facebook.com/2008,Shelter,""
"Houston Humane Society",info@houstonhumane.org,(713) 433-6421,"",,https://houstonhumane.org,https://facebook.com/HoustonHumaneSociety,Shelter,""
"Houston Pets Alive",info@houstonpetsalive.org,,"",,https://www.houstonpetsalive.org,https://facebook.com/HoustonPetsAlive14,Shelter,""
"Miami Animal Rescue",,(305) 877-2880,"",,https://miamianimalrescue.org,https://facebook.com/MIAMIANIMALRESCUE,Shelter,""
"Sacramento SPCA",,(000) 017-7008,"",,https://www.sacramentospca.org,,Shelter,""
"Sanfrancisco Humane Society",,(177) 008-6660,"",,https://sanfranciscohumane.org,,Shelter,""
"Sanfrancisco Humane Society",,(177) 008-6664,"",,https://sanfranciscohumanesociety.org,,Shelter,""
"Arizona Humane Society",info@azhumane.org,(602) 997-7585,"Phoenix",AZ,https://www.azhumane.org,,Regional,"Arizona's largest"
"Petfinder Foundation",info@petfinderfoundation.com,,"Tucson",AZ,https://www.petfinderfoundation.com,,National,"Works with 11000+ shelters"
"San Diego Humane Society",info@sdhumane.org,(619) 299-7012,"San Diego",CA,https://www.sdhumane.org,,Regional,"Major California shelter"
"Sandiego Humane Society",,(619) 299-7012,"Vision and Values Partners Staying at Zero The SDH",CA,https://sandiegohumanesociety.org,https://facebook.com/SanDiegoHumaneSociety,Shelter,""
"Denver Dumb Friends League",info@ddfl.org,(303) 751-5772,"Denver",CO,https://www.ddfl.org,,Regional,"Colorado largest"
"Dumb Friends League",info@ddfl.org,(303) 751-5772,"Denver",CO,https://www.ddfl.org,,Regional,"Rocky Mountain region"
"Lucky Dog Animal Rescue",info@luckydoganimalrescue.org,,"Washington",DC,https://www.luckydoganimalrescue.org,,Foster-based,"DC/VA/MD area"
"The Humane Society of the United States",partnerships@humanesociety.org,,"Washington",DC,https://www.humanesociety.org,,National,"Largest animal welfare org"
"Big Dog Ranch Rescue",info@bfrr.org,(561) 791-6465,"Loxahatchee",FL,https://www.bigdogranchrescue.org,,Breed-specific,"Florida - large dogs"
"Florida SPCA",adopt@spcaflorida.org,(863) 646-7722,"11 AM - 4 PM CLICK FOR CONTACTS PAGE Phone Phone E",FL,https://floridaspca.org,https://facebook.com/SPCAFlorida,Shelter,""
"Labrador Retriever Rescue of Florida",info@lrrof.org,,"Orlando",FL,https://www.lrrof.org,,Breed-specific,"Florida labs"
"Atlanta Humane Society",info@atlantahumane.org,(404) 875-5331,"Atlanta",GA,https://www.atlantahumane.org,,Regional,"Southeast leader"
"Golden Retriever Rescue of Atlanta",info@grra.com,,"Atlanta",GA,https://www.grra.com,,Breed-specific,"Southeast goldens"
"German Shepherd Rescue of New England",info@gsrne.org,,"",HT,Breed-specific,,Northeast GSDs,""
"Greyhound Pets of America",info@greyhoundpets.org,,"",HT,Breed-specific,,National greyhound rescue,""
"Pit Bull Rescue Central",info@pbrc.net,,"",HT,Breed-specific,,National pit bull network,""
"Anti-Cruelty Society",info@anticruelty.org,(312) 644-8338,"Chicago",IL,https://www.anticruelty.org,,Regional,"Chicago area"
"PAWS Chicago",info@pawschicago.org,(773) 935-7297,"Chicago",IL,https://www.pawschicago.org,,Regional,"Midwest leader"
"Animal Humane Society",info@animalhumanesociety.org,(763) 522-4325,"Golden Valley",MN,https://www.animalhumanesociety.org,,Regional,"Minnesota largest"
"KC Pet Project",info@kcpetproject.org,(816) 513-9821,"Kansas City",MO,https://www.kcpetproject.org,,Regional,"Missouri/Kansas"
"ASPCA",partnerships@aspca.org,,"New York",NY,https://www.aspca.org,,National,"Major national org - reach out to local chapters"
"Longisland Pet Rescue",sales@longislandpetrescue.org,(576) 541-2074,"Unit 1225. Massapequa",NY,https://longislandpetrescue.org,,Shelter,""
"North Shore Animal League",info@animalleague.org,(516) 883-7575,"Port Washington",NY,https://www.animalleague.org,,Regional,"World's largest no-kill rescue"
"Oregon Humane Society",info@oregonhumane.org,(503) 285-7722,"Portland",OR,https://www.oregonhumane.org,,Regional,"Pacific Northwest"
"Pennsylvania SPCA",info@pspca.org,(866) 243-7722,"Philadelphia",PA,https://www.pspca.org,,Regional,"Historic shelter (1867)"
"Nashville Humane Association",info@nashvillehumane.org,(615) 352-1010,"Nashville",TN,https://www.nashvillehumane.org,,Regional,"Tennessee"
"Austin Animal Rescue",contact@newhopesaveslives.org,,"000 Match — Just $921 t ✨ 𝐃𝐎𝐔𝐁𝐋𝐄 𝐘𝐎𝐔𝐑 𝐈",TX,https://austinanimalrescue.org,https://facebook.com/pg,Shelter,""
"Austin Pets Alive",info@austinpetsalive.org,(512) 961-6519,"Austin",TX,https://www.austinpetsalive.org,https://facebook.com/tr,Shelter,""
"Austin Pets Alive!",info@austinpetsalive.org,(512) 961-6519,"Austin",TX,https://www.austinpetsalive.org,,Regional,"Large no-kill shelter"
"Houston SPCA",,(713) 869-7722,"where holiday magic meets wa... Stay in the Loop S",TX,https://houstonspca.org,https://facebook.com/houstonspca,Shelter,""
"Houston SPCA",info@houstonspca.org,(713) 869-7722,"Houston",TX,https://www.houstonspca.org,,Regional,"Texas largest"
"Sanantonio Pets Alive",info@sanantoniopetsalive.org,(210) 332-5441,"San Antonio",TX,https://www.sanantoniopetsalive.org,https://facebook.com/sapetsalive,Shelter,""
"Best Friends Animal Society",info@bestfriends.org,(435) 644-2001,"Kanab",UT,https://bestfriends.org,,National,"Network of 3000+ partners"
"Seattle Humane",info@seattlehumane.org,(425) 641-0080,"Bellevue",WA,https://www.seattlehumane.org,,Regional,"Pacific Northwest"
