Name,Email,Phone,City,State,Zip,Website
"2nd Chance Animal Sanctuary",sshaffer01@bellsouth.net,205-910-4423,"Hayden",AL,35079,
"4Legs4Justice Animal Advocate and Rescue",4legs4justice@gmail.com,,"Anniston",AL,36202,
"A New Leash on Life, Inc.",pets@anewleash.org,(256)489-PETS(7387),"Huntsville",AL,35741,
"Adopt A Golden Birmingham",info@adoptagoldenbirmingham.com,(205) 290-7788,"Birmingham",AL,35236,
"Adopt a Kitty",marla@adopt-a-kitty.org,251-404-0022,"Mobile",AL,36619,
"Aide for Animals",bhaas@aideforanimals.org,251-463-1688,"Mobile",AL,36605,
"Alabama Animal Adoption Society",aaas2808@gmail.com,205-871-6351,"Homewood",AL,35209,
"Alabama Animal Welfare Organization",kristymobley17@hotmail.com,,"Mobile",AL,36601,
"Alabama Rabbit Rescue",alabamarabbitrescue@gmail.com,,"Birmingham",AL,35243,
"Alabama Siberian Husky Rescue, Inc.",info@alsiberianhuskyrescue.com,,"Clay",AL,35048,
"Alabama SPCA",adopt@alabamaspca.org,(205) 440-3647,"Tuscaloosa",AL,35401,
"All About Dogs Coastal Rescue",allaboutdogscr@gmail.com,,"Magnolia Springs",AL,36555,
"Andalusia Area Humane Society",aahs@andycable.com,(334) 582-2665,"Andalusia",AL,36420,
"Animal Rescue Foundation",inquiries@animalrescuemobile.org,(251) 586-5534,"Mobile",AL,36605,
"Arab Animal Shelter",arabanimalshelter@gmail.com,256-931-7270,"Arab",AL,35016,
"ASPCI",aspci.org@gmail.com,,"Pell City",AL,35128,
"Athens Limestone Animal Shelter",thedogpound7889@yahoo.com,256-771-7889,"Athens",AL,35611,
"Baldwin County Humane Society (BARC!)",info@baldwinhumane.org,(251) 928-4585,"Fairhope",AL,36532,
"Bama Bully Rescue",mail@bamabully.org,,"Birmingham",AL,35201,
"Basset Hound Rescue of Alabama Inc.",operations@bhral.org,(888) 501-2472,"Northport",AL,35476,
"Bibb County AL Pound",friendsofbibbcountyalpound@yahoo.com,205-340-1316,"Brent",AL,35034,
"Bigbee Humane Society",bigbeehumane@gmail.com,,"Demopolis",AL,36732,
"Blair Humane Society",ron@fcdf.org,205 274 9971,"Cleveland",AL,35049,
"Bow Wows and Meows Pet Rescue",vw329@aol.com,,"Seale",AL,36875,
"Buddy's Buddies Animal Rescue, Inc",bbar@rescueteam.com,863-257-4228,"Alexander City",AL,35010,
"C.H.A.R.M., Inc. (City of Headland Animal Rescue Mission)",charmheadland@gmail.com,334-693-9097,"Headland",AL,36345,
"CAAWA",caawarescue@yahoo.com,256-636-4627,"Cullman",AL,35056,
"Callie's Place",traceymrobertson@aol.com,2057920197,"Northport",AL,35473,
"Challenger's House",challengershouse@mchsi.com,256-420-5995,"Toney",AL,35773,
"Cherokee Humane Society, Inc.",humanesociety@tds.net,256-779-7159,"Cedar Bluff",AL,35959,
"City of Mobile Animal Shelter",lursene@cityofmobile.org,251-208-2800,"Mobile",AL,36604,
"Clarke County Animal Shelter",clarkecoshelter@gmail.com,(251) 275-1055,"Grove Hill",AL,36451,
"Clay County Animal Shelter",claycountyanimalshelter@gmail.com,256-354-1453,"Ashland",AL,36251,
"Colbert County Animal Control Association",ccaca@bellsouth.net,256-381-4073,"Tuscumbia",AL,35674,
"Cora's Critters Animal Rescue",corascrittersanimalrescue@gmail.com,256-520-0916,"Huntsville",AL,35801,
"Crossing Paths Animal Rescue",met@otelco.net,,"Locust Fork",AL,35097,
"Dale's Den Rescue",dalesdenrescue@gmail.com,,"Spanish Fort",AL,36527,
"Decatur Animal Services",cwicks@decatur-al.gov,256-341-4790,"Decatur",AL,35601,
"Dekalb County Animal Adoption Center",ljohnson@dekalbcountyal.us,256-304-0474,"Ft. Payne",AL,35968,
"Dirty Dawg Rescue",dirtydawgrescue@gmail.com,(256) 636-0926,"Vinemont",AL,35179,
"East Alabama Humane Society",eahs4pets@yahoo.com,334-298-6446,"Phenix City",AL,36867,
"Fairhope Cat Coalition",info@fairhopecatcoalition.org,251-367-1711,"Fairhope",AL,36532,
"Fairy Dogmother Rescue, Inc.",fairydogmother@gmail.com,256-338-0371,"Baileyton",AL,35019,
"Forgotten Felines Inc.",info@ffhsv.org,,"Capshaw",AL,35742,
"Friends of Cats and Dogs Foundation",jennyfcdf@gmail.com,,"Birmingham",AL,35223,
"Friends of Marshall County Animals",friendsofmarshallcountyanimals@gmail.com,256-505-7730,"Horton",AL,35980,
"Friends of Rescue  (FOR)",info@forrescue.net,,"Huntsville",AL,35802,
"Friends of the Mobile Animal Shelter",info@adoptapetmobile.org,251-208-2830,"Mobile",AL,36604,
"Furever Friends of the South K-9 Rescue",info@ffosk9resq.org,,"Crossville",AL,35962,
"Furry Friends Rescue",furrypets1@hughes.net,,"Headland",AL,36345,
"Global K9 Solutions",sara@gk9s.info,,"Auburn",AL,36830,
