Name,Email,Phone,City,State,Zip,Website
"Animal League of Washington County",animalleaguewc@gmail.com,479-263-7058,"Fayetteville",AR,72702,
"AR*RUFF",krun11@sbcglobal.net,(501) 316-7247,"Benton",AR,72019,
"ARFA",info@arfarkansas.com,,"Little Rock",AR,72260,
"ArkanPaws Animal Rescue",arkanpaws@gmail.com,,"Conway",AR,72034,
"Arkansans Assisting Homeless Animals",aaha.adoptions@gmail.com,,"Cabot",AR,72023,
"Arkansas German Shorthaired Pointer Rescue",makgsprescue@gmail.com,,"Fayetteville",AR,72701,
"Arkansas Pet Rabbit Network",bradforde81@hotmail.com,,"Little Rock",AR,72211,
"Arkansas Southern Dog Rescue",savinglives@arsoutherndogrescue.org,,"Ward",AR,72176,
"Arkansas Weimaraner Rescue",arweimrescue@gmail.com,(479) 530-0330,"Fayetteville",AR,72701,
"Bella Vista Animal Shelter",bvas@sbcglobal.net,479-855-6020,"Bella Vista",AR,72714,
"Big Paws of the Ozarks",bigpawsoftheozarks@gmail.com,479-422-9005,"Fayetteville",AR,72703,
"Blue Moon Cat Sanctuary",bluemooncatsanctuary@gmail.com,479-677-3021,"Witter",AR,72776,
"Blytheville Humane Society",pam_ford@att.net,870-838-5512,"Blytheville",AR,72315,
"Bryant Animal Control & Adoption Center",animalcontrol@cityofbryant.com,(501) 943-0489,"Bryant",AR,72022,
"Cabot Animal Control",vetspet80@yahoo.com,(501) 843-2021,"Cabot",AR,72023,
"Camden City Pound",tshadden@camdenpolice.com,870-836-5755,"Camden",AR,71701,
"Central Arkansas SPCA",reneas34@aol.com,501-366-1293,"Jacksonville",AR,72076,
"Charleston Dog Shelter",shayes@tigersmail.org,(479) 965-3591,"Charleston",AR,72933,
"City of Gentry Animal Services",mark.smithson@cityofgentry.com,(479) 212-0632,"Gentry",AR,72734,
"City of Hot Springs Animal Services",mlstone@cityhs.net,(501) 262-2091,"Hot Springs",AR,71901,
"City of Mena Animal Control",mellodydolly@gmail.com,,"Mena",AR,71953,
"City of Rogers-Animal Services",dschumacher@rogersar.gov,479-621-1197,"Rogers",AR,72758,
"City of Springdale Animal Services",ckremer@springdalear.gov,479-750-8166,"Springdale",AR,72764,
"Community Cats of Central AR",contact@mycommunitycats.com,(801) 508-4070,"Jacksonville",AR,72078,
"Conway Animal Welfare Unit",shona.osborne@cityofconway.org,501-450-6160,"Conway",AR,72032,
"Crystal Creek Animal Rescue League",cats@crystalcreekrescue.com,202-4212777,"Bentonville",AR,72712,
