Name,Email,Phone,City,State,Zip,Website
"2DARESCUE",karen@2darescue.org,480-229-9530,"Phoenix",AZ,85034,
"2nd Chance Dog Rescue",cdczar96@aol.com,,"Queen Creek",AZ,85242,
"4 The Love of German Shepherds Rescue",ashtonshepherds@aol.com,,"Phoenix",AZ,85331,
"ABC (Animals Benefit Club of Arizona, Inc.)",info@animalsbenefitclub.com,(602) 867-2169,"Phoenix",AZ,85032,
"Adorable Dog Rescue",adorabledogrescue@yahoo.com,Please email us.,"Phoenix",AZ,85016,
"AJs Best Friends Persian & Himalayan Rescue",ajbfcats@gmail.com,,"Ahwatukee",AZ,85233,
"All About Animals Rescue",allaboutanimalsaz@gmail.com,,"Phoenix",AZ,85053,
"Almost Home Bulldog Rescue",almosthomebulldogs@gmail.com,(480) 665-9524,"Tempe",AZ,85284,
"Almost There Foster Care",info@atfcaz.org,,"Phoenix",AZ,85016,
"Animal Advocates Rescue Fund",tonielich@aarfus.org,,"Phoenix",AZ,85041,
"Animal Care And Welfare Facility",ccortese@bullheadcity.com,928-763-6000,"Bullhead City",AZ,86442,
"Animal League of Green Valley",candkkell@hotmail.com,520-625-3170,"Green Valley",AZ,85614,
"Animal Loving Friends",alfrescue@hotmail.com,,"Tempe",AZ,85284,
"Animal Rescue , Transport , and Adoption",artarescue@yahoo.com,520 255 5375,"Thatcher",AZ,85552,
"Animal Rescue Friends, Ltd.",admin@animalrescuefriends.org,623-428-9119,"Surprise",AZ,85374,
"Animals' Crusaders",rr.tucson09@gmail.com,520-798-6569,"Tucson",AZ,85751,
"Any Rat Rescue",info@anyratrescue.org,480-663-3338,"Phoenix",AZ,85053,
"Arizona Animal Welfare League & SPCA",adoptions1@aawl.org,602-273-6852,"Phoenix",AZ,85034,
"Arizona Beagle Rescue",adoptions@azbeaglerescue.com,(623) 977-1355,"Phoenix",AZ,85335,
"Arizona Boston Terrier Rescue",info@azbtrescue.org,,"Phoenix",AZ,85269,
"Arizona Cattle Dog Rescue",acdr@arizonacattledogrescue.org,480-442-ACDR (2237),"Scottsdale",AZ,85262,
"Arizona Chihuahua Rescue",rescue@azchihuahuarescue.org,480-844-2447,"Mesa",AZ,85208,
"Arizona Desert Rotti & Pals Rescue",azdesertrottis@aol.com,,"Tucson",AZ,85731,
"Arizona Equine Rescue Org",info@azequinerescue.org,623.465.1519,"Scottsdale",AZ,85266,
"Arizona Greyhound Rescue",adoption@azgreyhoundrescue.org,(520) 886-7411,"Tucson",AZ,85749,
"Arizona Labrador and Giant Breed Rescue",adoptions@azlabsandgiants.org,602-307-5227,"Phoenix",AZ,85068,
"Arizona Pug Adoption & Rescue Network",info@aparn.org,(480) 964-3126,"Mesa",AZ,85203,
"Arizona Shih Tzu and Small Breed Rescue",duffsonni@aol.com,,"Phoenix",AZ,85032,
"Arizona's PiggiePoo Rescue, Inc.",info@piggiepoo.org,602-412-4952,"Phoenix",AZ,85022,
"Aussie And Friends Rescue",jane@aussiefriendsrescue.com,602-930-9384,"Payson",AZ,85541,
"AZ CARE",adopt@azcarerescue.org,480-987-2212,"Queen Creek",AZ,85142,
"AZ Cavalier Rescue",azcavalierrescue@gmail.com,(602) 397-4744,"Phoenix",AZ,85029,
"AZ Cocker Rescue",azcockerrescue@aol.com,,"Scottsdale",AZ,85254,
"AZ Dog Adoptions",azdogadoptions@gmail.com,480-500-9620,"Phoenix",AZ,85009,
"AZ Furry Friends Rescue Foundation",azfurryfriends@gmail.com,(602) 882-9535,"Phoenix",AZ,85013,
"AZ Happy Tails Animal Rescue",dogadoptions@happytailsaz.org,,"Chandler",AZ,85225,
"AZ Maine Coon Cat Rescue",azmccr@gmail.com,4809628139,"Mesa",AZ,85211,
"AZ Prussian Snailhound Dog Rescue",prussian.snailhound@gmail.com,(602) 295-4518,"Phoenix",AZ,85028,
"AZ Saint Bernard Rescue",corinthians3418@aol.com,602-920-1826,"Phoenix",AZ,85027,
"AZ Small Dog Rescue",info@azsmalldog.org,602-944-2440,"Phoenix",AZ,85021,
"AZ Sugar Glider Rescue",azsgrescue@gmail.com,(480) 238-6063,"Phoenix",AZ,85053,
"AZK9",azk9org@gmail.com,,"Peoria",AZ,85381,
"BARK (Baby Animal Rescue Koalition)",barkntucson@aol.com,,"Tucson",AZ,85740,
"Benson Animal Shelter",azdog85602@gmail.com,520-586-3600,"Benson",AZ,85602,
"Better Days Rescue",info@betterdaysrescue.org,,"Scottsdale",AZ,85261,
"Big Heads Bigger Hearts",bigheadsbiggerhearts@gmail.com,,"Tucson",AZ,85716,
"Big Hearts Animal Welfare",info@bigheartsaz.org,,"Mesa",AZ,85206,
"Bisbee Animal Shelter",bisbeeanimals@gmail.com,(520) 432-6020,"Bisbee",AZ,85603,
"Blackhat Humane Society",blackhathumane@gmail.com,928-245-3890,"Chinle",AZ,86503,
"Border Animal Rescue",borderanimalrescue@gmail.com,(520)432-7964,"Sierra Vista",AZ,85635,
"Bully Pride of Arizona Bully Breed Advocacy",bullyprideofaz@gmail.com,(480) 330-1242,"Phoenix",AZ,85028,
"Cactus Cats Rescue, Inc.",petfinder-inquiry@cactuscatsrescue.net,(480) 814-8801,"Phoenix",AZ,85044,
"Canine Rescue Coalition (AZ Mastiff Rescue)",azmastiffrescue@yahoo.com,,"Glendale",AZ,85308,
"CARE FOR THE HORSES",careforthehorses@msn.com,520-378-0896,"Sierra Vista",AZ,85636,
"Caring for Canines",sarahduncs@gmail.com,(602) 573-3141,"Phoenix",AZ,85028,
"Carrie On Rescue",carrieonrescuers@hotmail.com,480-603-7680,"Gilbert",AZ,85233,
"Cat A Do Cat Co-Op",info@catado.org,,"Mesa",AZ,85212,
"Central Arizona Animal Rescue",mike@caaronline.org,480-209-3400,"Queen Creek",AZ,85142,
"Chance Shelter",info@chanceshelter.org,(602) 394-1595,"Surprise",AZ,85374,
"ChiLuvBug Small Dog Rescue",chiluvbug@gmail.com,,"Tucson",AZ,85710,
"Chino Valley Animal Shelter",marilu42@q.com,(928) 636-4223 x7,"Chino Valley",AZ,86323,
"Chiquita Chihuahua Rescue",chwawagal@gmail.com,,"Cave Creek",AZ,85086,
"Circle L Ranch",susanhopkins13@gmail.com,480-861-8144,"Phoenix",AZ,85018,
"Circle L Ranch Animal Rescue and Sanctuary",circlelranchdogs@gmail.com,(928) 273-7005,"Prescott Valley",AZ,86314,
"Citizens For North Phoenix Strays",badkittyts@aol.com,(602) 332-6615,"Phoenix",AZ,85027,
"Claws and Paws Rescue",info@clawsandpawsaz.org,520-389-8875,"Tucson",AZ,85741,
"Coalition of All Breed Rescue of Arizona (CABRA)",suavian@cox.net,480-874-2511,"Phoenix",AZ,85338,
"Cochise Canine Rescue",sybil85602@gmail.com,520-212-1718,"Benson",AZ,85602,
"Coconino Humane Association",kindcrew@coconinohumane.org,928-526-1076,"Flagstaff",AZ,86001,
"Cold Wet Noses Fosters",info@tucsoncoldwetnoses.com,,"Tucson",AZ,85716,
"Community Cats, Inc.",eajoannes@gmail.com,,"Prescott",AZ,86301,
"Cooper's Chance Animal Rescue",cooperschance@yahoo.com,,"Chandler",AZ,85249,
"Coppercloud Ranch Pet Rescue",coppercloudranch@cox.net,(602) 739-6696,"Scottsdale",AZ,85259,
"Dane Haven Inc.",danehavenrescue@gmail.com,6023884370,"Prescott Valley",AZ,86312,
"Desert Dogs Rescue Inc.",desert.dogs2014@gmail.com,623-256-4302,"Tonopah",AZ,85354,
