Name,Email,Phone,City,State,Zip,Website
"1 Love Dog Rescue",1lovedogrescue@gmail.com,5306431107,"Auburn",CA,95602,
"13th St Cats",info@13thstcats.org,(408) 566-3637,"San Jose",CA,95112,
"2 Crue Rescue",tammye@2cruerescue.com,951-892-5827,"Riverside",CA,92503,
"2TheResQ",coffee.luvr@yahoo.com,818-212-0385,"Sherman Oaks",CA,91413,
"3R Rescue, Inc.",3rrescue@gmail.com,(707) 529-4643,"Winters",CA,95694,
"4 Dogs Farm Rescue",4dogsfarmrescue@gmail.com,415-265-4331,"San Francisco",CA,94112,
"4 R Friends",4rfriends.mail@gmail.com,,"Sacramento",CA,95817,
"9 Lives Rescue Center",9livesrescuecenter@gmail.com,310-927-7350,"Beverly Hills",CA,90211,
"A Better Chance Rescue",abetterchancerescue@gmail.com,(650) 580-3639,"San Mateo",CA,94403,
"A Cat's Tale",cathy@acatstale.org,310 973 9353,"Redondo Beach",CA,90278,
"A Cause For Paws  OC",ocacfp@yahoo.com,714-883-9188,"Orange",CA,92865,
"A Dog's Life Rescue",adoptions@adogsliferescue.org,310-590-7387,"Los Angeles",CA,90046,
"A Home 4 Ever Rescue",ahome4ever@gmail.com,(949) 645-4912,"Costa Mesa",CA,92627,
"A Noah's B'Ark North Pet Rescue",noahsbark.nc@gmail.com,(707) 657-7626,"Rohnert Park",CA,94928,
"A Passion for Paws Rescue, Inc..",apassionforpaws@gmail.com,818-9AKITAS,"Romoland",CA,92585,
"A Pawsitive Approach",apawsitiveapproach2015@gmail.com,,"Anaheim",CA,92805,
"A Purposeful Rescue",apurprescue@yahoo.com,,"Los Angeles",CA,90035,
"A SafeFurr Place Animal Rescue",info@asafefurrplace.com,,"Bakersfield",CA,93308,
"Ace of Hearts",aceofheartsmngr@gmail.com,(310) 358-3344,"Beverly Hills",CA,90213,
"ACGSR, Inc",vivatacgsinc@aol.com,831-917-5570,"Hollister",CA,95024,
"Adopt A Bunny Rabbit Rescue",bunnygroomer@gmail.com,,"Calabasas",CA,91302,
"Adopt a Doggie",contact@adoptadoggie.org,4156833535,"Castro Valley",CA,94546,
"Adopt a Friend Forever Rescue",moyamarie@msn.com,619-670-9824,"El Cajon",CA,92021,
"Adopt A Saint - Saint Bernard Rescue",cmdiiullo@gmail.com,(949) 295-3641,"Lake Forest",CA,92630,
"Adopt Me Rescue",adoptmerescue@gmail.com,(818) 732-0733,"Studio City",CA,91602,
"Adopt-A-Chow LA",adoptachowla@gmail.com,(310) 306-2871,"Marina del Rey",CA,90034,
"Adoptables at spcaLA",info@spcala.com,(562) 216-2542,"Long Beach",CA,90815,
"Ady Gil World Conservation",info@agwc501.org,818-348-6000,"Woodland Hills",CA,91364,
"AHPHA",ahphaadoption@gmail.com,,"La Jolla",CA,92038,
"AKarmic Connections Animal Rescue",karmicrescues@gmail.com,,"Cupertino",CA,95014,
"All About Equine Animal Rescue, Inc.",adopt@allaboutequine.org,916-520-4AAE (4223),"El Dorado Hills",CA,95762,
"All Animal Rescue & Friends (AARF)",adopt@aarflove.org,,"San Martin",CA,95046,
"All Cats Go To Heaven",christacw@hotmail.com,,"Anaheim",CA,92801,
"All for Love Animal Rescue",ktmacgregor@earthlink.com,805-445-3535,"Thousand Oaks",CA,91360,
"All Krazy for Kats, INC.",michele@krazyforkats.com,818-527-5287,"Woodland Hills",CA,91364,
"All My Tomorrows Pet Rescue",tribolettieleanor@yahoo.com,,"Lodi",CA,95240,
"All Paws Rescue-Rehabilitation & Education",adopt@allpawsrescue-rehab.org,,"Chino",CA,91710,
"All Points West German Shorthaired and Wirehaired Pointer",gsprescue@aol.com,(530) 713-4376,"Browns Valley",CA,95918,
"All Retriever Rescue Foundation",watson@optivus.com,909-855-0683,"Redlands",CA,92373,
"ALL TOP GUN RESCUES",topgunk9rescue@hotmail.com,,"RIVERSIDE",CA,92504,
"Allie's Pals Cat Rescue",terrilduncan@yahoo.com,9254877279,"Pleasanton",CA,94566,
"Almost Home 4ever",almosthome4ever@gmail.com,,"Sacramento",CA,95813,
"Amazing Greys Retired Racers",amazinggreysrr@gmail.com,(209) 835-9780,"Tracy",CA,95376,
"American Brittany Rescue - CA/NV/HI/AZ",abr.ca@americanbrittanyrescue.org,1-866-274-8911,"La Habra",CA,90631,
"American Bullmastiff Rescue",blackslate@aol.com,,"Covina",CA,91724,
"Angel Cat Pet Adoptions",marilyn.wood1940@yahoo.com,(714) 280-7627,"Westminster",CA,92684,
"Angel City Pit Bulls",adopt@angelcitypits.org,please email,"Los Angeles",CA,90019,
"Angels Bark Dog Rescue",angelsbarkdogrescue@gmail.com,,"Beverly Hills",CA,90212,
"Angels for Animals Rescue",blynch5150@sbcglobal.net,,"Rancho Cucamonga",CA,91701,
"Angels in Fur Dog Rescue",info@angelsinfurdogrescue.com,818 335-3034,"Granada Hills",CA,91394,
"Angels N Paws",devoredogrescue@aol.com,909 743-4656,"Rancho Cucamonga",CA,91701,
"Angels of Rawley Foundation",arfadmin@angelsofrawley.org,,"San Diego",CA,92117,
"Angels Rescuing Animals",fosterfamily.dogs@gmail.com,(530) 878-6999,"Auburn",CA,95604,
"Angels Rescuing Kritters",animalnut2@aol.com,530-637-4635,"Weimar",CA,95736,
"Animal Advocates Alliance",info@animaladvocatesalliance.org,310-285-8422,"Sherman Oaks",CA,91413,
"Animal Alliance",animalallianceadopts@gmail.com,818 290-3844,"Beverly Hills",CA,90210,
"Animal Aware",redding5765@gmail.com,(415) 279-0119,"San Francisco",CA,94112,
"Animal Compassion Team of California",info@animalcompassionteam.com,(559) 299-6364,"Fresno",CA,93725,
"Animal Friends Connection Humane Society",office@animalfriendsconnect.org,(209) 365-0535,"Lodi",CA,95241,
"Animal Hope and Wellness Foundation",info@animalhopeandwellness.org,,"Sherman Oaks",CA,91423,
"Animal House",admin@animalhouse.global,(707) 816-1166,"Vallejo",CA,94591,
"Animal Network of Orange County",contact@animalnetwork.org,949-759-3646,"Newport Beach",CA,92658,
"Animal Outreach of the Mother Lode",info@animaloutreach.net,530-642-2287,"Diamond Springs",CA,95619,
"Animal Place",info@animalplace.org,530 477 1757,"Grass Valley",CA,95949,
"Animal Refugee Response",blythe@animalrefugee.org,(510) 230-3758,"Lower Lake",CA,95457,
"Animal Rescue",wizard188wizard@yahoo.com,619 606 4500,"San Diego",CA,92142,
"Animal Rescue and Care Network Inc.",mefambrini@yahoo.com,(408) 655-9625,"Santa Clara",CA,95056,
"Animal Rescue of Tracy",contact@animalrescuetracy.org,209-642-4324,"Tracy",CA,95376,
"Animal Rescue Recon",animalrescuerecon@gmail.com,(925) 392-7654,"Oakley",CA,94561,
"Animal Rescue Resource Foundation (ARRF)",resqpets08@cox.net,please email,"Vista",CA,92082,
"Animal Rescue Squad International",animalrescuesquadintl@gmail.com,,"Davis",CA,95618,
"Animal Rescuers Without Borders,Inc.",animalrescuers@sbcglobal.net,,"San Diego",CA,92171,
"Animal Samaritans SPCA",rlinsell@animalsamaritans.org,(760) 601-3918,"Thousand Palms",CA,92276,
"Animal Shelter Assistance Program (ASAP)",info@asapcats.org,(805) 683-3368,"Santa Barbara",CA,93111,
"Animal Shelter Relief Rescue",amy@animalshelterrelief.org,,"Santa Cruz",CA,95063,
"Animal Synergy",info@animalsynergy.org,,"Vista",CA,92084,
"Animals Need U Rescue",animalsneedou@yahoo.com,951-514-9817,"Temecula",CA,92592,
"AnimalSave",fosteradoption@animalsave.org,(530) 271-7071 ext. 201,"Grass Valley",CA,95945,
"Annie's Pet Rescue",anniesrescue@gmail.com,(530) 377-6889,"Cottonwood",CA,96022,
"Another Chance Animal Welfare League Inc.",acawl.inc@gmail.com,530-547-7387,"Palo Cedro",CA,96073,
"Antelope Valley Dalmatian Rescue",easytospot@earthlink.net,1-661-810 -1015,"Lancaster",CA,91350,
