Name,Email,Phone,City,State,Zip,Website
"2 Blondes All Breed Rescue",info@2babrescue.org,,"Littleton",CO,80126,
"2nd Chance Vizsla Rescue, Inc.",spunki_61981@yahoo.com,970-568-9042,"Fort Collins",CO,80524,
"4 Paws 4 Life Rescue",adopt@4p4l.org,,"Sedalia",CO,80135,
"9 Lives Rescue Inc.",cats@colorado9lives.com,(719) 591-4640,"Colorado Springs",CO,80907,
"All Aboard Animal Rescue",allaboardanimalrescue@gmail.com,(970) 286-9902,"Fort Collins",CO,80526,
"All Breed Rescue & Training",info.abrt@gmail.com,719-264-6460,"Colorado Springs",CO,80907,
"All Paws Matter Rescue",info@apmrescue.com,,"Englewood",CO,80110,
"Almost Home Adoptions for rescued cats",almosthomeadoptions@yahoo.com,(303) 432-2299,"Westminster",CO,80031,
"American Lhasa Apso Club Rescue - Colorado",apsorescue@aol.com,,"Loveland",CO,80539,
"Angels With Paws Cat Adoption and Shelter",angelswithpaws@yahoo.com,303-274-2264,"Lakewood",CO,80215,
"Animal House (Dog Rescue)",foster@animalhousehelp.org,(970) 224-3647,"Fort Collins",CO,80524,
"Animal Rescue Connection Inc",info@animalrescueconnection.org,720-312-1949,"Longmont",CO,80502,
"Animal Rescue of the Rockies",arrcolorado@gmail.com,(970) 389-8324,"Breckenridge",CO,80424,
"Annie's Orphans",anniesk9orphans@yahoo.com,,"Durango",CO,81301,
"Ark-Valley Humane Society",info.avhs@gmail.com,719-395-2737,"Buena Vista",CO,81211,
"Aurora Animal Shelter",gsavanah@auroragov.org,303-326-8280,"Aurora",CO,80011,
"Barnwater Cats Rescue Organization",barnwatercat@aol.com,(303) 759-2855,"Denver",CO,80210,
"Big Bones Canine Rescue",bigbonesrescue@gmail.com,970-310-3616,"Windsor",CO,80550,
"Big Dogs Huge Paws, inc",wecare@bigdogshugepaws.com,303-322-4336,"Aurora",CO,80046,
"Black Canyon Animal Sanctuary",debbie@blackcanyonanimalsanctuary.com,(970) 399-7152,"Crawford",CO,81415,
"Bounce Animal Rescue",contact@bounceanimalrescue.org,970.699.6772,"Fort Collins",CO,80527,
"Breeder Release Adoption Service",connibouchard@gmail.com,719-845-0120,"Peyton",CO,80831,
"Brighter Days Dog Rescue",brighterdaysdogrescue@gmail.com,,"Boulder",CO,80305,
"Bruno the Companion All Animal Rescue",btcrescue@brunothecompanion.com,720-432-7381,"Littleton",CO,80123,
"Buck'n-R-Ranch Animal Rescue, Inc.",info@brrari.org,303-660-5502,"Franktown",CO,80116,
"Canine Candor Dog Rescue",caninecandor@gmail.com,,"Greeley",CO,80633,
"Cat Care Society",shelterinfo@catcaresociety.org,303-239-9680,"Lakewood",CO,80214,
"Cavy Care Inc.",shannon@cavycareinc.org,303-593-2195,"Aurora",CO,80015,
"Chihuahua Small Dog Rescue Inc",info@chihuahua-smalldogrescue.org,,"Colorado Springs",CO,80911,
"Circle 2 Rescue",circle2rescue@yahoo.com,(303) 999-9999,"Evergreen",CO,80439,
"City of Montrose Animal Services",tvonseggern@ci.montrose.co.us,(970) 240-1487,"Montrose",CO,81401,
"City of Yuma Animal Shelter",l.thompson@yumacolo.org,(970) 630-2106,"Yuma",CO,80759,
"Colorado Animal Rescue",info@coloradoanimalrescue.org,(970) 947-9173,"Glenwood Springs",CO,81601,
"Colorado Animal Welfare League",info@coloradoanimalwelfare.org,720-515-CAWL,"Castle Rock",CO,80104,
"Colorado Beagle Rescue",darlene@coloradobeaglerescue.org,303-464-9403,"Littleton",CO,80161,
"Colorado Canine Rescue",rescue@coloradocaninerescue.org,,"Englewood",CO,80113,
"Colorado Peke and Pom Rescue Inc",pekeandpom@msn.com,303-681-2512 hotline,"Morrison",CO,80118,
"Colorado Saint Bernard Rescue",cosaintrescue@gmail.com,720 981 1700,"Denver",CO,80227,
"Couches For Afghans",couchesforafghans@yahoo.com,3034893124,"Bennett",CO,80102,
"Craig Animal Shelter",bearcreekanimalhospital@gmail.com,(970) 824-5964,"Craig",CO,81625,
"Cripple Creek Police Dept.",mdox@cripple-creek.co.us,(719) 689-2655,"Cripple Creek",CO,80813,
"Dalmatian Rescue of Colorado",beth@dalmatianrescueco.org,970-226-2844,"Fort Collins",CO,80526,
"Dancing Dog Rescue and Recovery Ranch, Inc.",dancingdogrescue@earthlink.net,303-882-0837,"Littleton",CO,80128,
"DELTA COUNTY HUMANE SOCIETY",deltacountyhumanesociety@gmail.com,(970) 874-2149,"Delta",CO,81416,
"Demi's Animal Rescue",info@demisanimalrescue.com,,"Aurora",CO,80016,
"Denver Dachshunds Rescue and Transport",ddrt@denverdachshunds.org,(720) 635-0723,"Aurora",CO,80013,
"Denver Samoyed Rescue",samoyedrescue@msn.com,303-453-1360,"Lafayette",CO,80026,
"Divine Feline",barb@thefelinefix.org,(303) 202-3516,"Denver",CO,80219,
"DMK Rehoming",info@dmkrehoming.com,(303) 593-1340,"Littleton",CO,80127,
"Do Over Dogs - A Second Chance At Life",dooverdog@hotmail.com,,"Broomfield",CO,80020,
"Doberman Rescue of Colorado",info@dobermanrescueco.org,303-888-9614,"Englewood",CO,80110,
"Doggy Dog World Rescue",ddwr@doggydogworldrescue.com,720-280-6979,"Littleton",CO,80127,
"Dumb Friends League",customercare@ddfl.org,303-751-5772,"Denver",CO,80231,
"Duncan's Place, A Cat Sanctuary",duncansplace@yahoo.com,970-214-2233,"Loveland",CO,80537,
"Durango Animal Connection",erinnissen@gmail.com,970-749-1968,"Durango",CO,81302,
"Eagle County Animal Shelter",rhiannon.rowe@eaglecounty.us,970-382-3647,"Eagle",CO,81631,
"Eagle Valley Humane Society",humane@vail.net,970-331-1983 (cats); 970-280-5738 (dogs),"Eagle",CO,81631,
"Eaton Animal Den",eatonanimalden@gmail.com,970-454-1700,"Eaton",CO,80615,
"Eskie Rescuers United American Eskimo Dog Rescue, Inc.",contact@eskierescuers.org,,"Colorado Springs",CO,80918,
"Evergreen Animal Protective League EAPL",eaplevergreen@eapl.com,(303) 674-6442,"Evergreen",CO,80437,
"Farfel's Farm & Rescue",farfelsrescue@gmail.com,(303) 443-7711,"Boulder",CO,80302,
"Foothills Animal Shelter",customercare@fas4pets.org,303-278-7575,"Golden",CO,80401,
"Forgotten Felines Rescue",nkall@comcast.net,303-532-5521,"Aurora",CO,80014,
"Fort Collins Cat Rescue & Spay/Neuter Clinic",adoptacat@fccrsnc.org,970-484-8516,"Fort Collins",CO,80524,
"Fort Morgan Humane Society",morganhumane@yahoo.com,970-542-6416,"fort morgan",CO,80701,
"Freedom Service Dogs",dneff@freedomservicedogs.org,(303) 922-6213,"Englewood",CO,80110,
"Friends of Retired Greyhounds",info@friendsofretiredgreyhounds.org,,"Thornton",CO,80229,
"Friends of Todd",rescue@friendsoftodd.org,,"Denver",CO,80211,
"German Shepherd Rescue of the Rockies",gsroar@gmail.com,,"Denver",CO,80221,
"German Shorthaired Pointer Rescue of New Mexico",depdogwing@yahoo.com,,"Ignacio",CO,81137,
"Golden Retriever Freedom Rescue Inc.",staff@goldenretrieverfreedom.org,303-749-8499,"Denver",CO,80209,
"Good Sam Animal Rescue",info@home2homepets.org,(303) 222-0081,"Denver",CO,80220,
"Grand County Animal Shelter and Animal Control",mkerstiens@hotmail.com,970-887-2988,"Granby",CO,80446,
"Great Pyrenees Rescue & Sanctuary",pyrescueco@gmail.com,(719) 749-2340,"Peyton",CO,80831,
"Grey Ghost Weimaraner Rescue",woof@greyghostrescue.org,(719) 357-9047,"Monument",CO,80132,
"GSP Rescue of Colorado",k.schnobrich57@gmail.com,719 429-1435,"Penrose",CO,81240,
"Gunnison Valley Animal Welfare League",info@gvawl.org,970-641-1173,"Gunnison",CO,81230,
"Happy Cats Haven",adopt@happycatshaven.org,719-362-4600,"Colorado Springs",CO,80904,
"Havok's Wolfpack",havok@havokswolfpack.com,7205044660,"Conifer",CO,80433,
"HemoSolutions",kayla.nicole098@yahoo.com,719-380-1900,"Colorado Springs",CO,80910,
"HO-BO Care Boxer Rescue",adoptions@hobocare.org,303-744-8329,"Denver",CO,80209,
"HomeComings Dog Rescue",homecomingsrescue@gmail.com,,"Lakewood",CO,80226,
"Homeward Bound Rescue of Colorado",cindylick@comcast.net,(970) 353-1385,"Greeley",CO,80634,
"Hoof & Paw (West End Animal Assist)",hoofandpaw@hotmail.com,(970) 428-7568,"Nucla",CO,81424,
"HOPE FOR ANIMALS",clearcreekrescue@yahoo.com,303-890-1806,"Georgetown",CO,80444,
"Humane Society of Fremont County Inc.",info@humanesocietyfremontcounty.org,(719) 275-0663,"Canon City",CO,81212,
"Humane Society of Pagosa Springs",adoptions@humanesociety.biz,(970) 731-4771,"Pagosa Springs",CO,81147,
"Humane Society of the South Platte Valley",info@hsspv.org,303-703-2938,"Littleton",CO,80120,
"IGCA affiliate - Colorado",coloradoigrescue@msn.com,,"Centennial",CO,80121,
"Intermountain Humane Society",info@imhs.org,(303) 838-2668,"Pine",CO,80433,
"Izzy's Place Senior Dog Rescue",izzysplacedogrescue@gmail.com,,"Loveland",CO,80537,
"K9 Rescue Referral",andrea@sopris.net,(970) 379-7530,"Carbondale",CO,81623,
"La Plata County Humane Society",info@lpchumanesociety.org,(970) 259-2847,"Durango",CO,81301,
"Lamar Animal Shelter",lpdshelter@hotmail.com,(719)336-8769 or (719)336-3799,"Lamar",CO,81052,
"Larimer Humane Society",humane@larimerhumane.org,970-226-3647,"Fort Collins",CO,80527,
"Leadville/Lake County Animal Shelter",leadvilleshelter@gmail.com,(719) 486-8951,"Leadville",CO,80461,
"Lisa Parker's Puppies",lppdurango@gmail.com,(970) 769-2584,"Durango",CO,81302,
"Logan County Humane Society",info.lchs@gmail.com,(970)-520-2804,"Sterling",CO,80751,
"LOLA'S Rescue (Labs and Other Large Angels)",adoptioncoord@lolasrescue.com,303-842-1661,"Littleton",CO,80127,
"Loma Cat House",ramstet@gmail.com,970 245-0769,"Grand Junction",CO,81501,
"Longmont Humane Society",info@longmonthumane.org,303-772-1232,"Longmont",CO,80501,
"lookwhatthecatbroughtin.org",lookcatin@gmail.com,719 331 6852,"Colorado Springs",CO,80904,
"Lucky Day Animal Rescue of Colorado",info@luckydayrescue.org,970-379-4606,"Aspen",CO,81612,
"Majestic Canine Rescue",info@majesticcaninerescue.org,,"Yoder",CO,80864,
"Metro Denver Parrot Rescue",shop@perchpets.com,(303) 495-6983,"Colorado Springs",CO,80905,
"Mile High Dachshunds Rescue, Inc",info@milehighdachshundsrescue.org,(303) 941-2624,"Westminster",CO,80035,
"Mile High Labrador Retriever Mission",milehighlabmission@gmail.com,,"Broomfield",CO,80020,
"Mile High Weimaraner Rescue - Denver",rescueinfo@mhwr.org,,"Brighton",CO,80601,
"Misha Siberian Husky Rescue",lisatoy@centurytel.net,970.946.3904,"Pagosa Springs",CO,81147,
"Moe Moe's Rescue of the Rockies",moemoesrescue@gmail.com,(303) 877-9582,"Westminster",CO,80035,
"Mother Gaia Animal Rescue",xxtrfxx@yahoo.com,,"Lafayette",CO,80026,
"Mountain Pet Rescue",mountainpetrescue@gmail.com,970-281-7381,"Winter Park",CO,80482,
"My Fairy Dawg Mother Rescue, Inc.",gwin5280@gmail.com,,"Aurora",CO,80011,
"National Mill Dog Rescue",adopt@nmdr.org,,"Peyton",CO,80831,
"New Hope Rescue Inc.",newhoperescueinc@gmail.com,(719) 748-1277,"Colorado Springs",CO,80907,
"Nikenos Second Chances",gina@nscrescue.org,720-514-2543,"Denver",CO,80227,
"No Feline Left Behind",adopt.nflb@gmail.com,7202527311,"Denver",CO,80239,
"No Hound Unhomed",nohoundunhomed@gmail.com,719-244-2208,"Colorado Springs",CO,80907,
"Noah's Ark Animal Welfare Association",christy.naawa@gmail.com,(719) 680-2385,"Trinidad",CO,81082,
"Oh Be Dogful Rescue",ohbedogfulrescue@gmail.com,,"Crested Butte",CO,81224,
"OutPaws",outpaws@outpaws.org,303-803-2434,"Denver",CO,80210,
"Paws And People",striker101960@yahoo.com,970-978-5713,"Greeley",CO,80634,
"PawsCo",adopt@pawscoadoptions.org,,"Denver",CO,80205,
"Peanut's Place Bully Rescue",peanutsplacerescue@yahoo.com,,"Yoder",CO,80864,
"Perfect Unions Animal Rescue Foundation, Inc.",skytech200@sopris.net,970-274-1690,"New Castle",CO,81647,
"Pet Rescue Resource",dreamingalong@gmail.com,303-888-3189 cell/303-660-3644 home (try first),"Franktown",CO,80116,
"Planet Pet",planetpetdenver@gmail.com,(720) 937-0633,"Denver",CO,80212,
"Prison Trained K-9 Companion Program",debi.stevens@doc.state.co.us,719-269-4650,"Canon City",CO,81215,
"Rangely Animal Shelter",tlang@rangelyco.gov,(970) 675-2803,"Rangely",CO,81648,
"Retriever Rescue of Colorado",rrocbox@gmail.com,3036714659,"Evergreen",CO,80437,
"Rez Dawg Rescue",adopt@rezdawgrescue.org,(720) 515-3679,"Boulder",CO,80306,
"Rifle Animal Shelter",rifleanimalshelter@yahoo.com,970-625-8808,"Rifle",CO,81650,
"Rocky Mountain Cocker Rescue, Inc.",inquiries@rockymountaincockerrescue.org,(303) 617-1939,"Parker",CO,80134,
"Rocky Mountain Feline Rescue",rmfr2390@gmail.com,(303) 744-6076,"Denver",CO,80223,
"Rocky Mountain Great Dane Rescue Inc.",adoptadane@rmgreatdane.org,(303) 552-0484,"Lakewood",CO,80228,
"Rocky Mountain Lab Rescue",rockymountainlabrescue@gmail.com,303-818-8508,"Broomfield",CO,80020,
"Rocky Mountain Puppy Rescue",rmprcontact@gmail.com,720-443-3748,"Broomfield",CO,80020,
"Rocky Mountain Yorkie Rescue",info@rockymountainyorkierescue.com,,"Parker",CO,80134,
"Routt County Humane Society",info@routthumane.org,(970) 879-7247,"Steamboat Springs",CO,80477,
"San Luis Valley Animal Welfare Society",woof@slvaws.org,719-587-woof (9663),"Alamosa",CO,81101,
"San Nicola Dog Rescue",sannicoladogrescue@gmail.com,(720) 381-7358,"Westminster",CO,80021,
"Save The Giants",gobig@savethegiants.com,720-445-6911,"Broomfield",CO,80038,
"Saving Dobermankind Animal Rescue",hookedondobies@gmail.com,(720) 722-4277,"Denver",CO,80250,
"Scottie Rescue of the Rockies",mackrail@mac.com,303-420-5071,"Arvada",CO,80005,
"Scroungy Dogs and Pretty Pups Rescue",scroungydogs@outlook.com,970-218-6272,"Severance",CO,80546,
"Second Chance Animal Rescue Foundation",delliott11@mindspring.com,(719) 931-0006,"Colorado Springs",CO,80910,
"Second Chance Humane Society",animalcare@adoptmountainpets.org,(970) 626-2273,"Ridgway",CO,81432,
"Second Chance Jack Animal Rescue",tessa4re@aol.com,303 210-0263,"Golden",CO,80401,
"Snow Capped Shepherd Rescue",wgsrescue@hotmail.com,(303) 973-7277,"Littleton",CO,80127,
"Southern CO Animal Rescue (SCAR) & BFAS",bfasfarm@gmail.com,719-494-0158,"Colorado Springs",CO,80908,
"Southern Mutts Rescue, Inc.",lca84@hotmail.com,(720) 413-6749,"Longmont",CO,80503,
"Spring Creek Horse Rescue",springcreekhorserescue@yahoo.com,,"Bayfield",CO,81122,
"Summit County Animal Shelter",animal.control@summitcountyco.gov,970-668-3230,"Frisco",CO,80443,
"Summit Dog Rescue",summitdogrescue@yahoo.com,www.summitdogrescue.org,"Boulder",CO,80302,
"Sunshine Canyon Dog Rescue",sunshinecanyondr@gmail.com,,"Boulder",CO,80301,
"Surface Creek Animal Shelter",surfacecreekanimalshelter@gmail.com,(970) 856-2346,"Cedaredge",CO,81413,
"Teller County Regional Animal Shelter",office@tcrascolorado.com,719-686-7707,"Divide",CO,80814,
"The Animal Interest League and Sanctuary",tailsadoptions@gmail.com,(970) 874-1078,"Delta",CO,81416,
"The Gabriel Foundation",mbutler@thegabrielfoundation.org,303-629-5900 x 245,"Elizabeth",CO,80107,
"The Good Dog Rescue",thegooddogrescue@gmail.com,,"Fort Lupton",CO,80621,
"The Lazarus Fund",lazfund@gmail.com,719-240-4375,"Pueblo",CO,81004,
"The Misfits Dog Rescue",adoptions.misfits@gmail.com,,"Colorado Springs",CO,80911,
"The Thatcher Pet Project",thatcherpetproject@gmail.com,(605) 354-3786,"Johnstown",CO,80534,
"Thunder Puppy K9 Rehabilitation and Rehoming",ann@thunderpuppyuniversity.com,303.898.4238,"Golden",CO,80403,
"Town of Meeker Animal Control",laurel@town.meeker.co.us,970-878-4968,"Meeker",CO,81641,
"Triple Acres Horse Rescue",tripleacreshorserescue@gmail.com,7199245101,"Boone",CO,81025,
"Twice Purrfect Feline Rescue",contact@twicepurrfect.org,(720) 772-9175,"Littleton",CO,80127,
"Underdogs Animal Rescue",info@underdogsrescue.org,,"Boulder",CO,80305,
"Vintage Dog Rescue",coloradoschnauzerrescue@gmail.com,,"Littleton",CO,80401,
"Wild Blue Animal Rescue and Sanctuary",contact@wbcats.org,(719) 900-2287,"Colorado springs",CO,80908,
