Name,Email,Phone,City,State,Zip,Website
"2nd Chance Animal Rescue of CT",janet@secondchanceanimalrescuect.org,,"Bethel",CT,6801,
"A Pups' Pizzazz",ldg1973@yahoo.com,(203) 241-2351,"Southbury",CT,6488,
"A Second Chance for Ziva, Inc.",info@asecondchanceforziva.com,,"Darien",CT,6820,
"Addicus Legacy Dog Rescue",addicuslegacydr@aol.com,(860) 794-9357,"West Hartford",CT,6107,
"Adopt-A-Dog, Inc.",adoptions@adoptadog.org,(914) 273-1674,"Greenwich",CT,6831,
"All The Kings Horses Equine Rescue Inc.",allthekingshorsesequinerescue@gmail.com,,"Northford",CT,6472,
"Almost Home for Cats",tashmoo53@yahoo.com,Call foster parent on pet listed for adoption,"Durham",CT,6422,
"Amanda Connection",noahandlea@aol.com,203-426-5488,"Newtown",CT,6759,
"American Lab Rescue, Inc",info@americanlabrescue.com,PLEASE EMAIL,"Willington",CT,6250,
"Animal Friends of Connecticut",afoc@afocinc.org,(860) 827-0381,"West Hartford",CT,6137,
"Animal Nation, Inc",laurie@animalnation.org,(203) 962-8684,"Norwalk",CT,6850,
"Animal Rescue Foundation, Inc.",lisa.ventura@arfct.org,860.583.3089,"Terryville",CT,6786,
"Animal Welfare Society, Inc.",animalwelfare.socty@snet.net,(860) 354-1350,"New Milford",CT,6776,
"Animals for Life, Inc.",contact@animalsforlife.org,(203) 267-6777,"naugatuck",CT,6770,
"Animals in Distress",kittiesforkeeps@gmail.com,203-762-2006,"Wilton",CT,6897,
"Animals-R-Family",animalsrfamilyinc@gmail.com,,"Stamford",CT,6906,
"Bandits Place",banditsplace1@gmail.com,860-653-0558,"East Hartland",CT,6035,
"BayBrook Rescue",mollymoo@snet.net,203-395-1001,"Sandy Hook",CT,6482,
"Best Friends For Life Animal Rescue",pigpen389@cox.net,(203) 250-7387,"Southington",CT,6489,
"Bethel Animal Control",bethelanimalcontrol@yahoo.com,203-778-7424,"Bethel",CT,6801,
"Better Days Rescue Fund",betterdaysrescue@gmail.com,,"Woodbury",CT,6798,
"Blind Dog Rescue Alliance - CT",info@blinddogrescue.com,877-BLIND-01,"Watertown",CT,6795,
"Boot n' Kit Canine Rescue",bootnkit@gmail.com,,"Canton",CT,6019,
"Branford Compassion Club",contact_us@branfordcompassionclub.org,203-483-6369,"North Branford",CT,6471,
"Bridgeport Animal Control Facilites",animal.shelter@bridgeportct.gov,(203) 576-7727,"Bridgeport",CT,6610,
"Brooke's Angels Rescue",brookesangelsct@gmail.com,,"East Windsor",CT,6088,
"Bully Breed Rescue Inc.",bbrct@yahoo.com,Use Email,"New Canaan",CT,6840,
"Canine Advocates of Newtown Inc.",director@canineadvocates.org,203 426 5327,"Newtown",CT,6470,
"Cat Tales, Inc.",info@cattalesct.org,860-344-9043,"Middletown",CT,6457,
"CATS Northeast Inc.",catsnortheast@outlook.com,,"Mansfield Center",CT,6250,
"City of New Britain CT Animal Control",pkeller@newbritainct.gov,(860) 826-3095,"New Britain",CT,6051,
"Coco's Animal Rescue Efforts of Seymour",seymourcares@yahoo.com,,"Seymour",CT,6483,
"Community Cats, Inc.",communitycatsct@yahoo.com,,"Stamford",CT,6907,
"Companion Pet Rescue - New England",mollibo@gmail.com,,"Watertown",CT,6795,
"Compassion For Cats",info@compassionforcats.org,203 929 7909,"Shelton",CT,6484,
"Compassion For Cats, New London County",carrienylen@comcast.net,(860) 886-5085,"Lisbon",CT,6351,
"Connecticut Cat Connection",adoptions@ctcatconnection.org,(860) 219-9396,"Windsor",CT,6095,
"Connecticut Draft Horse Rescue",ctdraftrescue@aol.com,,"East Hampton",CT,6424,
"Connecticut Humane Society - Newington",info@cthumane.org,800-452-0114,"Newington",CT,6111,
"Connecticut Parrot Rescue",info@ctparrotrescue.org,(203) 690-9055,"Stratford",CT,6615,
"CottonTail Rabbit Rescue",ctrabbitrescue@gmail.com,(203) 927-1130,"Wallingford",CT,6492,
"CT Animal House Inc.",ctahinfo@gmail.com,(860) 271-1361,"Mystic",CT,6355,
"CT Herding Dog Rescue",cthdr@yahoo.com,,"Lebanon",CT,6249,
"Dachshund Rescue and Pet Services",ctdrps@comcast.net,(860) 395-8929,"Killingworth",CT,6419,
"Dan Cosgrove Animal Shelter",lburban@branford-ct.gov,(203)315-4125,"Branford",CT,6405,
"Danbury Animal Welfare Society Inc. DAWS",daws@daws.org,(203) 744-3297,"Danbury",CT,6813,
"Dog Star Rescue",adopt@dogstarrescue.org,,"Canton",CT,6019,
"Double Dog Rescue",ddr@doubledogrescue.org,,"Unionville",CT,6085,
"East Coast Canine Rescue Inc.",eastcoastcaninerescue@gmail.com,(508) 341-7189,"Pomfret Center",CT,6259,
"East Coast Humane Society",cynthia@eastcoasthumanesociety.com,,"Torrington",CT,6790,
"East Haven Animal Shelter",tashmoo5454@comcast.net,(203) 468-3249,"East Haven",CT,6512,
"Ellington Animal Control",bmurdach@ellington-ct.gov,(860) 870-3155,"Ellington",CT,6029,
"Emily's Friends",adoptions@emilysfriendsrescue.com,,"Farmington",CT,6034,
"Eskies Online Multi-Breed Dog Rescue",denise@eskiesonline.com,(860) 908-9738,"Canterbury",CT,6331,
"Everybunny Counts",everybunnycounts@yahoo.com,,"Bristol",CT,6010,
"Feline Friends",purrfelinefriends@hotmail.com,,"Torrington",CT,6790,
"FeralCare",info@nutmegclinic.org,(203) 690-1550,"Stratford",CT,6614,
"Ferret Association of Connecticut, Inc",lvgruden@ferretassn.org,860-247-1275,"Hartford",CT,6106,
"Fix and Feed North Haven Inc",lisa@fixandfeednorthhaven.org,203-772-8528,"North Haven",CT,6473,
"Flora's Pet Project",floradog2003@yahoo.com,(203) 723-6609,"Naugatuck",CT,6770,
"Focus on Ferals, Inc.",michelle9121@live.com,(860) 608-1420,"Uncasville",CT,6382,
"For the Love of Labs Rescue",tracyc@fortheloveoflabs.org,,"Torrington",CT,6790,
