Name,Email,Phone,City,State,Zip,Website
"Alley Cat Allies",esiebenhar@alleycat.org,(240) 482-1980,"Bethesda",DC,20009,
"Capital Cats",info@capitalcats.org,,"Washington",DC,20003,
"Capitol Canines",contact@capitolcanines.org,,"Washington",DC,20008,
"City Dogs Rescue & City Kitties",info@citydogsrescuedc.org,,"Washington",DC,20008,
"DC PAWS Rescue",dcpawsrescue@gmail.com,,"Washington",DC,20026,
"Humane Rescue Alliance",adopt@humanerescuealliance.org,(202)7277369,"Washington",DC,20002,
"K-9 Lifesavers",adopt@k-9lifesavers.org,(202) 263-1990,"Washington",DC,20007,
"Lucky Dog Animal Rescue",info@luckydoganimalrescue.org,(202) 741-5428,"Washington",DC,20007,
"OneDogAtATimeDC",tamarabelden@gmail.com,240-994-2573,"Washington",DC,20012,
"Westie Rescue USA",info@westierescue.com,A Rescue Cooperative,"Washington",DC,20026,
