Name,Email,Phone,City,State,Zip,Website
"A Buddy For Life Inc.",info@ab4l.org,,"New Castle",DE,19720,
"Alaskan Malamute Rescue of Delaware",malrescuede@gmail.com,540-430-8223; email preferred,"New Castle",DE,19720,
"All Mutts Matter Foundation",allmuttsmatter@comcast.net,302-562-5280,"Wilmington",DE,19850,
"Andy's Friends, Inc.",info@andysfriends.org,302-793-CATS,"Wilmington",DE,19803,
"Australian Cattle Dog Rescue Association Inc",info@acdra.org,,"Townsend",DE,19734,
"Brandywine Valley SPCA - Delaware",officede@bvspca.org,302-516-1002,"New Castle",DE,19720,
"Changing Fates Equine Rescue of Delaware Inc.",cferdelaware@aol.com,,"Seaford",DE,19973,
"Crazy Old Lady Rescue",lindalangrescue@gmail.com,,"Newark",DE,19713,
"Delaware Alliance for Animal Welfare Group Inc",daawgsinc@yahoo.com,,"Newark",DE,19702,
"Delaware Humane Association",info@delawarehumane.org,302-571-0111,"Wilmington",DE,19801,
"Dumpster Cats Rescue League/Kitten Placement",dumpstrcat@aol.com,302-834-2859,"Kirkwood",DE,19701,
"Faithful Friends Animal Society",adoptadog@faithfulfriends.us,302-427-8514,"Wilmington",DE,19804,
"First State Animal Center and SPCA",k.usilton@fsac-spca.org,302-943-6032,"Camden",DE,19934,
"Forgotten Cats Inc.",catgalleryinfo@gmail.com,(302) 429-0124,"Wilmington",DE,19808,
"Grass Roots Rescue",grassrootsde@gmail.com,,"Milton",DE,19968,
"Homeless Cat Helpers, Inc.",d-c_brown@juno.com,,"Seaford",DE,19973,
"Hopeful Hearts Dog Rescue",meimeidog@hotmail.com,,"Wilmington",DE,19810,
"It Takes A Village Animal Rescue, Inc.",adoptme@itavar.com,(302) 690-1963,"Middletown",DE,19709,
"Kristi's Kats, Inc.",kidnurm@yahoo.com,302-381-3731,"Georgetown",DE,19947,
"LnF Dog Rescue",animalrescue@comcast.net,302-613-0394,"New Castle",DE,19720,
"One Dog More!",onedogmorerescue@gmail.com,302-632-6680,"Dover",DE,19904,
"Purrfect Haven Cat Rescue",purrfecthavencat@hotmail.com,302-786-2219,"Dover",DE,19903,
"PurringPals Rescue, Inc",rescuedpaws4purrs@yahoo.com,302-738-0768,"Newark",DE,19711,
"Renee's Rescues",info@reneesrescues.org,,"Hockessin",DE,19707,
"Response-a-Bull Rescue",caitlyn@response-a-bull.org,(302) 650-8123,"Wilmington",DE,19802,
"Save the Animals Adoption Center",ataylor@windcrestanimal.com,302-998-2995,"Wilmington",DE,19805,
"Senior Dog Haven & Hospice, Inc.",info@seniordoghaven.org,,"Wilmington",DE,19899,
"Tri State Shepherd Rescue Inc.",tristateshepherdrescue@gmail.com,302-724-6700,"Claymont",DE,19703,
