Name,Email,Phone,City,State,Zip,Website
"1 Lucky Dog Rescue, Inc.",jessie@1luckydogrescue.com,(786) 486-4188,"Hialeah",FL,33017,
"100Plus Animal Rescue, INC.",100plusabandoneddogs@gmail.com,1-877-506-8100 Ext. 1,"Wilton Manors",FL,33305,
"4 Lucky Dogs Pet Rescue, Inc.",4luckydogspetrescue@gmail.com,,"Sarasota",FL,34236,
"A Better Life - Pet Rescue",info@betterlifepets.com,,"Ocoee",FL,34761,
"A Better Life Rescue, Inc",abetterliferescue@bellsouth.net,(305) 978-0059,"Pembroke Pines",FL,33082,
"A Cause 4 Paws Rescue",info@acause4pawsrescue.org,407 810 3547,"Orlando",FL,32819,
"A Forever Home Animal Rescue, Inc",lmasters@cfl.rr.com,(407) 221-1855,"Tavares",FL,32778,
"A Promised Land Animal Rescue",promisedlandanimals@yahoo.com,813-610-2275,"Tampa",FL,33615,
"A Roof for Roofus Rescue",aroofforroofusrescue@gmail.com,(239) 220-2622,"Fort Myers",FL,33901,
"A Second Chance Puppies and Kittens Rescue",info@asecondchancerescue.org,561-333-1100,"Royal Palm Beach",FL,33421,
"Abandoned Pet Rescue",apr954@aol.com,954-728-9010,"Fort Lauderdale",FL,33304,
"Abby's Little Friends Rescue",website@abbyslittlfriends.com,(239) 234-6159,"Naples",FL,34104,
"Abbys Animal Rescue",abbylynnblum@gmail.com,(321) 303-7076,"Osteen",FL,32764,
"Adopt A Rescued Pet Inc.",aarpirescue@yahoo.com,352 795-9550,"Inverness",FL,34453,
"Adopt A Stray",info@adoptastray.ws,954-966-8382,"Hallandale",FL,33008,
"Adoptable Greythounds of Florida Inc.",adoptablegreythoundsofflorida@yahoo.com,(573) 535-4812,"North Port",FL,34286,
"AHHHHAINC Animals Helping Humans & Humans Helping Animals",ahhhhainc@yahoo.com,352-505-0019,"Newberry",FL,32669,
"Akita Rescue Society of Florida",arsf@juno.com,(904) 398-5786,"Jacksonville",FL,32207,
"Alachua County Animal Services",sclontz@alachuacounty.us,352-264-6870,"Gainesville",FL,32609,
"Alachua County Humane Society",info@alachuahumane.org,352-373-5855,"Gainesville",FL,32609,
"Alaqua Animal Refuge",adoptions@alaquaanimalrefuge.org,850-880-6399,"Freeport",FL,32439,
"All American Dachshund Rescue",allamericandachshundrescue@gmail.com,,"Sarasota",FL,34231,
"All Cats Healthcare Clinic",shane@allcatshealthcare.com,352-376-2287,"Gainesville",FL,32601,
"All For One Pet Rescue, Inc.",info@allforonepetrescue.org,561-228-4550,"Royal Palm Beach",FL,33421,
"All Kitty Korner",landerson53@tampabay.rr.com,727-421-5505,"Palmetto",FL,34221,
"Almost Home Dog Rescue, Inc",almosthomerescue@gmail.com,941-704-4765,"Terra Ceia",FL,34250,
"Amazing Grace Bully Rescue",amazinggracebullyrescue@gmail.com,(850) 723-2037,"Pensacola",FL,32526,
"Amber's Animal Outreach",ambersanimaloutreach@gmail.com,5614495491,"Loxahatchee",FL,33470,
"American Brittany Rescue-FL",abr.fl@americanbrittanyrescue.org,1-866-274-8911,"Palm Springs",FL,33461,
"American Bulldog Rescue",carey@americanbulldogrescue.org,,"Tampa",FL,33626,
"American Bullmastiff Rescue FL",mimifinlay@msn.com,305-282-3389,"Miami",FL,33143,
"American Maltese Rescue",elitek9a@aol.com,(561) 575-1663,"Jupiter",FL,32168,
"Animal Advocates FL, Inc.",animaladvocatesfl@gmail.com,407-314-3881,"Sanford",FL,32772,
"Animal Aid Foundation -Spay & Neuter Center",animalaid@embarqmail.com,850-386-4148,"Tallahassee",FL,32303,
"Animal Aid, Inc.",animalaidinc@aol.com,754-223-5378,"Oakland Park",FL,33334,
"Animal Care Society, Inc. DBA Clewiston Critter Care Animal Clinic",allforthecritters@yahoo.com,(863) 983-9145,"Clewiston",FL,33440,
"Animal Control of West Florida",acowf@att.net,850-638-2082,"Chipley",FL,32428,
"Animal Friends Society",animalfriendssociety@hotmail.com,813-240-4993,"Lutz",FL,33548,
"Animal Haven Rescue of Bay County Florida, LLC",ahrbc@aol.com,,"Panama city",FL,32402,
"Animal Matters",melissa7590@gmail.com,,"Boca Raton",FL,33433,
"Animal Medical Center of Lehigh Acres",amc@amc-la.com,239-369-0555,"Lehigh Acres",FL,33971,
"Animal Refuge Center, Inc.",meowmeowarc@hotmail.com,239-731-3535,"North Fort Myers",FL,33917,
"Animal Rescue Center of Bay County, Inc.",info@adoptbay.com,850-387-0224,"Panama City",FL,32404,
"Animal Rescue Force of South Florida Inc.",info@animalrescueforce.org,561-586-2126,"West Palm Beach",FL,33405,
"Animal Rescue Friends Network Inc.",info@arfn.org,,"Brooksville",FL,34601,
"Animal Welfare and Rescue",animalwelfareandrescue16@gmail.com,(813) 713-9211,"Dade City",FL,33523,
"Animal Welfare League of Charlotte County",info@awlshelter.org,941-625-6720,"Port Charlotte",FL,33980,
"AnimalLuvr's Dream Rescue, Inc",animalluvrsdreamrescue@gmail.com,8133588312,"Riverview",FL,33569,
"Aristocats, Inc.",aristocatgirl@hotmail.com,(321) 441-6481,"Orange City",FL,32763,
"ARK - Animal Rescue Konsortium",arksaves@gmail.com,(386) 624-3661,"Crescent City",FL,32112,
"Aussie And Me Animal Rescue",petinfo@aussieandme.org,,"Nokomis",FL,34275,
"Ayla's Acres No-Kill Animal Rescue, Inc.",stacey@aylasacres.org,650-520-5201,"Saint Augustine",FL,32084,
"Bailey's Way Rescue, Inc.",baileyswayrescue@gmail.com,239-462-3310,"Fort Myers",FL,33919,
"Barkies Legacy",barkieslegacy@yahoo.com,,"Ocoee",FL,34761,
"Barking Back",barkingbackrescue@gmail.com,,"Port Orange",FL,32127,
"Barky Pines Animal Rescue Sanctuary Inc",barkypines@gmail.com,5614021451,"West Palm Beach",FL,33412,
"Bay Area Greyhound Adoptions Inc.",baga@tampabay.rr.com,(813) 272-2332,"Tampa",FL,33607,
"BBTLCS/dba The Last Chance Sanctuary",info@thelastchancesanctuary.com,,"Melbourne",FL,32940,
"Be the Change Inc",juliehansonart@earthlink.net,941-923-1293,"Sarasota",FL,34231,
"Bell's Promise Animal Rescue, Inc.",bellspromiserescue@gmail.com,(863) 272-4666,"Lakeland",FL,33809,
"Best Care Animal Hospital",carangelo82@gmail.com,(727) 846-8899,"New Port Richey",FL,34653,
"Beyond Nine Cat Rescue",beyondninecatrescue@yahoo.com,(954) 348-3858,"Pompano Beach",FL,33069,
"Big Dog Ranch Rescue",adoptions@bdrr.org,(561) 791-6465,"Loxahatchee",FL,33470,
"Big Hearts 4 Paws Rescue",bighearts4pawsrescue@yahoo.com,,"Wellington",FL,33414,
"Big Hearts for Big Dogs Rescue- Miami",info@bigheartsbigdogs.com,,"Miami",FL,33176,
"Bishop Animal Shelter SPCA of Manatee County",info@bishopspca.org,(941) 792-2863,"Bradenton",FL,34209,
"Bitty Kitties of Central Florida",bittykittiesofcentralflorida@rescueteam.com,(321) 377-8166,"Lake Mary",FL,32746,
"Black Cats & Old Dogs Animal Rescue",blackcatsolddogs@gmail.com,(850) 491-8398,"Tallahassee",FL,32304,
"Blessed Paws Animal Rescue Inc",blessedpawsanimalrescue@gmail.com,(561) 306-9363,"Lake Worth",FL,33460,
"Bo Nose Rescue",bonoserescue@gmail.com,,"Cape Coral",FL,33990,
"Born Free Pet Shelter",bornfreepetshelter@gmail.com,(786) 205-6865,"Key Biscayne",FL,33149,
"Boston Terrier Rescue of Florida, Inc.",contact@bostonrescueflorida.org,(844) 233-8337,"Lake Mary",FL,32746,
"Boxer Aid & Rescue Coalition, Inc.",info@boxerarc.org,(877) 633-2108,"Tallahassee",FL,32317,
"Boxer Friends, Inc. (Boxer Rescue)",info@boxerfriends.org,866-715-9743,"Fort Lauderdale",FL,33346,
"Boxer Rescue Angels of Florida",info@flboxerangels.org,800-847-5196,"Bradenton",FL,34202,
"Breakfast Club K9 Rescue, Inc. - LaBelle",breakfastclubrescue@outlook.com,(863) 674-1592,"Labelle",FL,33935,
"Brigid's Crossing Foundation",mar04freebird@yahoo.com,(239) 825-3322,"Naples",FL,34108,
"Brookes Legacy Animal Rescue, Inc.",admin@brookeslegacyanimalrescue.org,(239) 434-7480,"Naples",FL,34102,
"Broward County Animal Care and Adoption",animalcare@broward.org,954-359-1010,"Fort Lauderdale",FL,33312,
"Broward Ferret Rescue & Referral",fuzzyrescues@aol.com,(954) 977-4583,"Coconut Creek",FL,33334,
"Buddies for Life Inc.",fixfido@outlook.com,,"Orlando",FL,32853,
"Buddies Thru Bullies - English Bulldog Rescue",btbrescue@gmail.com,305 666 8870,"Miami",FL,33134,
"Buddy Rescue",brevardbuddyrescue@gmail.com,321-863-5205,"Cocoa",FL,32926,
"Buddy's Buddies Animal Rescue, Inc.",bbar@rescueteam.com,(863) 257-4228,"Avon Park",FL,33825,
"C Dog Run, Inc",cdogruninc@gmail.com,850-398-2703,"Crestview",FL,32539,
"C.A.R.E.",careshelter@aol.com,(813) 645-2273,"Ruskin",FL,33570,
"C.A.R.T.",cart2012@embarqmail.com,(850) 837-3856,"DeFuniak Springs",FL,32433,
"Caloosa Humane Society, Inc.",info@caloosahumanesociety.org,(863) 675-0997,"Labelle",FL,33975,
"Camp Many Paws",susanjp5657@gmail.com,239-438-2963,"Naples",FL,34112,
"Candys Cats, Inc.",candyscats@gmail.com,407-760-2052,"Orlando",FL,32835,
"Canine Castaways",caninecastaways@hotmail.com,863-491-MUTT (6888),"Arcadia",FL,34266,
"Canine Estates inc",director@canineestates.com,727-412-0558,"Palm Harbor",FL,34683,
"CARE of Santa Rosa County",careofsantarosacountyfl@yahoo.com,,"Navarre",FL,32566,
"CARES (Community Animal Rescue & Educational Shelter",caresrescue@gmail.com,,"Brooksville",FL,34604,
"Caring Fields Felines",pauline@cffelines.org,(772) 634-9501,"Palm City",FL,34990,
"Cat Call Inc.",catcallfl@gmail.com,(813) 324-9320,"Brandon",FL,33511,
"Cat Crusade Adoption & Rescue",catcrusadeadoption@gmail.com,(954) 644-9967,"Fort Lauderdale",FL,33315,
"Cat Crusaders",adopt@tampacatcrusaders.org,941-444-1228,"Wesley Chapel",FL,33544,
"Cat Depot",adoptions@catdepot.org,(941) 366-2404,"Sarasota",FL,34243,
"Cat Haven Rescue Inc",yodaflorida@yahoo.com,,"Land O Lakes",FL,34639,
"Cat Lovers Inc.",cewtampa@aol.com,(813) 831-2431,"Tampa",FL,33629,
"Catapalooza, Inc.",catapaloozatnr@gmail.com,,"Orlando",FL,32826,
"Catopia Cat Rescue",catopiacatrescue@gmail.com,954.608.5851,"Plantation",FL,33318,
"Cats Angels, Inc. SPCA",catsangels@catsangels.com,(904) 321-2267,"Fernandina Beach",FL,32035,
"Cats Are My Love",catsaremyloves@gmail.com,,"Orlando",FL,32807,
"Cats Exclusive, Inc.",adopt@catsexclusive.org,(954) 975-8349,"Margate",FL,33063,
"Cats In Knead, Inc",adoptions@catsinknead.org,(321) 345-8727,"Orlando",FL,32856,
"CATS-CAN",kittyrescuetnr@gmail.com,,"Oviedo",FL,32762,
"Cause for Paws, Inc",causeforpawsfl@gmail.com,9543404493,"Parkland",FL,33067,
