Name,Email,Phone,City,State,Zip,Website
"A Pawfect Love Placement Foundation",apawfectlove@yahoo.com,,"Fayetteville",GA,30214,
"A Rescue Tail, Inc.",arescuetail@yahoo.com,(478) 246-4579,"Rentz",GA,31075,
"Act2Pups Pet Rescue",act2pups@yahoo.com,,"Marietta",GA,30062,
"Albany Humane Society/Sally Wetherbee Adoption Center",info@albanyhumanesociety.com,(229) 888-7387,"Albany",GA,31706,
"Alcovy Pet Rescue, Inc.",alcovypet@gmail.com,,"Monroe",GA,30656,
"All About Animals Rescue",allaboutanimalsmacon@juno.com,(478) 621-5116,"Macon",GA,31208,
"All About Cats Inc",aacatsrescue@gmail.com,(404) 401-6793,"Roswell",GA,30076,
"Amal Animal Rescue Foundation Inc",shirleybadawi@gmail.com,706-506-3652,"Rome",GA,30161,
"Amberwood Sanctuary, Inc",amberwoodgeorgia@gmail.com,(229) 792-6246,"Leary",GA,39862,
"Angel Dog Rescue, Inc.",sugull@bellsouth.net,,"Georgetown",GA,39854,
"Angels Among Us Pet Rescue, Inc.",inquiry@angelsrescue.org,(877) 404-5874,"Alpharetta",GA,30009,
"Animal Action Rescue",jared@animalactionrescue.org,(404) 668-0100,"Clarkston",GA,30021,
"Animal Ark",animalarkadoptions@yahoo.com,706 569 6040,"Columbus",GA,31907,
"Animal Companion Rescue Foundation",pawsandstars.animalrescue@yahoo.com,000-000-0000,"Atlanta",GA,30358,
"Animal Refuge Foundation of Wayne Co., Inc.",arfofwaynecounty@yahoo.com,912-586-6198,"Jesup",GA,31598,
"Animal Rescue League of Northwest Georgia",arlofnwga@gmail.com,(678) 848-1889,"Calhoun",GA,30701,
"Animal Shelter of Pickens County",cindyhes@yahoo.com,(706) 253-8983,"Jasper",GA,30143,
"Animals Deserve Better Inc",adb@animalsdeservebetter.com,770-402-0297,"Marietta",GA,30007,
"Athens Canine Rescue",adopt@athenscaninerescue.com,please email,"Athens",GA,30602,
"Athenspets",info@athenspets.net,(706) 613-3540,"Athens",GA,30605,
"Atlanta Animal Rescue Friends, Inc. (AARF)",info@aarfatlanta.org,678-534-3483,"Stone Mountain",GA,30083,
"Atlanta Canine Adoption Project",atlantacanine@bellsouth.net,,"Monticello",GA,31064,
"Atlanta Dog Squad",info@atlantadogsquad.org,404-642-5295 (please email),"Roswell",GA,30076,
"Atlanta Humane Society",hmadoption@atlantahumane.org,404-875-5331,"Atlanta",GA,30318,
"Atlanta Humane Society",mcadoption@atlantahumane.org,404-875-5331,"Alpharetta",GA,30009,
"Atlanta Lab Rescue",info@atlantalabrescue.com,,"Atlanta",GA,30325,
"Atlanta Weimaraner Club Rescue",rescue@atlantalovesweims.org,678-561-0897,"Marietta",GA,30068,
"Bainbridge - Decatur County Humane Society",bainbridgedchs@bellsouth.net,229-246-0101,"Bainbridge",GA,39819,
"Baldwin County Animal Control",friendsofbcacaga@gmail.com,(478) 445-5514,"Milledgeville",GA,31061,
