Name,Email,Phone,City,State,Zip,Website
"A Home for EveryBunny",ahomeforeverybunny@outlook.com,,"Ankeny",IA,50023,
"Agape Fosters",alterupet@aol.com,,"Reinbeck",IA,50669,
"AHeinz57 Pet Rescue & Transport, Inc.",adopt@aheinz57.com,515-834-3016,"Adel",IA,50003,
"Ames Animal Shelter",animalsinames@cityofames.org,515-239-5530,"Ames",IA,50010,
"Animal Lifeline of Iowa Inc.",director@animallifelineia.org,(515) 285-7387,"Des Moines",IA,50320,
"Animal Protection League",firstmed1@aol.com,(319) 524-5137,"Burlington",IA,52601,
"Animal Rescue League",frontdesk@arlmarshalltown.com,(641) 753-9046,"Marshalltown",IA,50158,
"Animal Rescue League of Iowa Inc.",social@arl-iowa.org,,"Des Moines",IA,50313,
"Animal Rescue of Carroll",animalrescueofcarroll@yahoo.com,712-790-9116,"Carroll",IA,51401,
"Animal Welfare Friends",wesavepets@netins.net,(319) 975-8283,"Monticello",IA,52310,
"Blue Ridge Rescue",blueridgeacres@msn.com,(563) 949-0245,"Blue Grass",IA,52726,
"Boone Area Humane Society",adopt.bahs@gmail.com,(515) 432-6112,"Boone",IA,50036,
"Broderick Animal Clinic",broderickanimalclinic@gmail.com,515-987-1447,"Waukee",IA,50263,
"Calhoun Co. Canine Shelter",sschossow@calhouncountyiowa.com,(712) 297-8323 ex. 236,"Rockwell City",IA,50579,
"Catnip and Tails Rescue, Inc.",tainsworth5@hotmail.com,(712) 314-7669,"Council Bluffs",IA,51503,
"Cedar Bend Humane Society",cbhsadoption@mchsi.com,319-232-6887,"Waterloo",IA,50703,
"Cedar Creek Sanctuary",mtstlc@iowatelecom.net,712-288-6218,"Fonda",IA,50540,
"Cedar Valley Pit Bull Rescue",cvpbradoption@gmail.com,,"Waterloo",IA,50703,
"Creston Animal Rescue Effort/Creston City Pound",mdowney@iowatelecom.net,(641) 782-2330,"Creston",IA,50801,
"Denison City Pound",jjdreyer@mchsi.com,712-263-8393,"Denison",IA,51442,
"Des Moines County Humane Society",dmchumane@yahoo.com,(319) 753-8389,"Burlington",IA,52601,
"Diamond in the Ruff Rescue",diamondintheruffrescue@hotmail.com,6418443370,"State Center",IA,50247,
"Dog Gone Rescue, Inc.",janel@doggonerescue.com,,"Creston",IA,50801,
"Dogs Forever of Iowa",info@dogsforever.org,,"Cedar Rapids",IA,52404,
"Emmet County Animal Shelter",emmetcountyanimalshelter@live.com,712-209-1288,"Estherville",IA,51334,
"FluffyButts Rescue Resort",fluffybutts4u@yahoo.com,,"Des Moines",IA,52353,
"Forever Home Dog Rescue",adopt@foreverhomedogs.org,515-270-2915,"Johnston",IA,50131,
"Friends of the Animals",friendsoa@yahoo.com,563-886-2361,"Tipton",IA,52772,
"Fur Fun Rescue",rox@furfunrescue.org,(319) 929-6657,"Lisbon",IA,52253,
"Furry Friends Refuge",adoptions@furryfriendsrefuge.org,515-222-0009,"Clive",IA,50325,
"Gems Forever Animal Rescue Inc",info@gemsforever.org,(319) 775-0470,"Cedar Rapids",IA,52404,
"Great Pyrenees Rescue of Iowa, Inc.",rescue@iowafortunefarm.com,319-446-6050,"Atkins",IA,52206,
"Greenbelt Humane Society",greenbelthumane@hotmail.com,515-859-7770,"Alden",IA,50126,
"H.E.A.R.T.",ameow2002@yahoo.com,(641) 939-2620,"Eldora",IA,50627,
"Hamilton County Animal Advocates",hamiltoncountyanimaladvocates@gmail.com,,"Stratford",IA,50249,
"Happy Tales Ranch and Rescue",happytalesiowa@gmail.com,712-249-3203,"Colfax",IA,50054,
"Heartland Greyhound Adoption",adopt@heartlandgreyhoundadoption.org,,"Bondurant",IA,50035,
"Heartland Pet Hospital",hph@iowatelecom.net,515-733-2218,"Story City",IA,50248,
"Heavenly Pet Sanctuary",friends@heavenlypet.org,(641) 919-1289,"Fairfield",IA,52556,
"Homeward Bownd Siberian Husky Rescue",homewardbownd@gmail.com,563-223-8148,"La Motte",IA,52054,
"Hope Animal Rescue",harofiowa@gmail.com,,"Clive",IA,50325,
"Humane Society of North Iowa",hsni@hsni.org,641-423-6241,"Mason City",IA,50401,
"Humane Society of Northeast Iowa",hsneiowa@gmail.com,5633820500,"Decorah",IA,52101,
