Name,Email,Phone,City,State,Zip,Website
"Animal Shelter of Wood River Valley",info@animalshelterwrv.org,(208) 788-4351,"Hailey",ID,83333,
"Animals Need Help of Bear Lake",kjfam@dcdi.net,(208) 339-0130,"Montpelier",ID,83254,
"Bannock Humane Society",bhsfosterprogram@gmail.com,(208) 232-0371,"Pocatello",ID,83204,
"Boise Bully Breed Rescue",cathleen.catti@gmail.com,,"Eagle",ID,83616,
"Bonneville Humane Society",bsociety@qwestoffice.net,(208) 529-9725,"Idaho Falls",ID,83403,
"Boxer Lovers Rescue",adopt@boxer-rescue.net,(208) 779-2114,"Boise",ID,83714,
"Chubbuck Animal Control Facility",animalcontrol@cityofchubbuck.us,(208) 239-3249,"Chubbuck",ID,83202,
"City of Rexburg Animal Shelter",animalshelter@rexburg.org,208-359-3005,"Rexburg",ID,83440,
"Clearwater Humane Society",clearwaterhumanesociety@gmail.com,208-476-9823,"Orofino",ID,83544,
"Double J Dog Ranch, Inc.",doublejdogranch@aol.com,208-457-8600,"Hauser",ID,83854,
"FOR THE LOVE OF PETS FOUNDATION",straighttalkidaho@yahoo.com,208-662-5808,"Hamer",ID,83425,
"Four Paws Pet Adoptions Inc.",fourpawspetadoptions@hotmail.com,208 356 3717,"Rexburg",ID,83440,
"Fuzzy Pawz Rescue",rescue@fuzzypawzrescue.com,208-546-9020,"Boise",ID,83706,
"Happy Jack Cats, Inc.",happyjackcats@gmail.com,2089918520,"Meridian",ID,83680,
"Heart of Idaho Animal Sanctuary",info@heartofidahoanimalrescue.com,(208) 879-6500,"Challis",ID,83226,
"Help Every Little Paw",helpeverylittlepaw@hotmail.com,(208) 446-6500,"Coeur D Alene",ID,83814,
"Helping Hands Rescue, Inc.",info@helpinghandsrescue.com,(208) 743-3157,"Lewiston",ID,83501,
"Hope's Haven Animal Shelter",hopeshaven@smgazette.com,(208) 245-7387,"St. Maries",ID,83861,
"Humane Society of the Palouse",information@humanesocietyofthepalouse.org,(208) 883-1166,"Moscow",ID,83843,
"Humane Society of the Upper Valley",hsuv@hsuv.org,208-681-4788,"Idaho Falls",ID,83405,
"Idaho Domestic Animal Welfare Group",findadog@hotmail.com,208-283-9513,"Nampa",ID,83652,
"Idaho Falls Animal Shelter",ifanimalshelter@idahofallsidaho.gov,208-612-8670,"Idaho Falls",ID,83401,
"Idaho Saint Bernard Rescue",flutterby214@hotmail.com,208-703-1727,"Boise",ID,83706,
"Kootenai Humane Society",contactkhs@kootenaihumanesociety.com,(208) 772-4019,"Hayden",ID,83835,
"Lemhi County Humane Society Inc.",salmonanimalshelter@gmail.com,(208) 756-4100,"Salmon",ID,83467,
"Lewis Clark Animal Shelter",lauren.profitt@lcshelter.org,208-746-1623,"Lewiston",ID,83501,
"Magicats, Inc.",magicats@filertel.com,208 431 2954,"Buhl",ID,83316,
"MCPAWS Regional Animal Shelter",frontdesk@mcpaws.org,(208)634-3647,"McCall",ID,83638,
"Meridian Canine Rescue",adopt@meridianrescue.org,(208) 794-0944,"Meridian",ID,83642,
"MISFIT Rescue",misfitrescue@gmail.com,2086807904,"Blackfoot",ID,83221,
"Panhandle Animal Shelter",info@pasidaho.org,(208)265-PAWS (7297),"Ponderay",ID,83852,
"Pet Adoption League",bc2268@yahoo.com,208-365-1359,"Emmett",ID,83617,
"Pocatello Animal Shelter",kvelman@pocatello.us,(208) 234-6156,"Pocatello",ID,83205,
"Power of the Paw",info@powerofthepaw.org,208-771-6032,"Post Falls",ID,83877,
"Priest River Animal Rescue",pranimalhouse@hotmail.com,(208) 448-0699,"Priest River",ID,83856,
"Remembering Ruby Rabbit Rescue",idahorabbitrescue@gmail.com,,"Idaho Falls",ID,83404,
"Second Chance Animal Adoption",secondchanceanimaladoption@hotmail.com,208-267-7504,"Bonners Ferry",ID,83805,
"Second Chance Pet Rescue",idahocoondog@yahoo.com,(208) 664-4106,"COEUR D ALENE",ID,83814,
"Shoshone Pet Rescue (SPR)",shoshonepetrescue@yahoo.com,(208) 512-3401,"Kellogg",ID,83837,
"Silver Valley Cat Wranglers, Inc.",silvervalleycatwranglers@gmail.com,,"Kellogg",ID,83837,
"Simply Cats",info@simplycats.org,208-343-7177,"Boise",ID,83707,
"Snake River Animal Shelter",kenneltech@snakeriveranimalshelter.org,2085234219,"Idaho Falls",ID,83402,
"Southwest Idaho Pug Rescue",stacy@swiprescue.com,,"Meridian",ID,83680,
"Take Me Home Dog Rescue",takemehomedogrescue@gmail.com,(208) 866-2402,"Eagle",ID,83616,
"Teton Valley Community Animal Shelter",manager@tvshelter.org,(208) 354-3499,"Driggs",ID,83422,
"The Furry Farm Rescue",ffr@thefurryfarmrescue.org,(208) 755-0879,"Rathdrum",ID,83858,
"West Valley Humane Society",jessica@westvalleyhumanesociety.org,(208) 455-5920,"Caldwell",ID,83607,
"Western States English Setter Rescue",k40moore@cableone.net,208-869-4065,"Boise",ID,83704,
