Name,Email,Phone,City,State,Zip,Website
"2nd Chance For Pets/Dewitt County Animal Shelter",secondchanceforpets@yahoo.com,(217) 935-3488,"Clinton",IL,61727,
"2nd Hand Ranch & Rescue",2ndhrr@gmail.com,309-738-7480,"Princeton",IL,61356,
"4 Paw Sake Rescue",info@4pawsake.com,(708) 758-3647,"Lynwood",IL,60411,
"4 Paws 4 U 4 Ever",puppiestolove@hotmail.com,(630) 293-8772,"West Chicago",IL,60185,
"A Caring Place - All Breed Dog Rescue",acaringplace@comcast.net,630-375-7976,"Westmont",IL,60559,
"A Heart for Animals",aheart4animalsanimalwelfare@gmail.com,847-868-2432,"Huntley",IL,60142,
"A Journey Home",ajourneyhomedogrescue@gmail.com,,"South Elgin",IL,60177,
"A Tail of 4 Paws",rescue@atailof4paws.org,855 630 7297,"Romeoville",IL,60446,
"A.D.O.P.T. Pet Shelter",adoptions@adoptpetshelter.org,630.355.2299,"Naperville",IL,60563,
"A&S Pit Bull and Am Staff Rescue",aandsrescue@aol.com,,"Cary",IL,60013,
"Adoptables - Feral Feline Project",feralfelineproject@gmail.com,,"Wheeling",IL,60090,
"adoptaBull English Bulldog Rescue",info@adoptabull.org,(855) 385-5111,"Chicago",IL,60606,
"Adrianne's Angels-St. George Pet Rescue",mayscatnapinn@yahoo.com,815-520-8382,"MOUNT CARROLL",IL,61053,
"ALIVE Rescue",info@aliverescue.org,(773) 913-8100,"Chicago",IL,60622,
"All 4 the Love of Cats",all4theloveofcats@hotmail.com,847-302-6410,"Palatine",IL,60078,
"All Herding Breed Dog Rescue",banditsluv@msn.com,,"Joliet",IL,60432,
"All Life Is Valuable, NFP",alivwelfare@yahoo.com,(773) 732-2266,"Chicago",IL,60643,
"All Those Left Behind Animal Rescue, Inc.",atlbrescue@gmail.com,,"Morris",IL,60450,
"Almost Home Foundation",info@almosthomefoundation.org,,"Elk Grove Village",IL,60009,
"Alton Area Animal Aid Assoc.",richardjun@att.net,618 466-3702,"Godfrey",IL,62035,
"Always Room 4 More Paws",alwaysroom4morepaws@yahoo.com,,"Elgin",IL,60121,
"American Brittany Rescue-IL/IN/IA/MI/OH",abr.il@americanbrittanyrescue.org,(866) 274-8911,"Sugar Grove",IL,60554,
"Anderson Animal Shelter",neuteryourpets@andersonanimalshelter.org,847-697-2880,"South Elgin",IL,60177,
"Angels On Wheels Animal Rescue NFP",info@angelsonwheels.org,,"Naperville",IL,60564,
"Animal Aid Humane Society",vickieskittens@att.net,(309) 797-6550,"Moline",IL,61265,
"Animal Care League",caninemanager@animalcareleague.org,708-848-8155,"Oak Park",IL,60304,
"Animal Education and Rescue",info@aear.org,(847) 816-0831,"Libertyville",IL,60048,
"Animal Heartline Humane Association",animalheartline@hotmail.com,630-341-3411,"Lombard",IL,60148,
"Animal Hospital of Monticello",animalhospitalofmonticello@gmail.com,217-762-2144,"Monticello",IL,61856,
"Animal House Shelter",info@animalhouseshelter.com,(847) 961-5541,"Huntley",IL,60142,
"Animal Medical Center",nickie8k@hotmail.com,(708)758-3220,"Sauk Village",IL,60411,
