Name,Email,Phone,City,State,Zip,Website
"2x2 Rescue",2x2rescue@gmail.com,,"Merrillville",IN,46410,
"4 Precious Paws Rescue",fourpreciouspaws@yahoo.com,(765) 450-6750,"Kokomo",IN,46902,
"A 2nd Chance Animal Rescue of Richmond, Inc",2ndchancerescueinc@gmail.com,765-914-6510,"Richmond",IN,47374,
"A Cause For Paws",acauseforpaws@frontier.com,574-753-5575,"Logansport",IN,46947,
"A Critter's Chance",anosie@gmail.com,,"Plainfield",IN,46168,
"A.D.O.P.T",adogonprisonturf@yahoo.com,812-265-6154 x 267/8125920337,"Madison",IN,47250,
"Aboite Feline Sanctuary & Adoption Center",catguy925@frontier.com,260-456-0050,"Fort Wayne",IN,46814,
"Action For Animals",actionforanimals.teresa@gmail.com,(765)774-3509,"Muncie",IN,47308,
"ADAPT for Animals",adapt@uniformmedia.com,,"Portland",IN,47371,
"Adopt at  Help The Animals Inc.",helptheanimalsinc@comcast.net,(765) 962-6811,"Richmond",IN,47374,
"Adopt Me Animal Rescue",adoptmeinfo@gmail.com,,"Lafayette",IN,47904,
"Adopt-A-Dog Inc.",adoptadog47353@gmail.com,765-994-5201,"Liberty",IN,47353,
"All 4 Animal Rescue",a4aadoptioncoordinator@gmail.com,(574) 520-1313,"Mishawaka",IN,46544,
"All American Dawgs",allamericandawgs@gmail.com,812-267-2814,"Newburgh",IN,47630,
"ALL Creatures Matter Rescue",angie@allcreaturesmatter.org,,"Westfield",IN,46074,
"Alliance for Responsible Pet Ownership, Inc - ARPO",adoptions@adoptarpo.org,317-774-8292,"Indianapolis",IN,46038,
"Almost Home Schnauzer and Small Dog Rescue - IN",board@ahsr.ngo,(317) 776-4916,"Noblesville",IN,46060,
"American Greyhound",adopt@americangreyhound.org,,"Hobart",IN,46342,
"Americas Basenji and Shiba Inu Rescue Inc.",nicollejoy@comcast.net,(317) 619-6444,"Indianapolis",IN,46259,
"Animal Adoption Network, Inc.",pjarmstrong70@aol.com,(812) 267-9608,"Laconia",IN,47135,
"Animal Care Alliance",animalcareallilance@gmail.com,765-488-1342,"Richmond",IN,47374,
"Animal House Sanctuary",animalhousesanctuary@yahoo.com,,"Huntington",IN,46750,
"Animal Outreach of Shelby County",kmay@shelbypets.com,(317) 364-4227,"Shelbyville",IN,46176,
"Animal Protection Association (APA)",info@apa-pets.org,(812) 283-6555,"Jeffersonville",IN,47130,
"Animal Protection League",maleahstringer@aol.com,(765) 356-0900,"Anderson",IN,46011,
"Animal Rescue Fund",info@munciearf.com,(765) 282-2733,"Muncie",IN,47304,
"Animal Rescue Squad",elizabeth.perez1204@gmail.com,(219) 730-2606,"Dyer",IN,46311,
"Animal Welfare League",ravenle359@aol.com,(765) 962-8393,"Richmond",IN,47374,
"Another Chance For Animals",adoptions@acaevansville.com,,"Evansville",IN,47724,
"Ark Animal Sanctuary",lagrangearkanimalsanctuary@gmail.com,260-463-4142,"Lagrange",IN,46761,
"Back-Roads Dog Rescue",backroads46994@gmail.com,574-626-2835/574-732-0226,"Walton",IN,46994,
"Barkers & Whiskers Animal Rescue",barkersnwhiskers@yahoo.com,(317) 999-1346,"Brownsburg",IN,46112,
"Bartholomew County Humane Society",mjirwin@seidata.com,(812) 372-6063,"Columbus",IN,47201,
"Begin Again Rescue Co.",beginagainrescueco@gmail.com,(219) 263-0348,"Valparaiso",IN,46383,
"Blackford County Animal Shelter",blackfordcountyanimalshelter@yahoo.com,765-348-5284,"Hartford City",IN,47348,
"Blaze & Saddles Springer Rescue of Indiana, Inc",dog.rescue@hotmail.com,317-894-3122,"Indianapolis",IN,46229,
"Bloomington Animal Shelter",eppleyj@bloomington.in.gov,(812) 349-3492,"Bloomington",IN,47401,
"Bluffton Animal Shelter",animal@ci.bluffton.in.us,(260) 824-6063,"Bluffton",IN,46714,
"Brown County Humane Society",adoptbchs@gmail.com,812-988-7362,"Nashville",IN,47448,
"Buddys Bandits Inc",buddysbanditsrescue@gmail.com,(765) 273-8008,"Greentown",IN,46936,
"Camp Cavy Rescue",campcavyrescue@gmail.com,,"Michigan City",IN,46360,
"Camp K9 Rescues",linda@campk9dogs.com,5742562267,"Mishawaka",IN,46545,
"Canine Castaways Rescue",shelly@caninecastawaysrescue.org,317-345-6578,"Fountaintown",IN,46130,
"Caring Canine Animal Rescue",rescueccar@gmail.com,,"Coal City",IN,47427,
"Casa Del Toro Pit Bull  Rescue",adopt@cdtrescue.org,(317) 586-8024,"Indianapolis",IN,46227,
"Cats Haven Ltd.",catshavenltd@sbcglobal.net,317-925-7001,"Indianapolis",IN,46201,
"Central Indiana Foster Cats",centralinfostercats@gmail.com,3179102544,"Speedway",IN,46224,
"Central Indiana Lab Rescue and Adoption",cilralabs@yahoo.com,(888) 882-1900,"Indianapolis",IN,46217,
"Child and Pet Relief Fund [CPR Fund]",info@cprfund.com,,"Lowell",IN,46356,
"Circle City Kitties",circlecitykitties@gmail.com,,"Indianapolis",IN,46259,
"City of Columbus Animal Care Services",animalcareservices@columbus.in.gov,812-376-2505,"Columbus",IN,47203,
"City of Washington Animal Control",animalcontrol@washingtonin.us,1-(812)-254-8226,"Washington",IN,47501,
"Clancy's Dream Inc.",ks8092@gmail.com,,"Seymour",IN,47274,
"Clay County Humane Society",claycohumane@hotmail.com,(812) 446-5126,"Brazil",IN,47834,
"Clinton County Humane Society",cchs04@sbcglobal.net,765-654-7717,"Frankfort",IN,46041,
"Community Humane Shelter of Steuben County",shelter@steubencountyhumanesociety.org,(260) 833-2877,"Angola",IN,46703,
"Creekside Animal Rescue",creeksiderescue@gmail.com,(317) 946-1316,"Roachdale",IN,46172,
"Dedicated to Dobermans Rescue",adopt.dtdr@gmail.com,www.DedicatedToDobes.com,"Lafayette",IN,47909,
"DeKalb Humane Society",dekalbhumanesocietydir@gmail.com,(260) 868-2409,"Butler",IN,46721,
"Dog It Dig It Rescue Inc.",dog_it_dig_it_rescue@yahoo.com,(812) 264-7239,"Terre Haute",IN,47802,
"Dogtown Resort",cmanley139@gmail.com,574-849-0844,"Middlebury",IN,46540,
"Dream Paws",dreampawsrescue@gmail.com,574-255-0131,"Mishawaka",IN,46544,
"Dubois County Humane Society",adoptatdchs@gmail.com,812-482-7387,"Jasper",IN,47547,
"EARPS, Inc.",adoption@earps.org,,"Brownsburg",IN,46201,
"East Side Animal Hospital",info@eastsideah.com,(812)477-3826,"Evansville",IN,47715,
"EB Feline Rehoming",ebfelinerehoming@gmail.com,,"Fort Wayne",IN,46815,
"Elwood Animal Care and Control",elwoodanimalshelter@cityofelwood.com,(765) 635-7191,"Elwood",IN,46036,
"Every Dog Counts Rescue",everydogcountsrescue@gmail.com,,"Indianapolis",IN,46228,
"FACE Low-Cost Animal Clinic",adopt@faceanimalclinic.org,317-638-3223,"Indianapolis",IN,46201,
"Far Fetched Dog Rescue",farfetchedrescue@gmail.com,,"Indianapolis",IN,46241,
"Fat Heads Rescue",contact@fatheads.org,,"Clarksville",IN,47129,
"Five Points Ferret Refuge",fivepointsferretrefuge@yahoo.com,317 356 2653,"Indianapolis",IN,46239,
"For Paws Sake Canine Rescue",adopt@fpscaninerescue.org,812-201-0965,"Brazil",IN,47834,
"Fort Wayne Animal Care & Control",adoptionhelp@cityoffortwayne.org,(260) 427-5502,"Fort Wayne",IN,46808,
"Fort Wayne Pit Bull Coalition",fwpitbullcoalition@gmail.com,,"Fort Wayne",IN,46867,
"Frenzy Animal Rescue",ladyindy@comcast.net,317-414-5662,"New Palestine",IN,46163,
"Friends For Keeps",dmckenna@aol.com,317-696-8706,"Carmel",IN,46280,
"Friends For Paws",friendsfor.paws@yahoo.com,(765) 610-8135,"Pendleton",IN,46064,
"Fulton County Animal Adoption and Education Center",janet@fultoncoanimalcenter.org,574-223-7387,"Rochester",IN,46975,
"Furry Friends of Indiana - Warsaw",furryfriendsindiana@yahoo.com,260-610-5171,"Larwill",IN,46764,
"Giant Paw Prints Inc.",giantpawprints@aol.com,,"Valparaiso",IN,46384,
"Gibson County Animal Services",gcas175@sit-co.net,812-386-8079,"Princeton",IN,47670,
"GRACIES H.E.A.R.T. OF GOLD",lovemelovemydogs2004@indy.rr.com,(317) 431-9150,"Marion",IN,46952,
"Great Babies Rescue Inc.",greatbabiesrescue@yahoo.com,(812) 653-1985,"Paoli",IN,47454,
"Great Lakes Greyhound of IN",jim@rippleridge.com,219-926-1577,"WESTVILLE",IN,46391,
"Greenfield Hancock Animal Management",adehoney@greenfieldin.org,317-477-4367,"Greenfield",IN,46140,
"Greensburg Decatur County Animal Shelter",shelter22@frontier.com,(812) 663-9081,"Greensburg",IN,47240,
"Greyt Angels Greyhound Adoption",greytangels@gmail.com,(574) 535-3210,"Goshen",IN,46526,
"Griffith Animal Control",slitke1@msn.com,219-922-1766,"Griffith",IN,46319,
"Guardians of the Green Mile Inc",guardiansofthegreenmile@gmail.com,219-230-6466,"Portage",IN,46368,
"Hancock County Humane Society",hancohumane@yahoo.com,(317) 462-5404,"Greenfield",IN,46140,
"Happy Labs Rescue",happylabs@comcast.net,812-371-6581,"Columbus",IN,47202,
"Happy Tails Adoptions",pbhappytails@gmail.com,,"Lafayette",IN,47906,
"Happy Tails Animal Care Center",happytails@urhere.net,(574) 278-7102,"Monticello",IN,47960,
