Name,Email,Phone,City,State,Zip,Website
"Abilene Animal Hospital",brankin@aahpa.com,(785) 263-2301,"Abilene",KS,67410,
"Akbash Dogs International",straughie@comcast.net,510 410-0149,"Wellsville",KS,66092,
"Alex's House",vicki@alexshouse.org,(785) 819-5138,"Rosalia",KS,67132,
"Allen County Animal Rescue Facility",adoptions@acarf.org,620-496-3647,"La Harpe",KS,66751,
"Anns Angels Canine Rescue",leonbash@cableone.net,(620) 433-2452,"Chanute",KS,66720,
"Autumn Acres",adoptashelterpet@hotmail.com,,"Kansas City",KS,66212,
"Barkin Dogs Rescue",barkindogs1@aol.com,(816) 898-5646,"Overland Park",KS,66224,
"Basset and Beagle Rescue of the Heartland",bbrh@bassetandbeagle.org,402-490-4938,"Shawnee Mission",KS,66225,
"Beagles and More Rescue",beaglesandmore@yahoo.com,(913) 485-8825,"Overland Park",KS,66213,
"Beak n' Wings, Inc.",admin@beaknwings.org,913-322-3398,"Shawnee Mission",KS,66201,
"Bonner Animal Rescue, Inc.",bonnerrescue@yahoo.com,913-449-7328,"Bonner Springs",KS,66012,
"Brown County Humane Society",brcohs66434@yahoo.com,(785) 742-1976,"Hiawatha",KS,66434,
"Burlingame Road Animal Hospital",contact@brahvet.com,785-267-1012,"Topeka",KS,66609,
"Burlington Animal Shelter",bfoster@burlingtonkansas.gov,(620) 490-0416,"Burlington",KS,66839,
"Caring Hearts Humane Society",pottcty.hs@gmail.com,785 313-3194,"Wamego",KS,66547,
"Cat Association of Topeka",cats@topekacat.org,785-272-4735,"Topeka",KS,66604,
"Cattails Feline Rescue",thisisdnn@gmail.com,785-565-2433,"Manhattan",KS,66502,
"Chanute Animal Shelter",bpenner@chanute.org,(620) 433-7559,"Chanute",KS,66720,
"Chasing Tails Rescue",chasingtailsrescue@cox.net,(620) 797-0430,"Great Bend",KS,67530,
"City of Concordia -- OConnor Animal Shelter",animalcontrol@concordiaks.org,785-243-3131,"Concordia",KS,66901,
"City of El Dorado Animal Shelter",dsharp@eldoks.com,316-322-8844,"El Dorado",KS,67042,
"Clay County Animal Rescue and Education Center Inc",ccareshelter@gmail.com,(785) 777-2522,"Clay Center",KS,67432,
"Colonel Potter Cairn Rescue Network - Heartland",cpcrn@cairnrescue.com,,"Topeka",KS,66614,
"Corgi Connection of Kansas",jeanette@corgiconnection.com,,"Milford",KS,66514,
"Country Cats, Inc.",countrycatsrescue@gmail.com,316-775-2288,"Andover",KS,67002,
"Cowley County Humane Society INC",ccasdirector@skyerock.net,(620) 221-1698,"Winfield",KS,67156,
"Dawgs Without Borders",dawgswithoutborders@gmail.com,785-844-3236,"Westmoreland",KS,66549,
"Divapets Cat Rescue",taniddsn@yahoo.com,(816) 589-6994,"Merriam",KS,66202,
"Dog N' Bone Rescue",dognbonerescue@yahoo.com,(316) 207-5166,"Wichita",KS,67204,
"Emporia Kansas Animal Shelter",emporiakansasanimalshelter@gmail.com,(620) 340-6345,"Emporia",KS,66801,
"FMA Animal Hospital",fmapetvet@aol.com,913-262-1600,"Westwood",KS,66205,
"Ford County Humane Society",fordcohs@yahoo.com,(620) 225-1481(answering machine only),"Dodge City",KS,67801,
"Fort Leavenworth Stray Facility",lampphotog@yahoo.com,(913) 684-4939,"Fort Leavenworth",KS,66027,
"Fort Riley Stray Animal Shelter",nicole.p.storm.naf@mail.mil,(785) 239-6183,"Fort Riley",KS,66531,
"Friends of Animals Rice County, Inc.",arkvetclinic01@gmail.com,(620) 278-3623,"Sterling",KS,67579,
"Furever Friends",dognme62@gmail.com,,"Madison",KS,66860,
"Golden Belt Humane Society",directorgoldenbelt@gmail.com,620-792-4297,"Great Bend",KS,67530,
"Great Plains SPCA",adoptions@greatplainsspca.org,(913) 808-3335,"Merriam",KS,66202,
"H. Dale Buck Animal Welfare Memorial Fund Inc.",thebuckfund@hotmail.com,620-343-3377,"Emporia",KS,66801,
"Hands of Hope Rescue",handsofhopegb@cox.net,,"Great Bend",KS,67530,
"Happy Tails Farm",happytailsfarms@yahoo.com,(620) 875-0280,"Pittsburg",KS,66762,
"Heart of Jackson Humane Society, Inc.",heartofjackson@gmail.com,785-364-5156,"Holton",KS,66436,
"Heartstrings Animal Advocates",heartstringsanimaladvocates@gmail.com,,"Leon",KS,67074,
"Helping Hands Humane Society",adopt@hhhstopeka.org,785-233-7325,"Topeka",KS,66604,
"Hoisington Veterinary Clinic",hoisingtonvet@gmail.com,(620) 653-2862,"Hoisington",KS,67544,
"Humane Society of the High Plains",hshp_hays@hotmail.com,(785) 625-5252,"Hays",KS,67601,
"Hutchinson Animal Shelter",animalshelter@hutchgov.com,620-694-1924,"Hutchinson",KS,67504,
"Jefferson County Humane Society Inc",jfcountypets@gmail.com,785-945-6600,"Valley Falls",KS,66088,
"Junction City/Geary County Animal Shelter",vlalt@jcks-law.com,(785) 238-1359,"Junction City",KS,66441,
"Kansas City English Bulldog Rescue",kcbulldogrescue@hotmail.com,,"Lenexa",KS,66219,
"Kansas City Kansas Animal Control",jstewart@kckpd.org,(913) 321-1445,"Kansas City",KS,66102,
"Kansas City Sheltie Rescue",kcsheltierescue@gmail.com,(913) 384-0366,"Mission",KS,66201,
"Kansas Humane Society of Wichita",adoptions@kshumane.org,(316) 524-9196,"Wichita",KS,67219,
"Kansas K-9 ResQ Inc.",adoptadog@ksk9resq.org,(316) 295-6534,"Wichita",KS,67201,
"Kansas Second Time Around Animal Rescue",llo@ksu.edu,(785) 482-3452,"Dwight",KS,66849,
"Kingman County Humane Society",kchs@kingmancountyhumanesociety.org,620-532-5544,"Kingman",KS,67068,
"Kitty City Kansas Rescue",kittycityks@aol.com,913-971-0101,"Shawnee",KS,66226,
"Lawrence Humane Society",adoptions@lawrencehumane.org,785-843-6835,"Lawrence",KS,66046,
"Leavenworth Animal Control Shelter",phill@firstcity.org,(913) 682-0268,"Leavenworth",KS,66048,
"Leavenworth County Humane Society, Inc.",lvncohs@live.com,(913) 250-0506,"Lansing",KS,66043,
"Lucky Dog Program - Friends of Animals in Need",rlvshollowell@hotmail.com,620-727-0205,"Hutchinson",KS,67502,
