Name,Email,Phone,City,State,Zip,Website
"A Wing and A Prayer",bgbsintouch@yahoo.com,,"Lexington",KY,40515,
"Adopt Me! Bluegrass Pet Rescue",adoptmebpr@aol.com,(502) 777-1442,"La Grange",KY,40031,
"Anderson Humane Society",ahs_40342@yahoo.com,(502) 839-8339,"Lawrenceburg",KY,40342,
"Animal Care Society Inc",info@animalcaresociety.org,502-426-6303,"Louisville",KY,40245,
"Animal Refuge Center Inc.",animal_refugectr@hotmail.com,270-877-6064,"Vine Grove",KY,40175,
"Animal Shelter - Floyd County KY",bonjohnf@bigsandybb.com,606-886-3189,"Prestonsburg",KY,41653,
"Ashland Animal Rescue Fund",adopt4aarf@gmail.com,,"Ashland",KY,41101,
"Barktown Rescue",info@barktownrescue.org,(502) 833-2275,"Boston",KY,40107,
"Barren River Animal Welfare Association",syobymevol@scrtc.com,(270) 651-7297,"Glasgow",KY,42141,
"Blackdogs Rescue",blackdogs@me.com,(907) 602-9670,"Lexington",KY,40515,
"Bluegrass Doberman Rescue",info@bluegrassdobermanrescue.org,,"Louisville",KY,40206,
"Bluegrass Humane Society of Kentucky",bluegrasshumanesociety@yahoo.com,2709910521,"Hartford",KY,42347,
"Bluegrass Shih Tzu Rescue Inc.",shihtzurescueky@aol.com,,"Lexington",KY,40591,
"Bourbon County Rescue",rescuebc@hotmail.com,Please Use Email,"Paris",KY,40361,
"Bowling Green-Warren County Humane Society",lorric143@aol.com,270-783-9404,"Bowling Green",KY,42102,
"Breckinridge County Animal Friends Inc.",kampars@bbtel.com,(270) 756-0246,"Harned",KY,40144,
"Breckinridge County Animal Shelter",bcshelter@bbtel.com,(270) 580-4299,"Hardinsburg",KY,40143,
"Bullitt County Animal Shelter",bullittcountyanimalcontrol@gmail.com,502-543-8686,"Shepherdsville",KY,40165,
"Bun Bun Brigade",adoptions@bunbunbrigade.org,502-741-4258,"Elizabethtown",KY,42701,
"Butler County Animal Shelter  KY",butlercoshelter@bellsouth.net,270 526-2694,"Morgantown",KY,42261,
"Caldwell County Animal Shelter",caldwellkyshelter@gmail.com,(270) 365-1000,"Princeton",KY,42445,
"Camp Jean",jgibowski@yahoo.com,,"Lawrenceburg",KY,40342,
"Campbell County Animal Shelter",shelter@campbellcountyky.org,(859) 635-2819,"Melbourne",KY,41071,
"Caring Hearts Feline Rescue",caringheartsrescue@yahoo.com,,"Versailles",KY,40383,
"Cat's Meow Feline Fosters",catsmeowff@outlook.com,,"Morehead",KY,40351,
"CatHead Kitty Rescue, Inc.",catheadskittyrescue@gmail.com,(502) 759-5027,"Prospect",KY,40059,
"Central KY Boxer Rescue Inc.",kellickbr@gmail.com,8593191531,"Frankfort",KY,40601,
"Central KY Regional Humane Society-No Kill Central KY",ckyrhs@ckyrhs.org,859-979-2460,"Lancaster",KY,40444,
"Chelsea's Legacy",fost228@bellsouth.net,(502) 412-3144,"Louisville",KY,40245,
"Chihuahua Rescue & Transport Inc.",midwestcoordinator@chihuahua-rescue.com,,"Louisville",KY,40299,
"Clark County Animal Shelter",info@clarkshelter.org,859-737-0053,"Winchester",KY,40391,
"Clark County C.A.R.E.S., Inc.",info@clarkcountycares.com,,"Winchester",KY,40392,
"Crittenden  County Animal Shelter",crittendenshelter@yahoo.com,(270) 969-1054,"Marion",KY,42064,
"Crossed Paths Pet Network, Inc.",crossedpathspetnetwork@gmail.com,,"Bardstown",KY,40004,
"Daviess County Animal Control",dcacanimals@yahoo.com,270-685-8275,"Owensboro",KY,42301,
"Death Row Dogs",debbiepurdy@bellsouth.net,270-339-0630,"Central City",KY,42330,
"Derby City Dog Rescue",adopt@derbycitydogrescue.org,,"Louisville",KY,40272,
"Diamonds in the Ruff, Inc.",kydiamondsrescue@gmail.com,855-745-2738,"Pikeville",KY,41501,
"Elliot Rescue INC",elliotrescue@yahoo.com,,"Campbellsville",KY,42719,
"Firm Foundation Animal Rescue, Inc.",reedronni@hotmail.com,(270) 437-3641,"Benton",KY,42025,
"Flora Shropshire Animal Shelter",hhfh@bellsouth.net,859-234-7138,"Cynthiana",KY,41031,
"For Love Of Paws",flop@forloveofpaws.org,,"Lancaster",KY,40444,
"Forgotten Felines of Corbin KY",day.ashley.90@gmail.com,(606) 304-8444,"Corbin",KY,40701,
"Frankies Furry Friends Rescue",frankiesfurryfriends@gmail.com,859-392-0015,"Alexandria",KY,41001,
"Franklin County Humane Society",contact.fchsky@gmail.com,(502) 875-7297,"Frankfort",KY,40601,
"Friends of Powell Co.'s Pets & County Shelter",fopcpky@gmail.com,606-663-4998 or 481-9430 (vol),"Stanton",KY,40380,
"Friends of the Bell County Animal Shelter",bcas2009@gmail.com,606-337-6331,"Middlesboro",KY,40965,
"Friends of the Ohio County Animal Shelter",focas.rescue@yahoo.com,(270) 256-3960,"Hartford",KY,42347,
"Friends of the Shelter / Simpson Co. Animal Shelter",friendsofshelter@yahoo.com,270-586-3125,"Franklin",KY,42134,
"Gallatin County Animal Shelter",nunnchloe772@gmail.com,(859) 643-3647,"Sparta",KY,41086,
"Grant County Animal Shelter",animalshelter@grantco.org,859-824-9403,"Williamstown",KY,41097,
"Greyhound Pets of America, Greater Cincinnati, Inc",dmcqueen@gpacincinnati.org,,"Florence",KY,41042,
"Greyhound Pets of America/Lexington, Ky.",greyhoundpetslexington@gmail.com,(859) 227-9852,"Lexington",KY,40502,
"Halfway Home Rescue Inc",halfwayhomerescue@aol.com,,"Lexington",KY,40511,
"Hancock County Animal Shelter",hancockcountyanimalshelter@gmail.com,,"Hawesville",KY,42348,
"Hardin County Animal Control",adoption@hcky.org,(270) 769-3428,"Elizabethtown",KY,42701,
"Harvey's House Rabbit Rescue & Sanctuary",mary@harveyshouse.org,(502) 439-4884,"Louisville",KY,40252,
"Heaven Can Wait Animal Rescue, Inc.",heavencanwaitanimalrescue@hotmail.com,,"Russellville",KY,42276,
"Helping Animals Left Orphaned, Inc",chastity@helpinganimalsleftorphaned.org,2704655862,"Campbellsville",KY,42718,
"Henry Trimble Animal Shelter",thshelter@yahoo.com,502-845-8050 / 502-255-0111,"Sulphur",KY,40070,
"Hope for All Pets, Inc.",hopeforallpetsinc@outlook.com,(859) 644-9493,"Lexington",KY,40511,
"Hopkins County Humane Society",hopkinscohs@gmail.com,(270) 821-8965,"Madisonville",KY,42431,
"Humane Society A.L.L. of Madison County",info@humanesocietyall.com,859-626-5600 (Voicemail),"Richmond",KY,40476,
"Humane Society of Calloway County",humanesociety@murray-ky.net,(270) 759-1884,"Murray",KY,42071,
"Humane Society of Edmonson County",humanesec@gmail.com,(270) 286-6586,"Brownsville",KY,42210,
"Humane Society of Henderson County",info@hshcky.org,270-826-8966,"Henderson",KY,42420,
"Humane Society of Nelson Co. Inc.",humane-societync@att.net,502-349-2082,"Bardstown",KY,40004,
"Humane Society of Oldham County",jojohsoc@aol.com,502-222-7537,"LaGrange",KY,40031,
"IMPS - Internet Miniature Pinscher Service, Inc. - KY region",minpinhelp@gmail.com,(859) 644-9493,"Lexington",KY,40515,
"Jack's Place",jacksplace@bellsouth.net,(270) 399-3013,"White Plains",KY,42464,
"Jessamine County Animal Care & Control",jessaminecountyacc@gmail.com,859 881-0821,"Nicholasville",KY,40356,
"Jessamine Humane Society",jlvssnapp@windstream.net,(859) 887-1577,"Nicholasville",KY,40356,
"Johnson County Animal Shelter-Whiskers or Wags",wowanimalshelter@gmail.com,(606) 297-7387,"Staffordsville",KY,41256,
"Kentucky Dachshund Rescue",kydoxierescue@aol.com,502-863-5977,"Georgetown",KY,40324,
"Kentucky Equine Humane Center Inc.",info@kyehc.org,859-881-5849,"Nicholasville",KY,40356,
"Kentucky Great Dane Rescue",kentuckygreatdanerescue@yahoo.com,,"Louisville",KY,40218,
"Kentucky Humane Society",adoptions@kyhumane.org,(502) 366-3355,"Louisville",KY,40222,
"Kentucky Lab Rescue",mmay@kylabrescue.com,,"Winchester",KY,40391,
"Kentucky S.A.V.E., Inc.",kentuckysave@yahoo.com,859-621-0092,"Lexington",KY,40505,
"Kindle and Clowder",kindleandclowderadoptions@gmail.com,(502) 851-9158,"Louisville",KY,40219,
"L.I.F.E. for Pets (LIFE, Inc.)",lifeforpets@gmail.com,,"Winchester",KY,40392,
"L.I.F.E. House For Animals Inc.",contactus@lifehouse4animals.org,502-875-3436(FIDO),"Frankfort",KY,40601,
"Lawrence County Humane Society(KY)",potterperry41230@yahoo.com,606-673-4509 M-Fri 10-3,"Louisa",KY,41230,
