Name,Email,Phone,City,State,Zip,Website
"4 Paws Rescue Inc.",suempond@bellsouth.net,318-251-3647,"Ruston",LA,71270,
"Acadiana Animal Aid",info@acadiananaanimalaid.org,337-896-1553,"Carencro",LA,70520,
"Advocate & Rescue-Sue's Mews & Operation Save the Whodatt Fur Babies",hcalmes@yahoo.com,504-430-6730,"New Orleans",LA,70175,
"All Hounds On Deck",allhoundsondeck@gmail.com,3186801319,"Monroe",LA,71211,
"Amour De Chiens Inc",m.ziifle-folsom@att.net,985-796-3622,"Folsom",LA,70437,
"Animal Adoption Society Inc.",animaladoptionsociety@yahoo.com,(601) 403-9011,"Meraux",LA,39470,
"Animal Aid for Vermilion Area",animalaidvermilion@gmail.com,(337) 366-0212,"Abbeville",LA,70510,
"Animal Protection And Welfare Society - APAWS",info@apawspets.org,225-343-0303,"Baton Rouge",LA,70816,
"Animal Rescue Foundation of Louisiana, Inc",arfla.adoptions@gmail.com,(337) 332-4756,"Lafayette",LA,70505,
"ARNO (Animal Rescue New Orleans)",adopt@animalrescueneworleans.org,,"New Orleans",LA,70123,
"Avoyelles Animal Welfare Society",avoyellesanimals@centurylink.net,318-876-2068,"Cottonport",LA,71327,
"B and L Bullies and Broken Hearts Rescue",bulliesandbrokenhearts@gmail.com,,"Houma",LA,70364,
"Bark And Roll Rescue Companions",barkandrollrescuecompanions@gmail.com,,"Baton Rouge",LA,70816,
"Bayou Animal Rescue Krewe (BARK)",laah630@yahoo.com,337-479-1199,"Lake Charles",LA,70607,
"Bluetails",info@blue-tails.com,(504) 662-2313,"Marrero",LA,70072,
"Bossier City Animal Control",bossieranimalcontrol@yahoo.com,(318) 741-8499,"Bossier City",LA,71111,
"Broken Down Dogs",alohajanetmary@yahoo.com,,"Alexandria",LA,71302,
"Capital Area Animal Welfare Society (CAAWS)",caawsmail@yahoo.com,(225) 752-5801,"Baton Rouge",LA,70817,
"Cat Haven",cathaven@cathaven.org,225-636-2680,"Baton Rouge",LA,70816,
"Catnip Foundation at Big Sky Ranch",catnipfoundation@icloud.com,(985) 276-0270,"Folsom",LA,70437,
"Cenla Alliance for Animals",cenlaallianceforanimals@gmail.com,,"Alexandria",LA,71306,
"Cenla Cat Project",info@cenlacatproject.org,(318) 542-7170,"Pineville",LA,71361,
"Collie Rescue of South Louisiana",louisianacollies@yahoo.com,985-201-9552,"New Orleans",LA,70431,
"Companion Pet Adoption",gmoises333@gmail.com,(504) 481-1145,"New Orleans",LA,70119,
"Dante's Hope",danteshoperescue@gmail.com,(225) 281-5916,"Baker",LA,70714,
"Denham Springs Animal Shelter",rach7674@gmail.com,225-664-4472,"Denham Springs",LA,70726,
"Dogwood Lane Rescue",puprescuer@gmail.com,985-748-4027,"Amite",LA,70422,
"For the Love of Rats Rescue",fortheloveofratsrescue@gmail.com,225-305-0214,"Walker",LA,70785,
"Forgotten Felines Rescue",forgottenfelinesla@gmail.com,,"Baton Rouge",LA,70809,
"Friends of Lafayette Animal Shelter",contact@flashlafayette.org,,"Lafayette",LA,70505,
"Friends of the Animals Baton Rouge",friendsoftheanimalsbr@gmail.com,225 205-9330,"Baton Rouge",LA,70808,
"Friends of the Jefferson Animal Shelter",fjaskittens@yahoo.com,,"Metairie",LA,70001,
