Name,Email,Phone,City,State,Zip,Website
"A Medfield Animal Shelter",info@medfieldshelter.com,(508) 359-8989,"Medfield",MA,2052,
"A Place For Us: Bonnie's Foster Home for Shelter Dogs",bbassis@earthlink.net,(413) 528-9581,"Great Barrington",MA,1230,
"Ahimsa Haven",info@ahimsahaven.org,,"Templeton",MA,1468,
"All Dog Rescue, Inc.",info@alldogrescue.org,617-507-9193,"Natick",MA,1760,
"American Bullmastiff Rescue",blackslate@aol.com,978 424 1044,"Templeton",MA,1468,
"Angelcat Haven",adoptions@angelcathaven.com,508-203-4240,"Plainville",MA,2762,
"Angels Helping Animals Worldwide",hurdpub@gmail.com,(508) 274-2604,"Oak Bluffs",MA,2557,
"Animal Protection Center of Southeastern MA",info@apcsm.org,508-586-2053,"Brockton",MA,2301,
"Animal Rescue League of Boston",adoption@arlboston.org,617-426-9170,"Boston",MA,2116,
"Animal Rescue League of Boston",brewster@arlboston.org,508-255-1030,"Brewster",MA,2631,
"Animal Shelter Inc.",staff@sterlingshelter.org,(978) 422-8585,"Sterling",MA,1564,
"Animal Umbrella Inc.",annamarietaylor@verizon.net,(508) 877-1194,"Peabody",MA,1960,
"Attleboro Friends of Cats, Inc.",friendsofcats@yahoo.com,508-918-2158,"Attleboro",MA,2703,
"Bay State Equine Rescue, Inc.",info@baystateequinerescue.com,,"Oakham",MA,1068,
"Baypath Humane Society of Hopkinton Inc.",adopt@baypathhumane.org,(508) 435-6938,"Hopkinton",MA,1748,
"Bessy's Place Cat Sanctuary & Cat Adoption",masshumane@aol.com,(781) 335-1300,"Holbrook",MA,2343,
"Better Than Dead Rescue",lindarollins38@comcast.net,email please!!!!,"Shelburne Falls",MA,1370,
"Big Fluffy Dog Rescue",jean@bigfluffydogs.com,,"Marblehead",MA,1945,
"Big Hair Animal Rescue Inc.",bighairanimalrescue@gmail.com,,"Southbridge",MA,1550,
"Billerica Cat Care Coalition",adoptions@billericacatcarecoalition.org,,"North Billerica",MA,1862,
"Black Cat Rescue",susanna@blackcatrescue.com,,"Somerville",MA,2145,
"Blind Dog Rescue Alliance - MA",info@blinddogrescue.com,877-BLIND-01,"Tewksbury",MA,1876,
"Boston's Forgotten Felines",catadoptions@bostonsforgottenfelines.org,617-410-6495,"Roslindale",MA,2131,
"Broken Tail Rescue",info@brokentailrescue.org,(508) 625-0332,"Worcester",MA,1606,
"Brown Dog Coalition and Rescue Ltd",browndogcoalitionandrescue@gmail.com,,"Hopkinton",MA,1748,
"BV Cats, Inc.",er2bvcats@gmail.com,,"Northbridge",MA,1534,
"C.A.R.E. Center for Animal Rescue & Education",cricket13@comcast.net,(508) 994-0220,"Acushnet",MA,2743,
"Cape Ann Animal Aid",info@capeannanimalaid.org,(978) 283-6055,"Gloucester",MA,1930,
"Caribbean Connection Puppy Rescue",kroycroft8@gmail.com,,"Hanson",MA,2341,
"CaRMaH (Cat Rescue of Marlborough and Hudson)",adoptacat@carmah.org,(508)460-2022,"Hudson",MA,1749,
"Carrie A. Seaman Animal Shelter dba CASAS",casas4rescue@comcast.net,(508) 487-4243,"Provincetown",MA,2657,
"CAT CANTON RESCUE, Inc.",sknoll2@verizon.net,(781) 828-8117,"Canton",MA,2021,
"Cat Lovers Rescue",catloversrescue@comcast.net,,"Brockton",MA,2302,
"Cavalier Alliance for Rescue, Research, and Education, Inc.",cavalieralliance2014@gmail.com,(978) 254-1005,"Boxborough",MA,1719,
"Central New England Equine Rescue",windybleu@verizon.com,978-621-6717,"West Warren",MA,1092,
"City of Boston Animal Shelter",animaladopt@boston.gov,617-635-1800,"Boston",MA,2131,
"Community Cat Connection",info@ccatconnect.org,508-949-0779,"Webster",MA,1570,
"Dog Orphans Inc.",info@dogorphans.com,508 476 1855,"Douglas",MA,1516,
"Duxbury Animal Control & Shelter",susan.j.curtis@comcast.net,781-934-6424,"Duxbury",MA,2332,
"Ellen M. Gifford Sheltering Home",giffordcats@giffordcatshelter.org,617-787-8872,"Boston",MA,2135,
"Eskies Online American Eskimo Dog Rescue",denise@eskiesonline.com,860-908-9738,"Quincy",MA,2169,
"Fairhaven Animal Shelter",aco@fairhaven-ma.gov,(508) 979-4028,"Fairhaven",MA,2719,
"Faxon Animal Care & Adoption Center",renee@arlfr.org,508-676-1061,"Fall River",MA,2720,
"Fine Feline Cat Rescue",finefelinecatrescue@gmail.com,,"Uxbridge",MA,1569,
"For the Love of a Dog",loveofadog@gmail.com,,"Greenfield",MA,1301,
"Forever Home Rescue New England",foreverhomerescue@gmail.com,508-359-4465,"Medfield",MA,2052,
"Forever Paws Animal Shelter",fpas1@foreverpaws.com,508-677-9154,"Fall River",MA,2724,
"Forgotten Angels Shelter, Inc.",info@forgottenangelsshelter.org,,"Westford",MA,1886,
"Franklin County Sheriffs Office Regional Shelter",fcsodogshelter@gmail.com,(413) 676-9182,"Turners Falls",MA,1376,
"Friends of Attleboro Animal Shelter",attleboropets@hotmail.com,(774) 203-1862,"Attleboro",MA,2703,
"Friends of Beverly Animals",heidiroberts@comcast.net,978 927-4157,"Beverly",MA,1915,
"Friends of Carver Animals",bjeannekitty@comcast.net,(508) 866-6992,"Carver",MA,2330,
"Friends of Marblehead's Abandoned Animals",bubbeg55@aol.com,(781) 631-8664,"Marblehead",MA,1945,
"Furry Tails Cat Shelter",furrytails913@yahoo.com,(978) 692-4839,"Westford",MA,1886,
"Gardner Animal Control Facility",animaladoption@gardner-ma.gov,(978) 630-4950,"Gardner",MA,1440,
"Gemini's Pampered Greyhounds",geminispamperedgreyhounds@gmail.com,413-626-9879,"Amherst",MA,1002,
"German Shepherd Rescue of New England, Inc.",adoptinfo@gsrne.org,,"Wayland",MA,1778,
"German Shepherd Resource and Rescue Center, Inc.",adopt@germanshepherdcenter.org,adopt@germanshepherdcenter.org,"Nahant",MA,1908,
"Great Dog Rescue New England",info@gdrne.com,Email Only,"Andover",MA,1810,
"Guardian Angels Cat Rescue, Inc.",guardianangelscatrescue@gmail.com,781-237-8405,"Wayland",MA,1778,
"Halfway Home Cat Rescue Inc.",wbmurphys@yahoo.com,413-237-6271,"Chicopee",MA,1021,
"Happy Tails Pet Rescue",application_screeners@yahoogroups.com,(603) 595-7387,"Somerville",MA,2145,
"Here Today Adopted Tomorrow Animal Sanctuary, Inc.",rachael@heretodaysanctuary.org,(413) 324-8224,"Brimfield",MA,1010,
"Hilltop Humane Society",hilltophumane@gmail.com,7819613638,"Randolph",MA,2368,
"House Rabbit Network",info@rabbitnetwork.org,(781) 431-1211,"Woburn",MA,1888,
"Hull Seaside Animal Rescue",jjfahey@verizon.net,(781) 534-4902,"Hull",MA,2045,
"Humane Society & Shelter - SouthCoast",mventura6089@comcast.net,508-995-6661,"Dartmouth",MA,2740,
"IMPS - Internet Miniature Pinscher Service, Inc. - New England region",impsnewengland@gmail.com,(781) 837-1509,"Marshfield",MA,2050,
"In Honey's Memory Cat Shelter",floures1@msn.com,413 - 667 - 0049,"Huntington",MA,1050,
"Ipswich Humane Group Inc.",ileashakees@gmail.com,(978) 356-6652,"Ipswich",MA,1938,
"It's All About the Animals, Inc.",ohnokitty1@gmail.com,,"Rochester",MA,2770,
"Kitty Angels",info@kittyangels.org,(978) 649-4681,"Tyngsboro",MA,1879,
"Kitty Connection Inc",kc@kittyconnection.net,781-393-9995,"Medford",MA,2155,
"Last Hope K9 Rescue",adoptions@lasthopek9.org,,"Boston",MA,2113,
"Lighthouse Animal Shelter",lighthouseanimalshelter@gmail.com,(508) 999-7387,"New Bedford",MA,2740,
"Lowell Humane Society",crystal@lowellhumanesociety.org,(978) 452-7781,"Lowell",MA,1854,
"Lucky Mutt Animal Rescue",info@luckymuttanimalrescue.com,,"Beverly",MA,1915,
"Mansfield Animal Shelter",volunteers@mansfieldshelter.org,(508) 261-7339,"Mansfield",MA,2048,
"Marty's Cat Rescue",martyscatrescue@gmail.com,508-559-0765,"Avon",MA,2322,
"Massachusetts Feline Intervention Alliance",cats@mafiacatgroup.org,,"Attleboro",MA,2703,
"MassPAWS",masspaws@aol.com,(617) 846-5586,"Winthrop",MA,2152,
"Melrose Humane Society",brian.aurilio@gmail.com,,"Melrose",MA,2176,
"Merrimack River Feline Rescue Society",adoptioncounselor@mrfrs.org,(978) 462-0760,"Salisbury",MA,1952,
"MSPCA at Nevins Farm",methuen@mspca.org,978-687-7453,"Methuen",MA,1844,
"MSPCA Boston Animal Care and Adoption Center",adoption@mspca.org,617-522-5055,"Boston",MA,2130,
"MSPCA Cape Cod Animal Care and Adoption Center",moreilly@mspca.org,(508) 775-0940,"Centerville",MA,2632,
"Mutt Rescue",muttrescueofmassachusetts@gmail.com,,"Chicopee",MA,1020,
