Name,Email,Phone,City,State,Zip,Website
"Adopt a Homeless Animal Rescue",aaha_rescue@yahoo.com,410-558-4554,"Baltimore",MD,21209,
"Akita Rescue Mid Atlantic Coast, Inc.",info@akitarescue.org,703-730-0844,"Silver Spring",MD,20904,
"Ali Oop Adoptions",alioopadoptions@gmail.com,,"Cumberland",MD,21502,
"All Breed Rescue and Referral",allbreedrescue1@gmail.com,,"Gaithersburg",MD,20882,
"All Shepherd Rescue",adoptions@allshepherdrescue.com,410-775-6GSD (6473),"Baltimore",MD,21203,
"Alley Cat Rescue Inc",acr@saveacat.org,301-277-5595,"Mount Rainier",MD,20712,
"Animal Advocates of Howard County",aadvocates@hotmail.com,,"Ellicott City",MD,21041,
"Animal Allies Rescue Foundation (AARF)",info@animalalliesrescue.org,,"Baltimore",MD,21230,
"Animal Relief Fund",info@animalrelieffund.org,301-866-0305,"Hollywood",MD,20636,
"Animal Resource Foundation Inc",info@arfusa.org,(410) 643-8700,"Chester",MD,21619,
"Animal Safe Haven & Adoptions, Inc.",ashamaryland@gmail.com,,"Elkridge",MD,21075,
"Animal Welfare League of Frederick County",info@awlfc.org,(301) 663-5855,"Frederick",MD,21705,
"Animal Welfare League of Montgomery County",adopt@awlmc.org,(301) 740-2511,"Gaithersburg",MD,20898,
"Animal Welfare League of Queen Anne's County",taylor@awlqac.org,(410) 827-7178,"Queenstown",MD,21658,
"Annies Orphans",annies_orphans@hotmail.com,301-741-4151,"Gaithersburg",MD,20878,
"Arden's Arc",ardensarc@gmail.com,443-797-7054,"Baltimore",MD,21224,
"Ark of Hope Rescue, Inc.",arkofhoperescue@yahoo.com,301-478-3300,"Oldtown",MD,21555,
"Association for Animal Rights Inc.",animals4me2@verizon.net,410-526-5224,"Reisterstown",MD,21136,
"Baltimore Bully Crew, Inc.",baltimorebullycrew@gmail.com,,"Baltimore",MD,21234,
"Baltimore Humane Society",animalcenter@bmorehumane.org,(410) 833-8848,"Reisterstown",MD,21136,
"Basset Hound Rescue League",info@bassethoundrescuemd.org,,"Fort Washington",MD,20749,
"Baywater Animal Rescue",info@baywateranimalrescue.org,410-228-3090,"Cambridge",MD,21613,
"Beagle Rescue of Southern Maryland Inc.",profile@beaglemaryland.org,,"Waldorf",MD,20604,
"Bella's Bully Buddies",info@bellasbullybuddies.org,,"Perry Hall",MD,21128,
"Bengal Rescue Network (501c3)",bengalcatrescue@comcast.net,443-983-5728,"Baltimore",MD,21230,
"Best DAWG Rescue Inc.",dawg@dawg-rescue.org,(301) 407-2378,"Bethesda",MD,20827,
"Best Friends in Harford County, Inc.",lisa@bestfriendsinharfordcounty.org,(443) 390-6676,"Abingdon",MD,21009,
"Black Dogs and Company Rescue, Inc.",rescueblackdogs@yahoo.com,443-499-3506,"Darlington",MD,21034,
"Bring Home the Brindle Dog Rescue",bhtbpuppies@yahoo.com,,"Ijamsville",MD,21754,
"Bulldog Rescue Farm",1146kim@gmail.com,443-386-6170,"Jarrettsville",MD,21084,
"Calvert Animal Welfare League - CAWL",cawl@comcast.net,(410) 535-9300,"Prince Frederick",MD,20678,
"Canine Humane Network",chnadoptions@gmail.com,,"Columbia",MD,21046,
