Name,Email,Phone,City,State,Zip,Website
"A Paw in the Door Cat Rescue",pawinthedoor@gmail.com,(207) 751-4131,"Bath",ME,4530,
"Alpha Dog Rescue",alphadogrescue@gmail.com,(603) 781-8876,"Lebanon",ME,4027,
"Animal Rescue of Kennebec",nataliepatterson.ark@gmail.com,,"Augusta",ME,4332,
"Australian Cattle Dog Rescue Association",info@acdra.org,,"Portland",ME,4258,
"Bucksport Animal Shelter",acojoy@msn.com,207-469-7952,"Bucksport",ME,4416,
"Buddy Up Animal Society",info@buddyupanimalsociety.org,,"Portland",ME,4103,
"Catahoula Rescue of New England",sln2310@yahoo.com,(207) 273-1320,"Warren",ME,4864,
"Coastal Humane Society",info@coastalhumanesociety.org,(207) 725-5051,"Brunswick",ME,4011,
"Coastal Maine Great Dane Rescue",coastaldanes@gmail.com,207 729-0679,"Topsham",ME,4086,
"Community Spay-Neuter Clinic",communityspayneuterclinicmaine@gmail.com,207-721-8395,"Topsham",ME,4086,
"Emma's Angels Rescue",axel1759@aol.com,207-676-5599,"North Berwick",ME,3906,
"Ferret Rescue of Maine",fert_resq@yahoo.com,207-727-6905,"Buxton",ME,4093,
"Fetching Hope Rescue",fetchinghoperescue@gmail.com,,"Westbrook",ME,4098,
"Friends of Willow",info@friendsofwillow.org,,"Portland",ME,4104,
"Harvest Hills Animal Shelter",info@harvesthills.org,207-935-4358,"Fryeburg",ME,4037,
"Helping Paws",helpingpawsme@gmail.com,,"South Portland",ME,4106,
"Homeless Animal Rescue Team (HART)",info@hartofme.com,207-829-4116,"Cumberland",ME,4021,
"Hope Harbor Animal Society",info@hopeharboranimalsociety.org,207-283-0283,"Saco",ME,4072,
"IMPS - Internet Miniature Pinscher Service, Inc.",impsnewengland@gmail.com,781-837-1509,"Westbrook",ME,4092,
"Journey Home Dog Rescue",maureen@journeyhomedogrescue.org,,"Freeport",ME,4032,
"Kittery Animal Hospital and Creature Comforts LLC",adoptionskah@gmail.com,(207) 439-4158,"Kittery",ME,3904,
"Lucky Pup Rescue",luckypuprescue@yahoo.com,,"Kennebunkport",ME,4046,
"Maine Greyhound Placement Service",greyhoundkennel@roadrunner.com,(207) 626-2893,"Augusta",ME,4330,
"Maine Sheltie Rescue",mainesheltierescue@gmail.com,(207) 773-6677,"Portland",ME,4102,
"Mainely Rat Rescue",mrr.adopt@gmail.com,,"Falmouth",ME,4105,
"Miracle German Shepherd Dog Rescue of Maine",miraclegsdmaine@gmail.com,207-266-9676,"Searsmont",ME,4973,
"New England Lab Rescue, Inc.",nelr@newenglandlabrescue.com,,"Limerick",ME,4048,
"Old Dogs New Digs",woof@olddogsnewdigs.com,,"Yarmouth",ME,4096,
"Paws and Claws New England",riopuppy3@gmail.com,,"Falmouth",ME,4105,
"PAWS Animal Welfare Society, Inc.",pawsvalleycathaven@gmail.com,(207) 543-7348,"Fort Kent",ME,4743,
"PAWS Brave Hearts",pawscalais@yahoo.com,(207) 454-7662,"Calais",ME,4619,
"Pittie Posse Rescue and Sanctuary",pittieposse@gmail.com,,"South Portland",ME,4106,
"Pope Memorial Humane Society of Knox County",manager@hskcme.org,207-594-2200,"Thomaston",ME,4861,
"Protectors of Animal Lives Society (PALS)",palsnokillshelter@yahoo.com,(207) 395-4274,"Winthrop",ME,4364,
"Puppy Love, Inc.",ed@puppyloveme.org,(207) 833-5199,"Brunswick",ME,4011,
"Responsible Pet Care of Oxford Hills",responsiblepetcare@yahoo.com,(207) 743-8679,"Paris",ME,4271,
"Safe Haven Humane Society",info@safehavenhumanesociety.org,207-646-1611,"Wells",ME,4090,
"Save Our Strays",info@saveourstraysinmaine.org,1-888-772-3162,"Fairfield",ME,4937,
"Second Chance Boxer Rescue - New England",juliescbr@gmail.com,,"Woolwich",ME,4579,
"Somerset Humane Society",shsanimals.forever@yahoo.com,207-474-6493,"Skowhegan",ME,4976,
"Souly Maine Pets Rescue",soulymainepetsrescue@comcast.net,,"Bath",ME,4530,
"SPCA of Hancock County",info@spcahancockcounty.org,(207) 667-8088,"Trenton",ME,4605,
"Tall Tails Beagle Rescue",info@talltailsbeaglerescue.org,(207) 797-5392,"Freeport",ME,4032,
"Tender Touch Rescue",tendertouchveterinary@yahoo.com,207-839-7456,"Scarborough",ME,4074,
"The Grateful Dog Animal Rescue",thegratefuldoganimalrescue@gmail.com,,"York",ME,3909,
"The Green Ark",info@thegreenark.me,,"Portland",ME,4103,
"The Long Journey to a New Begining Animal Rescue",journeyanimalrescue@gmail.com,,"Stow",ME,4037,
"The Pixel Fund",contactus@thepixelfund.org,,"Gorham",ME,4038,
"Thistle Hill",thistle88@centurytel.net,,"Portland",ME,4103,
"Yankee Chihuahua Rescue and Adopt",stephanie@mttom.com,(207) 615-2299,"Westbrook",ME,4092,
