Name,Email,Phone,City,State,Zip,Website
"3rd Coast Labrador Rescue",adopt@3clr.org,,"Waterford",MI,48328,
"4 Paws 1 Heart",cynthia.4paws1heart@gmail.com,,"St. Clair Shores",MI,48080,
"A Better English Setter Rescue",question@abetteresetter.org,(501) 690-1027,"East China",MI,48054,
"A New Start on Life",anewstartonlife@gmail.com,866-280-3798,"Holland",MI,49424,
"A ReJoyceful Animal Rescue",arejoycefulrescue@yahoo.com,,"Mount Clemens",MI,48043,
"Abandon Angels",abandonangels28@yahoo.com,EMAIL ONLY,"Bay City",MI,48706,
"AC PAW",acpaw@torchlake.com,(231) 587-0738,"Mancelona",MI,49659,
"Adopt a Friend for Life of Southwest Michigan",afl-president@adoptafriendforlife.org,269-488-PAWS,"Paw Paw",MI,49079,
"Adopt A Pup Animal Rescue",adoptapupanimalrescue@gmail.com,Please Email,"Dewitt",MI,48820,
"Adopt-A-Pet Rescue",adoptapetrescue@yahoo.com,269-673-5942,"Allegan",MI,49010,
"Adopt-A-Pet, Inc.",jodydogger@gmail.com,(810) 629-0723,"Fenton",MI,48430,
"Al-Van Humane Society",jnuernberg@al-van.org,269-637-5062,"South Haven",MI,49090,
"Alcona Humane Society",alconahumanesociety@yahoo.com,(989)736-PETS (7387),"Lincoln",MI,48742,
"Alger County Animal Shelter",algercountyanimals@yahoo.com,(906) 387-4131,"Munising",MI,49862,
"All About Animals Rescue_",clinic@allaboutanimalsrescue.org,(586) 879-1745,"Warren",MI,48091,
"All About Them Dog Rescue",kraft6467@gmail.com,248-722-1308,"Richmond",MI,48062,
"All Rovers Rescue Friends (ARRF)",adoptme@allroversrescuefriends.org,,"Blissfield",MI,49228,
"Allegan County Animal Shelter operated by Wishbone Pet Rescue Alliance",shelter@wishbonepetrescue.org,269-686-5112,"Allegan",MI,49010,
"Allforkarma",allforkarma@yahoo.com,(734) 680-0852,"Whitmore Lake",MI,48189,
"Almost Home Animal Rescue League",almosthome1965@aol.com,,"Southfield",MI,48034,
"Always Hope Animal Rescue",alwayshopeanimalrescue@yahoo.com,810-220-7387,"Howell",MI,48844,
"Amazing Grace Animal Rescue",profsir@aol.com,989-792-0346,"Saginaw",MI,48604,
