Name,Email,Phone,City,State,Zip,Website
"4 Pits Sake Rescue",beth@4pitssakerescue.com,,"St. Paul",MN,55119,
"A Rotta Love Plus - Rottweiler & Pit Bull Rescue",info@arottalove.org,,"Golden Valley",MN,55422,
"A Safe Place Shelter",asafek9place@gmail.com,(651) 464-0801,"Forest Lake",MN,55025,
"Across America Boxer Rescue",acrossamericaboxerrescue@gmail.com,612-354-4601,"Shakopee",MN,55379,
"ACT V Rescue & Rehabilitation",info@actvrescue.org,,"Bloomington",MN,55438,
"Adopt Me! Dog Rescue",skbergeson@gmail.com,,"Minnetonka",MN,55345,
"Adopt-A-Pet",admin@adoptapetfm.org,701-232-5856,"Moorhead",MN,56561,
"Angel of Hope Animal Rescue",angelofhoperescue@yahoo.com,763-445-0717,"Anoka",MN,55303,
"Animal Allies Humane Society",adoption@animalallies.net,218-722-5341,"Duluth",MN,55802,
"Animal Angels Rescue",info@animalangelsrescue.net,(612) 229-2125,"Lakeville",MN,55044,
"Animal Ark",shelter@animalarkmn.org,(651) 772-8983,"Hastings",MN,55033,
"Animal Humane Society - Coon Rapids",info@animalhumanesociety.org,7638624030,"Coon Rapids",MN,55448,
"Animal Relief Fund",arfminn@yahoo.com,,"Minneapolis",MN,55417,
"Arrow's Heart Animal Rescue",arrowsheart2012@gmail.com,,"Zimmerman",MN,55398,
"Aussie Rescue of Minnesota",applications@aussierescuemn.org,,"Elk River",MN,55330,
"Australian Cattle Dog Rescue Minnesota",acdrescuemn@gmail.com,,"Delano",MN,55328,
"B.A.R.K. (Being Advocates for Rescued K-9's)",barkmn@gmail.com,651-554-9284,"St. Paul",MN,55107,
"Bichon Frise Rescue",louiseann@frontiernet.net,(651) 257-7125,"Center City",MN,55012,
"Blue Earth Nicollet County Humane Society",rrps@hickorytech.net,507-625-6373,"Mankato",MN,56001,
"Blue Sky Rescue of Minnesota",blueskyrescue14@gmail.com,(952) 212-1008,"Wayzata",MN,55391,
"Border Collie Rescue of Minnesota",info@bcrofmn.org,,"Delano",MN,55328,
"Brown County Humane Society",bchsnu@hotmail.com,(507) 359-2312,"New Ulm",MN,56073,
"C.A.R.E.S. (Companion Animal Rehabilitation, Education & Sanctuary)",cares@iaxs.net,,"Wyoming",MN,55092,
"Camp Companion",michele@campcompanion.org,(507) 951-7801,"Rochester",MN,55903,
"Canine Carroll",susan.dogscats@yahoo.com,612-616-2522,"Minnetonka",MN,55345,
"Caring for Cats Inc.",jenpfalz@gmail.com,(651) 407-8485,"North Saint Paul",MN,55109,
"Carver-Scott Humane Society",info@carverscotths.org,952-368-3553,"Chaska",MN,55318,
"Cat Tales",cattalesmn@outlook.com,763-202-3849,"Montrose",MN,55363,
"Cats Meow Dogs Bark Rescue",adoptablepets@aol.com,651-343-1964,"South St Paul",MN,55075,
"Cause For Paws Inc.",cause4paws@hotmail.com,(952) 259-1483,"Roseville",MN,55113,
"Central Minnesota Animal Care & Control",cmacc@integra.net,(320)-257-0103,"Sauk Rapids",MN,56379,
"Coco's Heart Dog Rescue",adoptions@cocosheartdogrescue.org,,"Oakdale",MN,55128,
"Col Potter Cairn Rescue Network - Midwest Region",cairnrescuecpcrn@yahoo.com,,"White Bear Township",MN,55127,
"Contented Critters Animal Sanctuary",girfish@gmail.com,218-638-2153,"Makinen",MN,55763,
