Name,Email,Phone,City,State,Zip,Website
"4 Paws 4 Rescue",adopt@4paws4rescue.com,(314) 420-7930,"Fenton",MO,63026,
"4 Paws of the 4 States",mary_dana@hotmail.com,(660) 227-9445,"granby",MO,64844,
"4 The Love of K9s",theloveofk9s@yahoo.com,,"Springfield",MO,65810,
"Act Now Rescue",info@actnowrescue.net,(314) 605-1497,"Saint Louis",MO,63151,
"Advocates4Animals",krishaus@sbcglobal.net,,"Barnhart",MO,63012,
"Against All Odds Animal ResQ, Inc.",allendebb@yahoo.com,(816) 564-6491,"Hamilton",MO,64644,
"All About Paws",info@aaprescue.org,,"Bridgeton",MO,63044,
"All New Hope Animal Rescue",allnewhoperescue@yahoo.com,314-614-4222,"St. Louis",MO,63119,
"All Paws Rescue",adopt@allpawsrescue.info,636-288-2999,"O'Fallon",MO,63366,
"American Brittany Rescue-KS/MO/OK/AR",abr.mo@americanbrittanyrescue.org,1-866-274-8911,"Trimble",MO,64492,
"American Eskimo Rescue St. Louis",info@eskierescuestl.org,(314) 647-1112,"Saint Louis",MO,63132,
"Angels Left Behind",angelsleftbehind@yahoo.com,,"Belton",MO,64012,
"Animal House Cat Rescue and Adoption Center",animalhouse@stlcats.org,(314) 531-4626,"St. Louis",MO,63103,
"Animal Medical Center",animalmedicalcenterkc@gmail.com,(816) 333-9000,"Kansas City",MO,64114,
"Animal Protective Association of Missouri",julie@apamo.org,314-645-4610,"Saint Louis",MO,63144,
"Animal Shelter Of Linn County",linncountyhs@yahoo.com,(660) 258-3322,"Brookfield",MO,64628,
"Animal Welfare Association of Warren County(AWA)",startingover@centurytel.net,(636) 297-0486,"Warrenton",MO,63383,
"animalFAIR (Foundation for Animals In Risk)",petslive@iland.net,(660) 826-5680,"Sedalia",MO,65301,
"Animals Best Friends",rescue@animalsbestfriends.org,email only please,"Independence",MO,64051,
"Another Chance Cat Rescue",mherron@entrekc.com,816 616 7725,"Kansas City",MO,64114,
"ARFF MO-Animal Responsibility for Fayette, MO",arffmorescue@gmail.com,660-248-2733,"Fayette",MO,65248,
"Blue Moon Sanctuary",bluemoonsanctuary@yahoo.com,(573) 317-9385,"Linn Creek",MO,65052,
"Bollinger County Stray Project",ace@clas.net,(573) 722-3035,"Marble Hill",MO,63764,
"Boone County Animal Care",boonecountyanimalcare@gmail.com,,"Columbia",MO,65203,
"Boxer/Schnauzer Rescue of the Ozarks",bsrozarks@gmail.com,417-988-4441,"Springfield",MO,65801,
"Burge Bird Rescue",burgebirdservices@yahoo.com,816-356-4700,"Grandview",MO,64030,
"C.A.R.E. Animal Rescue",carerescue@yahoo.com,,"Springfield",MO,65807,
"Callaway County Humane Society",callawayhumanesociety@gmail.com,573-826-5656,"Fulton",MO,65251,
"Callaway Hills Animal Shelter",chas@callawayhillsstable.com,(573) 896-4049,"New Bloomfield",MO,65063,
