Name,Email,Phone,City,State,Zip,Website
"Aberdeen Animal Shelter",aberdeenshelter@att.net,662-369-2188,"Aberdeen",MS,39730,
"American Brussels Griffon Rescue Alliance",affengriffonrescue@msn.com,,"Jackson",MS,39201,
"Arkabutla Rescue Rehabilitation and Foster - ARRF",arrfdog@yahoo.com,,"Coldwater",MS,38618,
"Big River Animal Society, Inc.",bigriveranimalsociety@gmail.com,9014917474,"Olive Branch",MS,38654,
"Bless Their Hearts Animal Rescue",blesstheirheartsrescue@gmail.com,6626409505,"Becker",MS,38825,
"Central MS Turtle Rescue",turtlerescuems.adoptions@gmail.com,(601) 642-1418,"Florence",MS,39073,
"Charlie's Crusaders Pet Rescue",charliescrusaders@gmail.com,(901) 496-1962,"Horn Lake",MS,38637,
"Cheshire Abbey",cheshireabbey@gmail.com,,"Jackson",MS,39236,
"Cleveland/Bolivar County Animal Shelter",jamie.grant@cityofclevelandms.com,662-846-1155,"Cleveland",MS,38732,
"Columbus-Lowndes Humane Society",kjohnwick@yahoo.com,(662) 327-3107,"Columbus",MS,39703,
"Community Animal Rescue & Adoption, Inc. (CARA)",admin@carams.org,(601) 922-7575,"Jackson",MS,39209,
"Copiah Animal Shelter",copiahanimalshelter@yahoo.com,(601) 954-6447,"Crystal Springs",MS,39059,
"Corinth/Alcorn Animal Shelter",alcornpets@gmail.com,(662) 284-5800,"Corinth",MS,38834,
"DeSoto Animal Rescue Society",info@desotoanimalrescue.org,662-342-9448,"Horn Lake",MS,38637,
"DeSoto County Animal Shelter",msparks@desotocountyms.gov,(662) 469-8004,"Nesbit",MS,38651,
"Dixie Adoptables",info@dixieadoptables.org,,"Lucedale",MS,39452,
"East Mississippi Animal Rescue",bkochsfs@bellsouth.net,(601) 553-3060,"Meridian",MS,39303,
"Forever Home 4 Dogs Rescue",foreverhome4dogs@aol.com,(228) 217-5571,"Pascagoula",MS,39567,
"Friends of Horn Lake Animal Shelter",hlshelter@yahoo.com,662-393-5857,"Horn Lake",MS,38637,
"Friends of Jackson County Animal Shelter Pets",friendsofjcas@gmail.com,228-324-3847,"Ocean Springs",MS,39564,
"Friends of the Animal Shelter in Hancock County",hcasms@yahoo.com,228-466-4516,"Bay St. Louis",MS,39520,
"Grace Rescue for Southern Paws, Inc.",dmoore2003@bellsouth.net,(901) 299-9191,"Holly Springs",MS,38635,
"Grassroots Animal Rescue",grassrootsanimalrescue@gmail.com,(662) 508-0612,"Starkville",MS,39759,
"Happy Healthy Pet Adoption, Inc",hhpaoffice@hhpa4pets.com,601-764-3535,"Bay Springs",MS,39422,
"Hoovers Hause All Dog Rescue",sharonrunkel@yahoo.com,(901) 598-1487,"Crenshaw",MS,38621,
"Hub City Humane Society",hubcityhumsoc@aol.com,601-596-2206,"Hattiesburg",MS,39402,
"Jackson County Animal Shelter",marion_mallette@co.jackson.ms.us,228-497-6350,"Gautier",MS,39553,
"Jackson Friends of Animal Shelter",lpc310@yahoo.com,,"Jackson",MS,39205,
"Jethro's Anipal Sanctuary, Inc.",anipalsanctuary@aol.com,please e-mail,"Diamondhead",MS,39525,
"Leflore County Humane Society",leflorehumanesociety@yahoo.com,662-453-8085,"Greenwood",MS,38930,
"Legacy German Shepherd Rescue",pstidmon@gmail.com,Please email,"Nesbit",MS,38671,
"Marshall County Humane Society",dogsncats11@gmail.com,(662) 564-2900,"Holly Springs",MS,38635,
"Mercer Animal Rescue",merceranimalrescue@gmail.com,901-651-6322,"Olive Branch",MS,38654,
"Oktoc Animal Rescue, Inc.",oktocanimalrescue@gmail.com,,"Starkville",MS,39759,
"Olive Branch Animal Shelter",lucy.massey@obms.us,(662) 895-4582,"Olive Branch",MS,38654,
"Oxford Lafayette Humane Society",info@oxfordpets.com,(662) 236-7631,"Oxford",MS,38655,
"Paws Rescue",pawsrescuepets@gmail.com,601-529-1535,"Vicksburg",MS,39180,
"Pearl River County SPCA",prcspca@prcspca.org,601-798-8000,"Picayune",MS,39466,
"Project Paws",projectpawsms@aol.com,,"Holly Springs",MS,38635,
"Remo's Rescue",remosrescue@gmail.com,601-325-6178,"Carthage",MS,39051,
"Rescue Revolution of Mississippi",rrofms@gmail.com,,"Jackson",MS,39236,
"Save1Pet",save1pet@yahoo.com,(662) 890-7299,"Olive Branch",MS,38654,
"Second Chances",secondchancespontotoc@gmail.com,,"Randolph",MS,38864,
"Senatobia-Tate Co. Animal Shelter",stcpets@att.net,662-562-0070,"Senatobia",MS,38668,
"Shaw Pit Bull Rescue, Inc.",shawpitbullrescue@gmail.com,(662) 386-7429,"Columbus",MS,39702,
"Snowden Grove Animal Hospital",snowdengrovevet@yahoo.com,snowdengrovevet@yahoo.com,"Southaven",MS,38671,
"Southaven Animal Shelter",pmason@southaven.org,662-796-2491,"Southaven",MS,38671,
"Southern Friends Animal Society",sfanimalsociety@gmail.com,,"Nesbit",MS,38651,
"Southern Jewel Dog Rescue",lovedogs.rescue@gmail.com,,"Olive Branch",MS,38654,
"Southern Magnolia Boxer Rescue",adoptaboxer@gmail.com,,"Amory",MS,38821,
"Southern Pines Animal Shelter",info@southernpinesanimalshelter.org,(601) 544-6632,"Hattiesburg",MS,39401,
"The Homeward Bound Project of MS",homewardboundkitties@gmail.com,,"Mississippi State",MS,39762,
"Tired Dog Rescue",tdradoptions@gmail.com,,"Gulfport",MS,39503,
"Tunica Humane Society",tmke1@aol.com,(662) 895-4201,"Tunica",MS,38676,
"Tupelo-Lee Humane Society",info@tupeloleehumane.org,(662) 841-6500,"Tupelo",MS,38801,
"Union County Humane Society",uchsofms@gmail.com,,"New Albany",MS,38652,
"Vicksburg-Warren Humane Society",vwhs@bellsouth.net,601-636-6631,"Vicksburg",MS,39182,
"Volunteers of the Hernando Animal Shelter",hernandomsanimalshelter@gmail.com,(601) 259-0374,"Hernando",MS,38632,
"West Point Clay County Animal Shelter",wpccanimalshelter@gmail.com,662-524-4430,"West Point",MS,39773,
