Name,Email,Phone,City,State,Zip,Website
"4 Paws Rescue",rluvpups2@gmail.com,406-439-1405,"Cardwell",MT,59721,
"All Hearts Rescue",parkerandpets@yahoo.com,406-212-7544,"Polson",MT,59860,
"Bangtail Dog Rescue",jackie@blackdog.cc,,"Stevensville",MT,59715,
"Beartooth Humane Alliance",info@beartoothhumane.org,(406) 446-3500,"Red Lodge",MT,59068,
"Big Sky Rottweiler Rescue",info@bigskyrottrescue.org,,"Laurel",MT,59715,
"Bitter Root Humane Association",brhafront@bitterroothumane.org,406-363 -5311,"Hamilton",MT,59840,
"Bright Eyes Care & Rehab Center",brighteyes@3rivers.net,(406) 466-2100,"Choteau",MT,59422,
"Chelsea Bailey Butte Silver Bow Animal Shelter",bsbanimalshelter@bsb.mt.gov,(406) 497-6528,"Butte",MT,59701,
"City of Havre Animal Shelter",pfederspiel@ci.havre.mt.us,406-265-2959,"Havre",MT,59501,
"Conrad Animal Pound",ginginw@3rivers.net,(406) 271-5723,"Conrad",MT,59425,
"Cut Bank Animal Shelter",cutbankanimalshelter@hotmail.com,(406) 391-2273,"Cut Bank",MT,59427,
"Dedman Foundation",dedmanf@mtintouch.net,(406) 622-5657,"Fort Benton",MT,59442,
"Freckles and Tomcat Rescue",frecklesandtomcatrescue2@gmail.com,4062812954,"Billings",MT,59102,
"Great Falls Animal Shelter",gfanimalshelter@greatfallsmt.net,406-454-2276,"Great Falls",MT,59405,
"Great Pyrenees Rescue of Montana",greatpyrrescuemt@yahoo.com,(406) 375-0719,"Hamilton",MT,59840,
"Help for Homeless Pets",hhpmontana1@gmail.com,(406) 860-8735,"Billings",MT,59101,
"Humane Society of Western Montana",paws@myhswm.org,(406) 549-3934,"Missoula",MT,59808,
"Kootenai Pets for Life Inc.",kootenaipetsforlife@yahoo.com,406 293 5735,"Libby",MT,59935,
"Lewis & Clark Humane Society",kaxline@lchsmontana.org,(406) 442-1660,"Helena",MT,59604,
"Life Savers Animal Rescue",lsar@lsar.org,(406) 676-4200,"Polson",MT,59860,
"Maclean Animal Adoption Center",vetassistant@macleananimaladoptioncenter.org,4067277387,"Great Falls",MT,59404,
"Missoula City-County Animal Control",animalcontrol@co.missoula.mt.us,(406) 541-7387,"Missoula",MT,59808,
"Montana German Shorthaired Pointer Rescue",lzyharts@midrivers.com,406-989-2480,"Glendive",MT,59330,
"PAWS of Chinook",pawsdogs@hotmail.com,,"Chinook",MT,59523,
"Pet Connection Rescue & Sanctuary",nutsforpets@yahoo.com,406-291-4091,"Libby",MT,59923,
"Pet Paw-see",leslie10@att.net,(406)231-1132,"Great Falls",MT,59405,
"Prairie Oasis Animal Shelter",hello@prairieoasismt.org,(406) 450-1671,"Shelby",MT,59474,
"Rez Dog Rescue of Montana",brucentrish1985@gmail.com,(406) 208-3853,"Billings",MT,59101,
"RezQ Dogs",adoptions.rezqdogs@gmail.com,,"Dodson",MT,59524,
"Thompson River Animal Care Shelter",shelter@pet-tracs.com,406-827-8722,"Thompson Falls",MT,59873,
"Tiny Tails K-9  Rescue",tinytailsk9rescue@live.com,406-580-2006  Call or Text,"Manhattan",MT,59741,
