Name,Email,Phone,City,State,Zip,Website
"10 Lives Cat Rescue",10livescatrescue@gmail.com,,"Waxhaw",NC,28173,
"2 Paws Up",adoptions2pawsup@gmail.com,,"Raleigh",NC,27627,
"Abandoned Love Animal Rescue",alarfounder@gmail.com,,"Cameron",NC,28326,
"Adopt-An-ANGEL",jjones21@atmc.net,910-392-0557,"Wilmington",NC,28408,
"Adopt4Love Pets, Inc",adopt4lovepets@gmail.com,(919) 343-8923,"Carthage",NC,28327,
"Adoptable Companion Animals of NC",cherylspaws@gmail.com,(252) 532-5928,"Ahoskie",NC,27910,
"Adoption First Animal Rescue",adoptionfirstanimalrescue@gmail.com,,"Richlands",NC,28574,
"All 4 Cats, Inc",info@all4cats.org,(910) 707-4372,"Wilmington",NC,28409,
"All Breed Animal Rescue of the Carolinas",allbreedanimalrescue@gmail.com,,"Cary",NC,27512,
"American Pit Bull Foundation",apbfadoptions@gmail.com,,"Charlotte",NC,28215,
"Anchor Your Heart Rescue",anchoryourheartrescue@gmail.com,910-540-4495,"Wilmington",NC,28405,
"Angel's Dog Rescue and Adoption",kimbrahill@angelsdogrescue.org,704-458-7326,"Monroe",NC,28110,
"Angels Retreat Rescue",angelsretreatrescue@gmail.com,(828) 389-3330,"Hayesville",NC,28904,
"Animal Adoption and Rescue Foundation",info@aarfanimals.org,(336) 768-7387,"Winston Salem",NC,27103,
"Animal Adoption League",mynextpet@yahoo.com,,"Charlotte",NC,28212,
"Animal Ark Warren County",wcanimalark@warrencountync.gov,252-257-6137,"Warrenton",NC,27589,
"Animal Awareness Society Inc.",animalawareness1@hotmail.com,336-498-6013,"Greensboro",NC,27408,
"Animal Haven of Asheville",animalhavennlol@gmail.com,(828) 299-1635,"Asheville",NC,28805,
"Animal Life Inc.",animallifeinc@gmail.com,(910) 658-6604,"Sanford",NC,27332,
"Animal Protection Society of Caswell County",apscaswell@yahoo.com,336-694-4921,"Yanceyville",NC,27379,
"Animal Protection Society of Durham",adopt@apsofdurham.org,919-560-0640,"Durham",NC,27704,
"Animal Protection Society of Person County",apsofpc@gmail.com,336 514-8689,"Roxboro",NC,27573,
"Animal Rescue Center",lindabrownarc@gmail.com,(704) 293-8109,"Charlotte",NC,28214,
"Animal Rescue Foster Program",savapup2@aol.com,336-574-9600,"Greensboro",NC,27417,
"Animals First Rescue of the Carolinas",animalsfirstrescue@gmail.com,704-256-0014,"Marvin",NC,28173,
"Ashe County Humane Society Inc.",ashehumane@skybest.com,336-982-4297,"Jefferson",NC,28640,
"Asheville Guinea Pig Rescue",info@ashevilleguineapigrescue.org,,"Hendersonville",NC,28791,
"Asheville Humane Society",adoptions@ashevillehumane.org,(828) 761-2001,"Asheville",NC,28806,
"Asheville Underdogs Inc",ashevilleunderdogs@gmail.com,8282758555,"Asheville",NC,28804,
"Atlantic Rottweiler Rescue and Friends",adopt@arrfnc.com,,"Mooresville",NC,28117,
"Austin Veterinary Outreach and Rescue of NC",sarawaustin@gmail.com,(252) 732-5936,"Beaufort",NC,28516,
"Avery County Humane Society",charlene.averyhumane@gmail.com,(828) 733-2333,"Newland",NC,28657,
"Bladen County Animal Shelter",bladenpets@yahoo.com,910-876-0539,"Elizabethown",NC,28337,
