Name,Email,Phone,City,State,Zip,Website
"4 Luv Of Dog Rescue",question@4luvofdog.org,(701) 205-0190,"Fargo",ND,58103,
"CATS Cradle Shelter, Inc",adopt@catscradleshelter.org,701-356-7877,"Fargo",ND,58102,
"Center for Avian Adoption, Rescue, and Education",info@caare.net,(701) 293-3833,"West Fargo",ND,58078,
"Central Dakota Humane Society",info@cdhs.net,701-667-2020,"Mandan",ND,58554,
"Circle of Friends Humane Society",stephanie@cofpets.com,(701) 775-3732,"Grand Forks",ND,58203,
"Dakota Animal Resource Coalition",cdwiesinger@yahoo.com,(701) 440-0186,"Scranton",ND,58653,
"Diamond In The Ruff Pet Rescue",info@diamondpetrescue.org,701-793-0698,"Fargo",ND,58109,
"Furry Friends Rockin' Rescue",ffrrinc@gmail.com,,"Mandan",ND,58554,
"Guardian GSD Rescue, NW ND/MT",twosocks04@aol.com,701-651-8477,"Williston",ND,58801,
"Homeward Animal Shelter",info@homewardonline.org,701-239-0077,"Fargo",ND,58102,
"Humane Society of Richland-Wilkin Counties",rwchs@702com.net,(701) 672-1676,"Wahpeton",ND,58075,
"James River Humane Society",chelsey_089@hotmail.com,(701) 252-0747,"Jamestown",ND,58402,
"North Dakota Animals in Need",ndain@hotmail.com,,"Lincoln",ND,58504,
"Oreo's Animal Rescue",oreosanimalrescue@yahoo.com,701-483-0240,"Dickinson",ND,58601,
"Prairie Paws Rescue",prairiepawsrescue@hotmail.com,(701) 320-4553,"Jamestown",ND,58401,
"Sheyenne Valley Friends of Animals",info@svfanimals.org,701-840-5047,"Valley City",ND,58072,
"The Uffda Fund for Animals",uffdarescue@gmail.com,(701) 230-4014,"Cando",ND,58324,
