Name,Email,Phone,City,State,Zip,Website
"12 Hills Dog Rescue",12hillsdogrescue@gmail.com,402-846-5100,"Walthill",NE,68067,
"Adopt-A-Dog Animal Rescue, Inc.",adopt-a-dog-rescue@hotmail.com,(308) 566-0208,"Chappell",NE,69129,
"All Hounds On Deck",ahod@allhounds.com,(402) 613-2721,"Lincoln",NE,68526,
"American Brittany Rescue-NE/CO/WY",abr.ne@americanbrittanyrescue.com,(866) 274-8911,"Lincoln",NE,68507,
"Aurora Adopt A Pet",auroraadoptapet@yahoo.com,402-694-2738,"Aurora",NE,68818,
"Big Red Rescue of the Heartland",cj@bigredrescue.com,,"Lincoln",NE,68506,
"Blue River Pet Rescue",blueriverpetrescue@gmail.com,402-646-5511,"Seward",NE,68434,
"Borders without Boundaries Rescue",svoigt@bwbr.org,,"Valentine",NE,69201,
"Bright Futures Pet Adoption & Rescue, Inc.",gay.pet55@gmail.com,402-563-4744,"Columbus",NE,68601,
"Central Nebraska Humane Society",info@centralnebraskahumanesociety.com,(308) 385-5305,"Grand Island",NE,68801,
"Doberman Rescue of Nebraska Inc.",dron95@yahoo.com,402-614-4495,"Omaha",NE,68114,
"Dolly's Legacy Animal Rescue",dollyslegacy@aol.com,,"Lincoln",NE,68542,
"Fairview Veterinary Clinic",fairviewveterinaryclinic@gmail.com,(308) 324-3411,"Lexington",NE,68850,
"Feline Friendz in NE",felinefriendz@yahoo.com,402-778-1111,"Omaha",NE,68164,
"Friends of Pets, Inc.",info@chadronfriendsofpets.org,719-661-8896,"Chadron",NE,69337,
"Fur the Love of PAWS",jenneralstar@yahoo.com,308-539-0277,"North Platte",NE,69101,
"Furbaby Rescue Midwest Inc.",furbabyrescuemidwest@gmail.com,(402) 841-2366,"Norfolk",NE,68701,
"FurEver Home Inc",fetchingfureverhomes@gmail.com,(402) 979-8800,"Fremont",NE,68025,
"Golden Retriever Rescue in Nebraska",info@grrin.org,(402) 330-6680,"Boys Town",NE,68010,
"Great Plains Pointer Rescue",greatplains@cox.net,,"Omaha",NE,68144,
"Great Pyrenees Rescue of NE",emulady@wildblue.net,(402) 371-7637,"Lincoln",NE,68506,
"Hands, Hearts and Paws",handsheartspaws@cox.net,,"Omaha",NE,68106,
"Heartland Pet Connection",heartlandpetconnection@gmail.com,(402) 462-7387,"Hastings",NE,68901,
"Hearts United for Animals",hua@hua.org,,"Auburn",NE,68305,
"Helping Hand 4 Animals Inc.",helpinghandro@gmail.com,,"Omaha",NE,68127,
"High Plains P.A.W",highplainspaw@gmail.com,,"Sidney",NE,69162,
"Holt County Animal Shelter",info@holtcountyanimalshelter.com,402 336-5435,"ONeill",NE,68763,
"Homeward Bound in the Heartland Animal Rescue",info@homewardboundintheheartland.info,402-706-7313,"Omaha",NE,68108,
"Humane Society of Richardson County, Inc.",cphroper@neb.rr.com,(402) 245-2338,"Falls City",NE,68355,
"Husker's Hope Dachshund Rescue",carla@huskershopedachshundrescue.org,(402) 601-1068,"Lincoln",NE,68510,
"Jack Russell Terrier Rescue",flyingjrt@aol.com,402.963.9722,"Omaha",NE,68154,
"Jeanette Hunt Animal Shelter",manager@blairanimalshelter.org,402-533-2743,"Blair",NE,68008,
"K9HAVEN Rescue",k9haven48@yahoo.com,308-872-5147,"Broken Bow",NE,68822,
"Kearney Area Animal Shelter",info@kearneyanimalshelter.com,308-237-7387,"Kearney",NE,68845,
"Little White Dog Rescue",info@littlewhitedogrescue.org,,"Omaha",NE,68137,
"McCook Humane Society",humanesociety@mccooknet.com,308-345-2372,"McCook",NE,69001,
"MidAmerica Boston Terrier Rescue",midamericabostonrescue@gmail.com,(402) 510-1346,"Omaha",NE,68116,
"Midwest Wheaten Rescue",midwestwheatenrescue@yahoo.com,402.850.9292,"Omaha",NE,68022,
"Mini Aussie Rescue & Support (MARS)  NE",info@miniaussierescue.org,,"Omaha",NE,68135,
"Nebraska Border Collie Rescue Inc",nbcr.foster@gmail.com,,"Bellevue",NE,68123,
"Nebraska Boston Terrier Rescue",jenjen25@aol.com,Email please,"Omaha",NE,68130,
"Nebraska Dachshund Rescue",adopt@nebraskadachshundrescue.org,,"Omaha",NE,68138,
"Nebraska Humane Society",nhs@nehumanesociety.org,402-444-7800,"Omaha",NE,68134,
"Nebraska Italian Greyhound Rescue (IGCA)",neigrescue@gmail.com,,"Lincoln",NE,68510,
"Nebraska No Kill Canine Rescue",info@nebraskanokill.org,,"Lincoln",NE,68506,
"Pawsitive Endings Dog Rescue",pawsitiveendings@gmail.com,(308) 762-3499,"Alliance",NE,69301,
"Perkins County Animal Shelter",pcanimalshelter@live.com,308-352-2630,"Grant",NE,69140,
"Pug Partners Of Nebraska",pugpartners@gmail.com,(888) 509-1940,"Omaha",NE,68104,
"Revolution Rescue",info@revolutionrescue.com,,"Lincoln",NE,68516,
"SCLP Pet Rescue",debora@hometownworks.com,402 432 2814,"Wahoo",NE,68066,
