Name,Email,Phone,City,State,Zip,Website
"4 Lil Paws Ferret Shelter",daisyandrambo@comcast.net,(603) 778-0172,"Brentwood",NH,3833,
"All Breed Rescue and Adoption Inc.",makepeace4paws@comcast.net,(603) 580-2121,"Seabrook",NH,3874,
"Animal Allies",info@animalallies.org,(603) 228-6755,"Manchester",NH,3105,
"Animal Rescue League of New Hampshire",njohnston@rescueleague.org,(603) 472-3647,"Bedford",NH,3110,
"Animal Rescue Network of New England",info@arnne.org,603-233-4801,"Pelham",NH,3076,
"Bare Paws Rescue",barepawsrescue@yahoo.com,,"Gilford",NH,3247,
"Cairn Rescue League",cairnrescueleague@gmail.com,,"Atkinson",NH,3811,
"Canine Commitment NH",ross@caninecommit.org,,"New Boston",NH,3070,
"Cats 1st",info@cats1st.org,(603) 988-5592,"Newfields",NH,3856,
"Cocheco Valley Humane Society",adoption@cvhsonline.org,(603) 749-5322,"Dover",NH,3820,
"Cocker Spaniel Rescue of New England",artonpark@aol.com,603-547-3363,"Greenfield",NH,3047,
"Connect A Pet New England",connectapetne@gmail.com,6039972155,"Albany",NH,3818,
"Darbster Foundation",dk@darbster.net,(603) 856-9233,"Manchester",NH,3103,
"Draft Gratitude",info@draftgratitude.com,(603) 762-3266,"Winchester",NH,3470,
"Fast Friends Greyhound Adoption Center",sharron_thomas@hotmail.com,(603) 355-1556,"Keene",NH,3469,
"Feline Friends",felinefral@gmail.com,603 893-2483,"Salem",NH,3079,
"For Dog's Sake",info@fordogssakerescue.org,,"Manchester",NH,3102,
"For The Love of Dog",fortheloveofdog@tds.net,Please EMAIL US,"Hillsboro",NH,3244,
"Franklin Animal Shelter",manager_fas@yahoo.com,(603) 934-4132,"Franklin",NH,3235,
"Friends of the Manchester Animal Shelter",lisa@manchesteranimalshelter.org,(603) 628-3544,"Manchester",NH,3102,
"FuRRR Feline Rescue, Rehabilitation and Retirement",adoption@furrr.org,,"Gonic",NH,3839,
"Granite State Paw Rescuers",granitestatepawadoptions@gmail.com,(603) 660-8468,"Goffstown",NH,3045,
"Greater Derry Humane Society Inc.",contact@derryhumanesociety.com,603-434-1512,"East Derry",NH,3041,
"Greyhound Pets of America - Central NH Chapter",director@gpa-cnhc.org,(800) 507-9597,"Milton Mills",NH,3852,
"Homes for Happy Dogs, Inc.",homes4happydogs@gmail.com,603-961-0234,"Chichester",NH,3258,
"Kast Hill Farm",kasthillfarm@gmail.com,603-475-7555,"Hopkinton",NH,3229,
"Lakes Region Humane Society",mfichter@lrhs.net,603-539-1077,"Ossipee",NH,3864,
"Libby's Haven for Senior Canines",lhsk9@comcast.net,603) 783-9416,"Canterbury",NH,3224,
"Lilac Groves Pampered Pups",lgrovefarm@aol.com,603-964-1475,"Rye",NH,3870,
"Live and Let Live Farm",tehorse@aol.com,(603) 798-5615,"Chichester",NH,3258,
"Lost my Way Animal Shelter",cathy3sullivan@yahoo.com,603-477-1229,"Claremont",NH,3743,
"Mary's Dogs",marysdogsadoptions@gmail.com,(603) 608-3374,"Northwood",NH,3261,
"New Digs for Dogs Rescue",newdigsfordogs@gmail.com,,"North Haverhill",NH,3774,
"New Hampshire Small Dog Rescue",bonnievendig@yahoo.com,(787) 808-3523,"Alstead",NH,3602,
"NH Sled Dog Rescue, History & Education Center",info@dogslednh.com,(603) 545-4533,"Jefferson",NH,3583,
"NHSPCA",info@nhspca.org,603-772-2921,"Stratham",NH,3885,
"Northeastern Reptile Welfare League",nereptilewelfare@gmail.com,,"North Haverhill",NH,3774,
"Northern New England Westie Rescue Inc",rescue@nnewestierescue.org,,"Rye",NH,3870,
"Peis and Strays",info@peisandstrays.com,,"Nashua",NH,3063,
"Pope Memorial SPCA of Concord Merrimack County",info@popememorialspca.org,603-856-8756,"Concord",NH,3301,
"PRONE - Papillon Rescue of the North East",pronepups@gmail.com,,"Sandown",NH,3873,
"River Valley Animal Protection League",rvapl@comcast.net,E mail us,"Charlestown",NH,3603,
"Salem Animal Rescue League",tmartin@sarlnh.org,603-893-3210,"Salem",NH,3079,
"Sato Heart Rescue, Wilton,NH",satoheartadoptions@gmail.com,603-265-0303,"Milford",NH,3055,
"Second Chance Animal Rescue, Inc",secondchancear.org@gmail.com,(603) 259-3244,"Littleton",NH,3561,
"Siamese Cat Rescue Center",pf@siameserescue.org,,"Concord",NH,3055,
"Sullivan County Humane Society",sullivanhumane@hotmail.com,603-542-3277,"Claremont",NH,3743,
"Voice for Animals",in2catz@gmail.com,,"Farmington",NH,3835,
"WAG - We Are Animal Guardians",wearewag@gsinet.net,603-529-5443,"Weare",NH,3281,
"Wags and Wiggles Rescue",wags.n.wiggles.rescue@gmail.com,(603) 843-5319,"Newport",NH,3773,
