Name,Email,Phone,City,State,Zip,Website
"4 Paws Dog Rescue of NJ",info@4pawsnj.org,,"Newfield",NJ,8344,
"4 Paws With A Cause Rescue",4pawswithacause@comcast.net,(609) 257-3701,"Medford",NJ,8055,
"911 Dog and Cat Rescue",911dogrescue@gmail.com,(908) 763-2040,"Morristown",NJ,7960,
"A Helping Wing Parrot Rescue",adoptions@ahelpingwing.org,845-475-8249,"Blairstown",NJ,7825,
"A Hoppy Tail",adopt@ahoppytail.com,(973) 555-1212,"Long Valley",NJ,7853,
"A Pathway to Hope",info.pathwaytohope@gmail.com,(973) 555-1111,"North Haledon",NJ,7508,
"A Purrfect World",mail4kristina@aol.com,EMAIL ONLY,"Bloomfield",NJ,7003,
"A Voice for Paws",avoiceforpaws.adoptions@gmail.com,(856) 318-6870,"Sewell",NJ,8080,
"A.F.E.W. - Animal Friends for Education and Welfare, Inc.",afew_pets@comcast.net,,"Hightstown",NJ,8528,
"ABC Inc.",abcpetfinder@gmail.com,(732) 779-2220,"Pine Beach",NJ,8741,
"Addison Rescue",mpetrone@chubb.com,(908) 612-4551,"Milford",NJ,8848,
"Adopt A Setter",irishrescue1@aol.com,,"Whitehouse Station",NJ,8889,
"Adopt-a-Pet",spayme@aol.com,,"Freehold",NJ,7728,
"AHS-Tinton Falls",tintonfallsahs@aol.com,(732) 922-0100,"Tinton Falls",NJ,7753,
"Alan Purcell Wayne Township Animal Shelter",animalshelter@waynetownship.com,(973) 694-0767,"Wayne",NJ,7470,
"All 4 The Dogs Rescue",all4thedogsrescue@verizon.net,609-789-3464,"Roosevelt",NJ,8555,
"All Critters Rescue, Inc.",allcrittersrescue@yahoo.com,,"Spotswood",NJ,8884,
"All Fur Love Animal Rescue, Inc.",info@allfurlove.org,732-982-7235,"Freehold",NJ,7728,
"All God's Creatures Inc.",allgodscreaturesoneark@gmail.com,(609) 203-1835,"Hightstown",NJ,8520,
"All Humane Animal Rescue",animalinfo@yahoo.com,973-616-8569,"Wanaque",NJ,7465,
"All Our Orphans",doggie54@optonline.net,973-886-1485,"Randolph",NJ,7869,
"All Star Pet Rescue",allstarpets@comcast.net,,"Linden",NJ,7036,
"Almost Home Animal Rescue of South Jersey",almosthomeanimalrescuesj@gmail.com,(609)846-3079,"Ocean View",NJ,8230,
"Almost Home Animal Shelter",almosthomeshelter@comcast.net,856-663-3058,"Pennsauken",NJ,8109,
"Almost Home Dog Rescue of NJ",adopt@ahdrnj.com,,"Allendale",NJ,7401,
"American Maltese Association Rescue",vcannonlady@aol.com,,"Blairstown",NJ,7825,
"American Rescue Dog",americanrescue@gmail.com,888-772-0172,"Brick",NJ,8723,
"Angel Pets Animal Welfare Society Inc.",info@angelpaws.org,(732) 340-1199,"Colonia",NJ,7067,
"Angels for Animals Network",gjuric.afan66@gmail.com,(201) 655-5059,"Cliffside Park",NJ,7010,
"Angels Helping Animals",angelshelpinganimalsnj@gmail.com,(856) 979-3284,"Moorestown",NJ,8057,
"Angels of Animals Inc.",amy@angelsofanimals.org,,"Clifton",NJ,7013,
"Animal Adoption Center",info@animaladoption.com,856.435.9116,"Lindenwold",NJ,8021,
"Animal Alliance",animalalliance@comcast.net,609-818-1952,"Lambertville",NJ,8530,
"Animal Allies",animalally@gmail.com,(609) 737-2380,"Pennington",NJ,8534,
"Animal Assistance",linda@animalassistance.org,(732) 251-3210,"East Brunswick",NJ,8816,
"Animal Life Savers Inc.",elaine@animallifesavers.org,201-335-PETS,"Palisades Park",NJ,7650,
"Animal Outreach of Cape May County Inc.",info@aocmc.org,609-898-1PET,"Cape May",NJ,8242,
"Animal Relief Foundation",nootz01@aol.com,732-657-0295,"Manchester",NJ,8733,
"Animal Rescue Force",susanmaer@aol.com,(732) 257-7559,"East Brunswick",NJ,8816,
"Animal Rescue R Us",animalrescuerus@aol.com,,"Lodi",NJ,7644,
"Animal Sanctuary Society Inc.",animalsanctuarys@aol.com,(856) 642-0004,"Mount Laurel",NJ,8054,
"Animal Welfare Association",adoptions@awanj.org,856-424-2288,"Voorhees",NJ,8043,
"Animals In Distress, Inc.",aid4cats@gmail.com,(609) 585-5442,"Hamilton",NJ,8620,
"Another Chance 4 Dogs",ac4dogs@gmail.com,908-625-6358,"Frenchtown",NJ,8825,
"ARF of Mercer",arfofmercer@gmail.com,,"Ewing",NJ,8638,
"Ark of Promise Rescue",arkofpromise@aol.com,609-204-4138,"Browns Mills",NJ,8015,
"Atlantic County Animal Shelter",kelsey_kathy@aclink.org,(609) 485-2345,"Pleasantville",NJ,8232,
"Atlantic County Canines",atlanticcountycanines@yahoo.com,,"Egg Harbor Township",NJ,8234,
"Aunt Marys Dog House",auntmarysdoghouse@yahoo.com,908-362-1333,"Montclair",NJ,7043,
"Ava's Rescue",zippykay@comcast.net,(609) 397-2669,"Lambertville",NJ,8530,
"Balanced Buddies Res-Q",balancedbuddiesresq@gmail.com,8569867190,"Atco",NJ,8004,
"BARKS",petadoptionportal@barksinc.com,,"Stanhope",NJ,7874,
"Bayonne Feral Cat Foundation",twiggycat@aol.com,201 823-2363,"Bayonne",NJ,7002,
"Beacon Animal Rescue",beaconanimalrescues@gmail.com,(609) 390-7946,"Ocean View",NJ,8230,
"Bergen County Animal Shelter",shelter@co.bergen.nj.us,(201) 229-4600,"Teterboro",NJ,7608,
"Bergen County Protect and Rescue Foundation",rescueme@bcrescues.org,(201) 945-0649,"Cliffside Park",NJ,7010,
"Bernards Township",msantoro@bernards.org,908-204-3066,"Basking Ridge",NJ,7920,
"Best Friend Dog and Animal Adoption, Inc.",bfdaaa@gmail.com,,"Cranford",NJ,7016,
"Bichon Frise Rescue of NNJ Inc.",nnjbichonrescue@yahoo.com,,"West Orange",NJ,7052,
"Big East Akita Rescue",bigeastakitarescue@verizon.net,(609) 388-7004,"Toms River",NJ,8753,
"Bloomfield Animal Shelter  - John A. Bukowski Shelter for Animals",adoptatbas@yahoo.com,(973) 748-0194,"Bloomfield",NJ,7003,
"Bloomingdale Regional Animal Shelter Society",bass@bassshelterpets.org,973-838-2220,"Bloomingdale",NJ,7403,
"Bonnies Animal Rescue Kingdom",boniark15@gmail.com,,"Paramus",NJ,7653,
"Bordentown City Cats",btowncitycats@gmail.com,609-324-3896,"Bordentown",NJ,8505,
"Brendan's Meadows Rescue",brendansmeadows@yahoo.com,(908) 456-1163,"Mountainside",NJ,7092,
"Brick City Rescue, Inc",info@brickcityrescue.com,(973) 938-2385,"Lincoln Park",NJ,7035,
"Bridges To Safety",bridgesdogsmail@gmail.com,732-859-8915,"Forked River",NJ,8731,
"Bright Starz Neu-Life Animal Rescue, Inc.",bsnlar@optimum.net,(973) 747-5464,"Haskell",NJ,7420,
"BullMastiff Rescuers",jonicavanaugh@gmail.com,,"Pottersville",NJ,7979,
"Bully Rescue Warriors",bullyrescuewarriors@gmail.com,,"Hamburg",NJ,7419,
"Burlington County Animal Alliance",jajachris@aol.com,,"Willingboro",NJ,8046,
"Burlington County Animal Shelter",kdonnelly@co.burlington.nj.us,(609) 265-5073,"Mount Holly",NJ,8060,
"C.A.R.E. Companion Animal Rescue & Education",carenjrescue@yahoo.com,,"Old Bridge",NJ,8857,
"Calling All Cats Rescues",callingallcatsrescues@gmail.com,1-732-773-0809,"Toms River",NJ,8753,
"Camden Companions Animal Rescue",admin@camdencompanions.org,,"Cherry Hill",NJ,8002,
"Camden County Animal Shelter",info@ccasnj.org,856-401-1300,"Blackwood",NJ,8012,
"Cameron Animal Hospital (not a shelter)",cahadoptions@gmail.com,(973) 744-2052,"Montclair",NJ,7042,
"Cane Corso Rescue",tammy@canecorsorescue.org,,"Monroe",NJ,8831,
"Cape-Atlantic C.A.T.S.",wehelpcats@msn.com,(609) 399-4228,"Ocean City",NJ,8226,
"CAPIC, Cat Adoption & Pet Information Center",catnabber1@yahoo.com,908-392-4238,"Raritan",NJ,8869,
"Caring About The Strays (C.A.T.S.) Inc.",care4strays@optonline.net,(201) 666-5444,"Westwood",NJ,7675,
"Caring Canine Connections",contact@thecccrescue.com,,"Bridgewater",NJ,8807,
"Carols Cats",carolscatsrescue@gmail.com,908-874-4660,"Belle Mead",NJ,8502,
"Cattitude Inc",njcattitude@gmail.com,1-732-491-5696,"Highland Park",NJ,8904,
"Cause 4 Paws Inc.",c4pcats@aol.com,(908)377-4579,"Westfield",NJ,7091,
"Chance at Life Cat Rescue",chanceatliferescue@gmail.com,(201) 982-2219,"River Edge",NJ,7661,
"Chelseas Hope Boxer Rescue",boxergalnj@aol.com,888-687-6777,"Dumont",NJ,7628,
"CLAWS",clawsadopt@yahoo.com,(201) 768-0200,"Closter",NJ,7624,
"Close to Home Rescue & Sanctuary Inc",doggiedogrescue@aol.com,(973) 715-2113,"Pompton Lakes",NJ,7442,
"Coalition of Advocates for Shelter Animals",jaea3@aol.com,,"Parlin",NJ,8859,
"Cold Nose Warm Heart Dog Rescue",coldnosewarmheartdogrescue@gmail.com,,"Succasunna",NJ,7876,
"Collie and Ibizan Rescue of Central New Jersey",ruffcollies@outlook.com,,"Washington",NJ,7882,
"Common Sense for Animals",tyfaneef@gmail.com,908-859-3060,"Broadway",NJ,8808,
"Communities Altering The Strays (CATS)",catsincorporated@comcast.net,908-453-0082,"Belvidere",NJ,7823,
"Community Pet Care",adoptions.communitypetcare@gmail.com,,"Palmyra",NJ,8065,
"Companion Animal Placement",p_drumgoole@yahoo.com,(201) 424-5697,"Hoboken",NJ,7030,
"Companion Animal Trust",companionanimaltrust@yahoo.com,Please email,"Jersey City",NJ,7304,
"Crossed Paws Rescue",enlightened34@aol.com,,"Phillipsburg",NJ,8865,
"Cuddly Creatures Inc. Animal Rescue and Adoptions",cuddlycreaturesinc@yahoo.com,,"Manalapan",NJ,7726,
"Cumberland County SPCA and Animal Shelter",adoptions@cumberlandcountyspca.org,856-691-1500,"Vineland",NJ,8360,
"Daniel's Dream",joedwyer1207@gmail.com,973-780-7577,"Nutley",NJ,7110,
"daps animals",dapsanimals@gmail.com,,"Bloomfield",NJ,7003,
"Delaware Valley Bichon Rescue",bichonrescue@gmail.com,(856) 829-7615,"Cinnaminson",NJ,8077,
"Diamond Dogs Rescue",tkdiamond@aol.com,(856) 498-8166,"Mount Holly",NJ,8060,
"Don't Bully Us Rescue",adoptions@dbur.org,,"Wenonah",NJ,8090,
"Doodle Rescue Collective Inc.",info@doodlerescuecollectiveinc.org,,"Montclair",NJ,7042,
