Name,Email,Phone,City,State,Zip,Website
"Action Programs for Animals",actionprogramsforanimals@yahoo.com,575-644-0505,"Las Cruces",NM,88004,
"Albuquerque Animal Welfare - Westside",cstanley@cabq.gov,505-768-1975 Call Center will direct you,"Albuquerque",NM,87121,
"Almost Home NM",adopt@almosthomenm.org,,"Peralta",NM,87042,
"Animal Humane New Mexico",info@animalhumanenm.org,505.255.5523,"Albuquerque",NM,87108,
"Animal Village NM",animalvillagenm1@gmail.com,575-446-4685,"Alamogordo",NM,88310,
"Bridging The Worlds",beverly@bridgingtheworlds.org,505-501-1887,"Santa Fe",NM,87504,
"Bro and Tracy Animal Welfare",joycefay@joycefay.com,505-463-4553,"Corrales",NM,87048,
"CARMA",barbaracarma@msn.com,(505) 321-6275,"Corrales",NM,87048,
"Cat's Meow Adoption Center",corella@zianet.com,575-639-3036,"Las Cruces",NM,88001,
"Central New Mexico Beagle Rescue",centralnmbeaglerescue2pam@gmail.com,505-385-7422,"Albuquerque",NM,87110,
"Central NM German Shepherd Dog Club",kgonsey@msn.com,505-877-7352,"Albuquerque",NM,87105,
"Claws and Paws Rescue",snugglepuffs@hotmail.com,(575) 418-8696,"Albuquerque",NM,87120,
"Colfax Pet Rescue",colfaxpetrescue@bacavalley.com,575-447-1199,"Miami",NM,87729,
"Companion Animal Action Team",caatnm2012@gmail.com,,"Williamsburg",NM,87942,
"County of Los Alamos Animal Shelter",police-psa@lacnm.us,(505) 662-8179,"Los Alamos",NM,87544,
"Desert Haven Animal Refuge",wer4pets@gmail.com,575-894-1694,"Williamsburg",NM,87901,
"Desert Paws, Inc. Animal Rescue of New Mexico",desertpawsnm@gmail.com,(505) 702-9396,"Pena Blanca",NM,87041,
"Dew Paws Rescue",infodewpaws@gmail.com,505 412-9096,"Santa Fe",NM,87500,
"Edgewood Animal Control",mring@pd.edgewood-nm.gov,(505) 926-9013,"Edgewood",NM,87015,
"Enchanted Gardens Cat Rescue",gardens@zianet.com,575-524-1886,"Las Cruces",NM,88005,
"Enchantment Chihuahua Rescue LTD",info@enchantmentrescueltd.com,505-275-SAVE (7283),"Albuquerque",NM,87199,
"EnchantMutts, Inc.",info@enchantmutts.org,,"Albuquerque",NM,87108,
"Espanola Valley Humane Society",dawgboss@gmail.com,505-753-8662,"Espanola",NM,87532,
"Fabulous Felines",fabulousfelines@comcast.net,,"Albuquerque",NM,87191,
"Farmington Animal Shelter",cborquist@fmtn.org,(505) 599-1098,"Farmington",NM,87401,
"FAT KATZ",fatkatzabq@gmail.com,(505) 293-2830,"Albuquerque",NM,87199,
"Felines & Friends New Mexico",askfelinesandfriends@yahoo.com,505 316 2281,"Santa Fe",NM,87501,
"Forever Homes Animal Rescue",leesha8896@aol.com,,"Alamogordo",NM,88310,
"From The Heart Animal Rescue",info@fthar.org,855-236-7823,"Las Cruces",NM,88001,
"German Shepherd Dog Rescue of Southern New Mexico",germanshepherdrescue@bajabb.com,575-415-0894,"Alamogordo",NM,88310,
"HART Homeless Animal Rescue Team",carolyntaylor@att.net,(505)463-0010,"Los Lunas",NM,87031,
"Hearts of Gold Rescue of NM, Inc.",heartsofgoldrescueofnm@gmail.com,,"Albuquerque",NM,87199,
"High Desert Humane Society",hdhs@gilanet.com,575-538-9261,"Silver City",NM,88062,
"House Rabbit Society NM",kirstin@newmexicohrs.org,(505) 435-9916,"Albuquerque",NM,87114,
"Humane Society of Lincoln County",sheltermgr@hslcnm.org,(575) 257-9841,"Ruidoso",NM,88345,
"Jemez Valley Animal Amigos",jvaaadoptions@aol.com,(888) 828-5822,"Jemez Springs",NM,87025,
"Junes Senior Cat Rescue",junescats@q.com,(505) 220-3528,"Albuquerque",NM,87191,
"Lap Dog Rescue of NM",lapdogrescue_newmexico@yahoo.com,505-934-2202,"Tijeras",NM,87059,
"Lazy S Rescue Ranch, Inc.",sassyblondnmgirl@aol.com,5053199779,"Belen",NM,87002,
"Lordsburg Animal Shelter",rrandall@cityoflordsburg.org,,"Lordsburg",NM,88045,
"Mountainair Animal Control",tegreene50@gmail.com,(505) 705-0099,"Mountainair",NM,87036,
"New Mexico Animal Friends",petfinder@nmaf.org,(505) 881-7297,"Albuquerque",NM,87196,
"New Mexico Boston Terrier Rescue",mitzidhobson@gmail.com,505-463-8453,"Corrales",NM,87048,
"NM K-911",nmk911rescue@yahoo.com,(505) 688-6160,"Rio Rancho",NM,87144,
"NMDOG",info@nmdog.org,505-886-1PAW,"Albuquerque",NM,87114,
"Northern New Mexico Friends of Animals, Inc.",hhoward53@yahoo.com,575-586-0784,"Questa",NM,87556,
"O.H.C.A.A.T. (One Homeless Cat At A Time)",ohcaat@yahoo.com,(505) 860-0228,"LA PLATA",NM,87418,
"PACA/AAR",pacacats@aol.com,(505) 255-0544,"Albuquerque",NM,87154,
"Paws & Claws Animal Rescue of Quay County, Inc.",pawsandclawsanimalrescue2@gmail.com,(505) 235-4338,"Tucumcari",NM,88401,
"Paws and Stripes",veterandogs@pawsandstripes.org,(505) 999-1201,"Albuquerque",NM,87110,
"Peace of Mind Rescue of NM",suzie@peaceofmindrescueofnm.org,6097522588,"Cerrillos",NM,87010,
"Pet-a-Bulls Rescue, Inc.",santafesource@netzero.net,505-316-2089,"Albuquerque",NM,87184,
"Raton Humane Society",blazingseven@bacavalley.com,(575)445-9328,"Raton",NM,87740,
"Rio Rancho Animal Control",bgalarneau@rrnm.gov,505-891-5075,"Rio Rancho",NM,87124,
"Santa Fe Animal Shelter & Humane Society",shelter@sfhumanesociety.org,(505) 983-4309,"Santa Fe",NM,87507,
"Senior Spaniel Rescue Inc.",ronnieriner@gmail.com,505-350-7510,"Albuquerque",NM,87114,
"Sierra Animal Shelter",sierrashelter@windstream.net,(575) 894-2240,"Truth or Consequences",NM,87901,
"Soft Coated Wheaten Terrier Club of America",nbtrigo@cybermesa.com,1-505-433-5009,"Corrales",NM,87048,
"Standard Poodle Rescue of the Southwest",standardpoodle05@gmail.com,(915) 240-8537,"Chaparral",NM,88081,
"Stray Hearts Animal Shelter",strayheartsoffice@qwestoffice.net,(575)758-2981,"Taos",NM,87571,
"Street Cat Hub",streetcathub@gmail.com,(505) 681-4713,"Albuquerque",NM,87102,
"Torrance County Animal Shelter",evrasstaff@gmail.com,505-384-5117,"Moriarty",NM,87035,
"Veterinary Medical Clinic",veterinarymedicalclinic2@hotmail.com,5754373063,"Alamogordo",NM,88310,
"Viva! NM Rural Animal Rescue",adopt.viva@gmail.com,,"Albuquerque",NM,87105,
