Name,Email,Phone,City,State,Zip,Website
"A Home 4 Spot",ahome4spot@gmail.com,(702) 239-7986,"Las Vegas",NV,89103,
"Adopt A Rescue Pet",dogrescuelv@hotmail.com,(702)798-8663/591-6469,"Las Vegas",NV,89121,
"All the Same Wild and Tame",wildandtamefound@aol.com,1-866-88-Fleas,"Las Vegas",NV,89101,
"Animal Adoptions Ltd.",teresa@animaladoptionsltd.org,(702) 361-2484,"Henderson",NV,89009,
"Animal Network",adoptmetodayan@aol.com,702-582-7534,"Las Vegas",NV,89147,
"Animal Rescue Group of Northern Nevada",argonn@argonn.org,(775) 229-3708,"Fernley",NV,89408,
"Aussie Border Collie Rescue of Northern Nevada",abcrescue@ymail.com,775-267-4068,"Minden",NV,89423,
"Basenji Club of Southern Nevada",basenjiclubofsouthernnevada@gmail.com,(702) 631-1780,"Las Vegas",NV,89130,
"Big Paw Rescue",virginia@bigpawrescue.org,(702) 635-2760,"Las Vegas",NV,89104,
"Boxers and Buddies",info@boxersandbuddies.com,775-342-5789,"Reno",NV,89704,
"Canine Rehabilitation Center and Sanctuary",info@crcsdogs.com,(775) 800-1906,"Washoe Valley",NV,89704,
"CARES Coalition",carescoalition@yahoo.com,(702) 875-3800,"Jean",NV,89019,
"Carson Tahoe SPCA",info@carsontahoespca.org,(775) 885-7766,"Carson City",NV,89702,
"Catmandu",momcat@catmanducc.org,775-297-3419,"Carson City",NV,89701,
"Churchill Animal Protection Society (CAPS)",caps@cccomm.net,(775) 423-7500,"Fallon",NV,89406,
"City of Elko Animal Shelter",shelter@elkocitynv.gov,(775) 777-7333,"Elko",NV,89801,
"City of Mesquite Animal Shelter",mesquitenvshelter@gmail.com,(702) 346-5268,"Mesquite",NV,89027,
"City-County Animal Control Center - Winnemucca, NV",winnemuccashelter@gmail.com,(775) 623-6403,"Winnemucca",NV,89445,
"Desert Haven Animal Society",deserthavenanimalsociety@gmail.com,(775) 751-7020,"Pahrump",NV,89060,
"Doberman Rescue of Nevada",info@drnv.org,(702) 672-7204,"Las Vegas",NV,89118,
"Dog Town Canine Rescue",dogtownmutts@gmail.com,775-230-3703,"Carson City",NV,89702,
"Doggie Rescue LV/Animal Help Alliance",doggierescuelv@yahoo.com,,"Las Vegas",NV,89147,
"Douglas Animal Welfare Group",organizations@dawgrescue.com,775-267-7325,"Gardnerville",NV,89410,
"Fallon Animal Welfare Group",fawgnv@gmail.com,775 423-8650,"Fallon",NV,89406,
"Foreclosed Upon Pets, Inc. (FUPI)",forecloseduponpets@hotmail.com,(702) 272-0010,"Las Vegas",NV,89101,
"Forgotten Fosters",shannasfurbies@gmail.com,(702) 205-1234,"North Las Vegas",NV,89032,
"Furgotten Friends Dog Rescue",furgottenfriendsdogrescue@yahoo.com,775-751-0853,"Pahrump",NV,89048,
"Happy Home Animal Sanctuary",info@happyhomeanimalsanctuary.org,702-203-4134,"Las Vegas",NV,89123,
"Hearts Alive Village Las Vegas",christy.stevens@havlv.com,702-595-0644,"Las Vegas",NV,89103,
"Heaven Can Wait Animal Society",dogs@hcws.org,702-227-5555,"Las Vegas",NV,89113,
"Homeward Bound Cat Adoptions",homewardboundcats@hotmail.com,(702) 533-3440,"Las Vegas",NV,89169,
"KiSS 4 Homeless Animals",kim@tixcorp.com,,"Las Vegas",NV,89119,
