Name,Email,Phone,City,State,Zip,Website
"11th Hour Canine Rescue New York",barbara.ehrny@gmail.com,518-223-5589,"Wilton",NY,12831,
"2000 Spays and Neuters Animal Rescue",spaysandneuters2000@gmail.com,,"New York",NY,10075,
"4 Paws Humane Society",4pawshumanesocietyinc@gmail.com,845-446-5300,"Highland Falls",NY,10928,
"A Home at Last Animal Adoption Network",ahomeatlast@optonline.net,,"Brightwaters",NY,11803,
"A Home Fur Now Rescue, Inc",adoptions@ahomefurnowrescue.org,,"Holbrook",NY,11741,
"A New Beginning Animal Rescue Corp.",newbeginningresq@aol.com,,"Plainview",NY,11803,
"A Place For Cats, Inc.",apcinc@gmx.com,716-574-1320,"Delevan",NY,14042,
"A Purr-fect Fit Animal Rescue and Adoption Center",apurrfectfit@gmail.com,(716) 633-6600,"Williamsville",NY,14221,
"A Tail Of Two Kitties",atailof2kittiesnyc@gmail.com,641-715-3900 x 982838,"Ridgewood",NY,11385,
"A Wing And A Prayer Animal Rescue",awaprescue@hotmail.com,631-987-6509,"Farmingdale",NY,11735,
"A-Team ELITE Rescue Dogs",ateameliterescuedogs@yahoo.com,,"Old Westbury",NY,11568,
"Abby's Angels",abbysangelscats@yahoo.com,716-983-5008,"Clarence",NY,14221,
"Adirondack Save-A-Stray",adirondacksaveastray@yahoo.com,(518) 654-6220,"Corinth",NY,12822,
"Adopt-A-Buddy",adoptabuddy@gmail.com,,"Brooklyn",NY,11229,
"Adopt-A-Pet Clinic, Inc.",adoptapetclinic1@aol.com,518-588-0570,"Troy",NY,12180,
"Adore-a-Bullie Paws and Claws",adoreabullie@gmail.com,,"Bronx",NY,10464,
"Against All Oddz Animal Alliance",againstalloddzaa@gmail.com,(716) 238-3237,"Buffalo",NY,14222,
"Akron Canine Rescued Angels, Inc",rescuedangels@gmail.com,,"Akron",NY,14001,
"All About Cats Rescue, Inc",allaboutcatsinc@aol.com,516  379-2287,"Freeport",NY,11520,
"All About Labs Rescue Inc.",gina@allaboutlabs.org,,"New York",NY,10019,
"All About Rabbits Rescue, Inc",allaboutrabbitsrescue@gmail.com,(347) 993-2300,"Forest Hills",NY,11375,
"All About Spay Neuter Inc.",allabtspayneuter@aol.com,516-799-2287,"Massapequa",NY,11758,
"Alleykattz Rescue",adopt.alleykattz@gmail.com,,"Woodmere",NY,11598,
"Almost Home Animal Rescue and Adoption inc.",support@almosthomeli.org,(631) 627-3665,"Medford",NY,11763,
"AMA Animal Rescue",mariya@amaanimalrescue.org,,"Brooklyn",NY,11235,
"Amaryllis Farm Equine Rescue Inc",rascal11968@gmail.com,631-537-7335,"Southampton",NY,11968,
"Amazing Animals Rescue and Adoptions",amazinanimals17@aol.com,(718) 791-0477,"Whitestone",NY,11357,
"Amber's Angels Rescue",ambersangelsrescue@yahoo.com,914-980-9256,"Goldens Bridge",NY,10526,
"American Manchester Terrier Club Rescue",michelle@maximaldog.com,,"Dansville",NY,14437,
"AmsterDog",amsterdog@gmail.com,917 689 8414,"New York",NY,10280,
"Anarchy Animal Rescue",info@anarchyanimalrescue.org,,"Brooklyn",NY,11228,
"Angels In Waiting Rescue",angelsinwaitingrescue@gmail.com,,"Warwick",NY,10990,
"Animal Care Centers of NYC - Brooklyn",adoption@nycacc.org,(212) 788-4000,"Brooklyn",NY,11208,
"Animal Haven",kendram@ah-nyc.org,(212) 274-8511,"New York",NY,10013,
"Animal Lighthouse Rescue",info@alrcares.com,,"New York",NY,10011,
"Animal Rescue  Welfare Services, Inc",animalrescue.welfareservices@gmail.com,518 569-9653,"Plattsburgh",NY,12901,
"Animal Rescue Foundation",arfbeacon@optonline.net,845-831-5161,"Beacon",NY,12508,
"Animal Rescue Fund of the Hamptons Inc.",adoptions@arfhamptons.org,(631) 537-0400 x203,"Wainscott",NY,11975,
"Animal Service League Inc.",animalserviceleague@hotmail.com,(585) 342-6099,"Rochester",NY,14622,
"Animal Shelter of Schoharie Valley",assv@midtel.net,518-296-8390,"Howes Cave",NY,12092,
"Animalkind Inc.",animalkindny@gmail.com,(518) 822-8643,"Hudson",NY,12534,
"AnimaLovers",animalovers@empireone.net,(518) 348-3903,"Albany",NY,12206,
"Animals Are Forever, Inc",hollikatz@aol.com,,"Brooklyn",NY,11235,
"Animals Saved by Grace",animalssavedbygrace@yahoo.com,,"Bronx",NY,10460,
"Anjellicle Cats Rescue",adopt@anjelliclecats.com,646.457.2130,"New York",NY,10019,
"Aslan's Cats",aslanscatssanctuary@gmail.com,917-916-8596,"Verbank",NY,12585,
"Awesome Paws Rescue",awesomepawsrescue@yahoo.com,(716) 725-9966,"Buffalo",NY,14219,
"Ayres Memorial Animal Shelter",ayres673@hotmail.com,(518) 673-5670,"Sprakers",NY,12166,
"Badass Brooklyn Animal Rescue",adopt@badassbk.com,,"Brooklyn",NY,11215,
"Ballston Spa Veterinary Clinic",bsvcinfo@gmail.com,(518) 885-5650,"Ballston Spa",NY,12020,
"Barbara the Cat Lady",barbrose@optonline.net,,"Brooklyn",NY,11226,
"BARC Shelter (Brooklyn Animal Resource Coalition)",info@barcshelter.org,(718) 486-7489,"Brooklyn",NY,11211,
"BARRK Animal Rescue",applications@barrkli.org,,"Valley Stream",NY,11580,
"Beastly Rescue, Inc.",beastlyrescue@gmail.com,917-287-5869,"Brooklyn",NY,11201,
"BeFreegle Foundation",contact@befreeglefoundation.org,,"Putnam Valley",NY,10579,
"Bella Bast Rescue Inc.",bellabastrescue@gmail.com,(631)741-0744,"West Babylon",NY,11704,
"Bernards Beagle Rescue",bbrescue@roadrunner.com,,"Lockport",NY,14094,
"Best Friends - New York",adoptnyc@bestfriends.org,,"New York",NY,10038,
