Name,Email,Phone,City,State,Zip,Website
"4 Paws Sake, Inc.",info@4pawssake.org,,"Whitehouse",OH,43571,
"4 Pets Clinic",information@4petsclinic.com,(440) 327-0100,"North Ridgeville",OH,44039,
"911 Dog Rescue Inc.",amysadoptables@yahoo.com,,"Eastlake",OH,44095,
"A 2nd Chance Pet Adoptions",mjespelage@yahoo.com,937-764-0406,"Hillsboro",OH,45133,
"A New Leash On Life Rescue",newleashrescue@gmail.com,,"North Olmsted",OH,44070,
"A Purrfect Start",buckey149@yahoo.com,614-448-1488,"Grove City",OH,43123,
"A-Parrot to A-Flamingo Rescue",aparrottoaflamingo@danworld.com,,"Brecksville",OH,44141,
"A.D.O.P.T. - Animals Depend On People Too!",adopt@adoptpetrescue.org,(614) 470-2378,"Westerville",OH,43086,
"AAPCATS",cincyfelines@outlook.com,,"Cincinnati",OH,45238,
"ACOC Angel Fund",jbullis@acocvet.com,(440) 285-9191,"Chardon",OH,44024,
"Adopt A Pit Rescue",inquiry@adoptapitrescue.org,(937) 701-7487,"Germantown",OH,45327,
"Adopt-Aluv Rescue",audrianne@oh.rr.com,440-255-2200,"Mentor",OH,44060,
"Adore-A-Bull Rescue",adoreabullrescue@gmail.com,,"Cincinnati",OH,45229,
"Advocates 4 Animals",petadoptions101@aol.com,Email Only!,"Xenia",OH,45385,
"AJ's Search and Rescue",ajssearchandrescue@gmail.com,,"Akron",OH,44310,
"Alchemy Acres Animal Sanctuary",alchemyacres@aol.com,330-332-4897,"Salem",OH,44460,
"All About The Pawz",lovemydogs7@yahoo.com,(330) 779-1862,"Youngstown",OH,44515,
"All Dogs Come From Heaven Rescue",alldogscfh@gmail.com,,"Amelia",OH,45102,
"All Paws Are Perfect Rescue",apaprescue@gmail.com,,"Leetonia",OH,44431,
"All Species Adoption Program (ASAP)",intake.coord14@gmail.com,419-458-0115,"Carey",OH,43316,
"All Tails Rescue",alltailsrescue@gmail.com,(740) 927-0555,"Pataskala",OH,43062,
"American Lurcher Rescue Project, Inc.",americanlurcherproject@gmail.com,(513) 478-1870,"Westerville",OH,43082,
"Angel's Rest Animal Society",adoption@angelsrestanimalsanctuary.org,(513) 947-2727,"Amelia",OH,45102,
"Angels For Animals",info@angelsforanimals.org,330 549-1111,"Canfield",OH,44422,
"Animal Adoption Foundation",aafpets@yahoo.com,513-737-7387,"Hamilton",OH,45013,
"Animal Care Hospital of Reynoldsburg",animalcarehospital1@yahoo.com,614-864-0465,"Reynoldsburg",OH,43068,
"Animal Charity of Ohio",acoadoption@gmail.com,(330) 788-1064,"Youngstown",OH,44512,
"Animal Friends Humane Society",animalfriendshs@butlercountyohio.org,(513) 867-5727,"Hamilton",OH,45011,
"Animal House Rescue",animalhouserescu@aol.com,(419) 374-0310,"Wauseon",OH,43567,
"Animal Pawtectors",diane@animalpawtectors.com,,"Cortland",OH,44410,
"Animal Protection League of Mercer County, Inc.",info@aplmercer.com,419-586-2887,"Celina",OH,45822,
"Animal Resource Foundation",animalresourcefoundation@gmail.com,(567) 204-1022,"Minster",OH,45865,
"Animal Welfare League of Trumbull County",petsawl@dtinc.net,(330) 539-5300,"Vienna",OH,44473,
"Arrowhead Reptile Rescue",petfinder@arrowheadreptilerescue.org,(513) 442-4377,"Cincinnati",OH,45216,
"Ashland County Dog Shelter",dogshelter@ashlandcounty.org,419-289-1455,"Ashland",OH,44805,
"Ashtabula County Animal Protective League",adoptions@acapl.org,440-224-1222,"Ashtabula",OH,44004,
"Athens County Dog Shelter",award@athensoh.org,740-593-5415,"Chauncey",OH,45719,
"Athens County Humane Society",info@athenshumane.org,740-592-6047,"Athens",OH,45701,
"Auglaize County Humane Society",admin@achs-pets.com,(419) 738-7808,"Wapakoneta",OH,45895,
"BAGS Basset Rescue",info@bagsbassetrescue.org,,"Minerva",OH,44657,
"Barely Used Pets Inc.",barelyusedpets@yahoo.com,937-869-8090,"Urbana",OH,43078,
"Belly Brothers Pig Rescue",bellybrotherspigrescue@gmail.com,5133135829,"Loveland",OH,45140,
"Belmont County Animal Shelter",belmontcoshelter@att.net,740-695-4708,"Saint Clairsville",OH,43950,
"Berea Animal Rescue Fund Shelter",arfinfomanagement@gmail.com,440-234-2034,"Berea",OH,44017,
"Best Friends Forever Rescue",contact@bffohio.org,,"Maumee",OH,43537,
"Black and Orange Cat Foundation",bandocats@gmail.com,614-873-0880 ext. 209,"Plain City",OH,43064,
"Brown Animal Rescue",thehouseofboos@yahoo.com,,"Sardinia",OH,45171,
"Brown County Animal Shelter",bcas@browncountyohio.gov,(937) 378-3457,"Georgetown",OH,45121,
"Buckeye Australian Cattle Dog Rescue",buckeyeacdrescue@gmail.com,,"Massillon",OH,44646,
"Buckeye Basset Hound Rescue",buckeyebassetrescue@gmail.com,(614) 425-9216,"Columbus",OH,43232,
"Buckeye Bulldog Rescue",buckeyebulldogrescue@gmail.com,,"Grove City",OH,43123,
"Buckeye House Rabbit Society (NW Ohio)",bhrs-sue@ohare.org,(419) 355-8433,"Fremont",OH,43420,
"Buckeye's Mission",buckeyethepittie@gmail.com,(440) 344-2686,"Brunswick",OH,44212,
"CAMELOT Puppy Sanctuary",camelotpups@gmail.com,(740) 596-8235,"Mcarthur",OH,45651,
"Canine Collective",info@caninecollective.org,(614) 530-5092,"Delaware",OH,43015,
"Canine Consultants of Cincinnati, LLC",cincinnaticanine@gmail.com,(513) 480-2850,"Maineville",OH,45039,
"Canine Cuties",caninecuties@hotmail.com,,"Mentor",OH,44060,
"Carroll County Dog Pound",dogpound@carrollcountyohio.us,(330) 627-4244,"Carrollton",OH,44615,
"Cat Adoption Team",catadoptionteam@ymail.com,,"Cincinnati",OH,45224,
"Cat Welfare Association",cwashelter@yahoo.com,614-268-6096,"Columbus",OH,43214,
"CATS - Caring About The Street-Cats Rescue",amazinggracellamas@usa.net,,"Perrysville",OH,44864,
"Cats Are People, Too! Club, Inc.",catsarepeopletoo@embarqmail.com,(330) 847-6134,"Warren",OH,44482,
"Cause For Paws",cfpfoster2016@gmail.com,,"Chillicothe",OH,45601,
"Central Ohio Greyhound Rescue Inc.",foster@centralohiogreyhound.org,6142390943,"Columbus",OH,43209,
"Central Ohio Pomeranian Rescue",centralohiopomrescue@gmail.com,,"Delaware",OH,43015,
"Central Ohio Sheltie Rescue",applications@centralohiosheltierescue.org,,"Columbus",OH,43213,
"Charlie's Wish Animal Rescue",charlieswishrescue@gmail.com,6145178695,"Pataskala",OH,43062,
"Cherished Cockers Rescue",cherishedcockersrescue@gmail.com,(440) 209-8813,"Mentor",OH,44060,
"Cincinnati Cats Inc.",info@cincinnati-cats.org,,"Cincinnati",OH,45222,
"Cincinnati Lab Rescue",info@cincinnatilabrescue.org,,"Cincinnati",OH,45230,
"Circle Area Humane Society",cahs1@frontier.com,740-474-8690,"Circleville",OH,43113,
"Circle Tail Inc.",adoption@circletail.org,513.877.3325,"Cincinnati",OH,45162,
"City of Brook Park Animal Shelter",animalcontrol@cityofbrookpark.com,216-265-3647,"Brook Park",OH,44142,
"Clark County Dog Shelter",sclick@clarkcountyohio.gov,(937) 521-2140,"Springfield",OH,45502,
"Clark County SPCA Inc.",krissi@clarkcountyspca.org,9379256602,"Springfield",OH,45506,
"Clermont Pets Alive!",adoptions@clermontpetsalive.org,(513) 279-2276,"Amelia",OH,45102,
"Clermont to the Rescue Humane Society",carol@clermonttotherescue.org,,"Batavia",OH,45103,
"Cleveland Animal Care and Control",citydogs@city.cleveland.oh.us,216-664-3476,"Cleveland",OH,44113,
"Cleveland APL",receptionist@clevelandapl.org,(216) 771-4616 ext. 0,"Cleveland",OH,44113,
"Close to Home Animal Rescue",aquinlan@zoominternet.net,,"McDonald",OH,44437,
"Col. Potter Cairn Rescue Network-GL",cpcrn@cairnrescue.com,,"Medina",OH,44256,
"Columbiana County Dog Pound & Adoption Center",hpecorelli@ccclerk.org,330-424-6663,"Lisbon",OH,44432,
"Columbus Dog Connection",kdifrischia@gmail.com,,"Columbus",OH,43219,
"Columbus House Rabbit Society",danielle@columbusrabbit.org,614-470-0093,"Westerville",OH,43086,
"Columbus Humane",adoption@cahs-pets.org,(614) 777-7387,"Hilliard",OH,43026,
"Columbus Pet Rescue",columbuspetrescue@gmail.com,614-315-6243,"Columbus",OH,43229,
"Community Cat Companions,Inc.",info@community-cat-companions.org,2169565129,"Euclid",OH,44132,
"Companion Hearts Transport",shelleymmc@aol.com,,"Newark",OH,43055,
"Cool Cats",vcannon@ix.netcom.com,614-395-0058,"Gahanna",OH,43230,
"Corgi Rescue of Dayton",cbrickner5006@gmail.com,937-750-5895,"Dayton",OH,43140,
"Coshocton County Humane Society",coshoctoncountyhumanesociety@gmail.com,(740) 575-5829,"Coshocton",OH,43812,
"Cosmo's Buddies",cosmosbuddies@yahoo.com,(440) 864-1441,"Elyria",OH,44035,
"Cozy Cat Cottage Adoption Center",cozycatcottageadoption@gmail.com,614-336-8510,"Powell",OH,43065,
"Crazy Cats Animal Rescue",info@crazycatsanimalrescue.com,513-655-2400,"Cincinnati",OH,45208,
"Creature Comforts",adoptionscc@yahoo.com,,"Carroll",OH,43112,
"Critter Crusaders, Inc.",crittercrusaders911@gmail.com,937-539-8791,"Lakeview",OH,43331,
"Crossed Paws Animal Shelter",apet4u2@hotmail.com,740-934-2693,"Woodsfield",OH,43793,
"Dachshund Rescue of Ohio",wildwienerranch@live.com,,"Lebanon",OH,45036,
"DASH",daniellegraybob@aol.com,7404120369,"Ashville",OH,43103,
"Deacons Hope Rescues",gayle@deaconshoperescue.org,,"Perrysburg",OH,43551,
"Deb's Dogs",dah3844@hotmail.com,(419) 204-6157,"Lima",OH,45805,
"Doberman Underground",dobermanunderground@gmail.com,(330) 382-6496,"Aurora",OH,44202,
"Doggie Detour",doggiedetour@gmail.com,740-251-8527,"Upper Sandusky",OH,43351,
"Dogs Unlimited Rescue",adopt@dogsunlimitedrescue.org,please email,"Cleveland",OH,44128,
"DogWorks Inc. Canine Rescue and Placement",president@dogworksohio.com,,"Toledo",OH,43623,
"DREAM",petsrrpassion@gmail.com,,"West Milton",OH,45383,
"Erie Shores Humane Society",fureverhome@erieshoreshumanesociety.com,(440) 752-6138,"Elyria",OH,44035,
"Euclid Animal Shelter",euclidpetpals2@yahoo.com,(216) 289-2057,"Euclid",OH,44132,
"Every Dog Matters Rescue Group",everydogmatters@yahoo.com,,"Youngstown",OH,44512,
"Every K-9 Counts",everyk9counts@aol.com,,"Clayton",OH,45315,
"F5RS - Frisky Ferrets Fuzzies Feathered Friends Rescue",f5rescue@yahoo.com,,"Youngstown",OH,44507,
"Fairfield Area Humane Society",info@fairhumane.org,(740) 687-0627,"Lancaster",OH,43130,
"Fairfield County Dog Shelter",dshelter@fairfieldcountyohio.gov,(740) 687-3647,"Lancaster",OH,43130,
"Fayette County Dog Shelter",fayette.dogwarden@sbcglobal.net,740-335-6630,"Washington Court House",OH,43160,
"Fayette Humane Society",bhonicker@fayettehumanesociety.com,(740) 335-8126,"Washington Court House",OH,43160,
"Ferrets Unlimited Rescue Services",adoptions@ferretsunlimited.org,(216) 502-2977,"Cleveland",OH,44134,
"For the Love of Pits",shana@fortheloveofpits.org,,"Cleveland",OH,44119,
"Forget Me Not Rescue",forgetmenot_animalrescue@yahoo.com,,"Strongsville",OH,44136,
"Forget-Me-Knot Pet Rescue",forget-me-knot@earthlink.net,330-289-4640,"Parkman",OH,44231,
"Forget-Me-Not Barn Cats",forgetmenotbarncats@gmail.com,(937) 701-9304,"Spring Valley",OH,45370,
"Fort Defiance Humane Society",newbestfriend@fortdefiancehumanesociety.org,(419) 658-2298,"Defiance",OH,43512,
"Foster Parents For Pooches",fosterparentsforpooches@gmail.com,,"Cleveland",OH,44118,
"FosterFurKids",fosterfurkids@gmail.com,,"Thornville",OH,43076,
"Fourgotten Paws Animal Rescue",fourgottenpaws@gmail.com,(513) 206-4858,"Cincinnati",OH,45211,
"Francis Kennels Rescue",fkrescue@gmail.com,(937) 374-1636,"Xenia",OH,45385,
"Franklin County Dog Shelter & Adoption Center",adoptions@franklincountyohio.gov,614-525-3647,"Columbus",OH,43224,
"Free Spirit Rescue",wolfdance3@msn.com,,"Lore City",OH,43755,
"Freedom Greyhound Rescue of Aurora",rescue1.fgr@gmail.com,(330) 562-0555,"Aurora",OH,44202,
"Freedom Rescue",freedomrescueoh@gmail.com,,"Avon Lake",OH,44012,
"Friends For Life Animal Haven",fflah@hotmail.com,614-837-6260,"Canal Winchester",OH,43110,
"Friends of the Shelter Dogs",fosdinfo@gmail.com,,"Athens",OH,45701,
"Friendship Animal Protective League",adoptions@friendshipapl.org,440-322-4321,"Elyria",OH,44035,
"Fulton County Humane Society",fultonohiohumane@gmail.com,(419) 349-3841,"Wauseon",OH,43567,
"Fur-get Me Not Animal Rescue",furgetmenotrescue@gmail.com,,"Atwater",OH,44201,
"Furever Shih Tzu & Companion Dog Rescue - Ohio",kimark7@aol.com,440-000-0000,"Parma",OH,44134,
"Furry New Beginnings",furrynewbeginnings29@yahoo.com,,"Washingtonville",OH,44490,
"Geauga Humane Society",dbondra@geaugahumane.org,440-338-4819,"Novelty",OH,44072,
"GO Boxer Rescue",petfinder@goboxerrescue.com,(937) 277-4652,"Dayton",OH,45405,
"Golden Retriever Rescue Resource",grrradoption@yahoo.com,1-888-980-1326,"Waterville",OH,43566,
"Golden Treasures Golden Retriever Rescue Inc",info@goldentreasuresrescue.org,,"Bath",OH,44210,
"Grateful Hearts Senior Dog Rescue",gratefulheartsseniordogrescue@gmail.com,,"Chillicothe",OH,45601,
"Great Lakes Giant Schnauzer Rescue",glgsr801@yahoo.com,,"Oxford",OH,45056,
"Greater Dayton Lab Rescue",bzymomma4@aol.com,937-830-2020,"Brookville",OH,45309,
"Greene County Animal Care and Control",jtaylor@co.greene.oh.us,(937) 562-7400,"Xenia",OH,45385,
"GRIN - Golden Retrievers In Need Rescue",adoption@grinrescue.org,(216) 229-0295,"Cleveland",OH,44124,
"GSP Care of Ohio Rescue Inc.",gspcareofohio@gmail.com,,"Streetsboro",OH,44241,
"Guernsey County Dog Shelter",tlandaker@guernseycounty.org,(740) 432-2219,"Cambridge",OH,43725,
"Hairy Houdini Siberian Husky Rescue",hairyhoudinihuskyrescue@gmail.com,,"Delta",OH,43606,
"HALO",halok9behavior@gmail.com,513-668-0088,"Xenia",OH,45385,
"Happy Tails of Central Ohio",pegmeadows@gmail.com,(614) 873-7239,"Plain City",OH,43064,
"Happy Tails Pup Partners",happytailsrescue@hotmail.com,,"Lima",OH,45807,
"Happy Trails Farm Animal Sanctuary Inc.",adopt-foster@happytrailsfarm.org,(330) 296-5914,"Ravenna",OH,44266,
"Hardin County Dog Shelter",hcdw@windstream.net,419-674-2209,"Kenton",OH,43326,
"Harlequin Haven Great Dane Rescue",info@hhdane.com,,"Bethel",OH,45106,
"Harrison County Dog Pound",harrisoncountydogpound@yahoo.com,740-942-4080,"Cadiz",OH,43907,
"Hartman Veterinary Hospital",hartman_vet@sbcglobal.net,419-385-7433,"Toledo",OH,43615,
"Hartmans Hounds",hartmanshounds@gmail.com,(440) 984-7014,"Amherst",OH,44001,
"Heart of Ohio Ferret Association and Rescue",hofashelterchair@yahoo.com,(614) 428-0279,"Columbus",OH,43229,
"Heaven's Lil Angels Animal Sanctuary, Inc.",sheree543@yahoo.com,(740) 596-8254,"McArthur",OH,45651,
"Heritage Farms Rescue",heritagefarms08@gmail.com,419-591-6621,"Liberty Center",OH,43532,
"Highland County Dog Pound",highlandcodogpound@gmail.com,937-393-8191,"Hillsboro",OH,45133,
"Highland County Humane Society",highcohumanesociety@gmail.com,,"Hillsboro",OH,45133,
"His Eye Is on the Sparrow Animal Rescue",heiots.animalrescue@gmail.com,(513) 227-8414,"Loveland",OH,45140,
