Name,Email,Phone,City,State,Zip,Website
"9 Lives Rescue of Oklahoma",9livesrescueok@gmail.com,(405) 668-3228,"Lookeba",OK,73053,
"A and E Critters",aandec@hotmail.com,,"Newalla",OK,74857,
"Ahimsa Rescue Foundation",savingpaws@aol.com,,"Muldrow",OK,74948,
"All 4 One Rescue",emily@all4onerescue.org,,"Edmond",OK,73013,
"All Paws Rescue",info@allpawsrescueok.org,(405) 757-4604,"Edmond",OK,73083,
"Animal Aid of Tulsa, Inc.",animalaidoftulsa@gmail.com,918-794-6688,"Tulsa",OK,74112,
"Animal Rescue And Kare of McCurtain County",ark@arkofmccurtaincounty.org,580-236-2275,"Broken Bow",OK,74728,
"Animal Rescue Center of Shawnee, Inc.",admin@arcshawnee.org,405-431-9326,"Shawnee",OK,74804,
"Animal Rescue Foundation",thetallestgirlever@gmail.com,e-mail only please,"Tulsa",OK,74147,
"Animal Rescue Foundation of Bartlesville OK",arfok@sbcglobal.net,918-766-0991,"Bartlesville",OK,74006,
"Animal Rescue Friends Inc of Nichols Hills",suzy-morgan@omrf.org,,"Nichols Hills",OK,73116,
"Because of You Rescue",becauseofyourescue.ok@gmail.com,405-517-6887,"Edmond",OK,73003,
"Bethel Animal Rescue",bethelanimalrescue@yahoo.com,(580) 247-0621,"Davis",OK,73030,
"Blue HAWK (Helping Animals With Kindness)",bluehawkorg@gmail.com,405-321-2572  text 405-590-7278,"Norman",OK,73051,
"Boston Terrier and Short Nose Rescue of Oklahoma",btrescueoklahoma@yahoo.com,,"Muskogee",OK,74401,
"Broken Arrow Animal Shelter",tboni@brokenarrowok.gov,(918) 259-8311,"Broken Arrow",OK,74014,
"C.A.R.E Compassionate Animal Rescue Efforts",rescue@carerescueok.org,,"Tulsa",OK,74108,
"Chasing Miracles Animal Rescue",chasingmiraclesanimalrescue@gmail.com,,"Mccurtain",OK,74944,
"Chouteau Pound Pals",nancys13@gmail.com,918-706-1073,"Chouteau",OK,74337,
"Cimarron Valley Humane Society (Foster Based  Rescue)",cimarronhumane@yahoo.com,918-399-5459,"Cushing",OK,74023,
"City of Claremore Animal Control",jhurst@claremorecity.com,918-341-1260,"Claremore",OK,74017,
"City of Clinton OK",clintonpounddogs@gmail.com,,"Clinton",OK,73601,
"City of Jenks Animal Control, OK",animalcontrol@jenksok.org,918-299-9511,"Jenks",OK,74037,
"City of Sand Springs - Animal Welfare",animalcontrol@sandspringsok.org,(918) 246-2543,"Sand Springs",OK,74063,
"Cleveland Area Pound Pals",poundpals@sbcglobal.net,918-358-2982,"Cleveland",OK,74020,
"Coins 4 Critters",coins4critters@gmail.com,405 440-3503,"Muskogee",OK,74402,
"Community Cat Coalition of Edmond",edmondcats@gmail.com,,"Edmond",OK,73003,
"Country Roads Animal Rescue Society",countryroadsanimalrescueok@gmail.com,(405) 633-0447,"Oklahoma City",OK,73132,
"Creature Concerns Inc",creatureconcerns@gmail.com,,"Alva",OK,73717,
"Creek Pet Adoption",clflash@msn.com,1-918-247-6290,"Kellyville",OK,74039,
"Dalmatian Assistance League Inc. (other breeds too!)",nancy@poochestulsa.com,918-625-2978,"Tulsa",OK,74170,
"Doberman Rescue Group, Inc.",info@dobermanrescuegroup.org,918-365-0101,"Bixby",OK,74008,
"Dogs As Family, Inc.",dogsasfamily@hotmail.com,405-771-4742,"Oklahoma City",OK,73151,
"Durant Animal Rescue Alliance",durantrescues@gmail.com,,"Durant",OK,74702,
"Elgin Animal Shelter",elginanimalshelter@gmail.com,580-919-5117,"Elgin",OK,73538,
"Enid S.P.C.A.",enidspca@suddenlinkmail.com,580-233-1325,"Enid",OK,73703,
"Feral and Domestic Animal Rescue, Inc.",feralanddomesticanimalrescue@hotmail.com,,"Broken Arrow",OK,74014,
"FETCH",go_fetch@yahoo.com,(580) 799-1924,"Elk City",OK,73644,
"FLINT RIDGE FRAMP, INC.",susanb@sstelco.com,918-597-2101,"KANSAS",OK,74347,
"Forgotten Treasures Animal Rescue",forgottentreasuresanimalrescue@yahoo.com,(405) 845-1912,"Oklahoma City",OK,73189,
"Friends for Life",okfflas@gmail.com,(877) 653-3527,"Clinton",OK,73601,
"Friends of Noble Animal Shelter",friendsofnobleanimalshelter@gmail.com,(405) 245-3357,"Noble",OK,73068,
"Friends of the Mustang Animal Shelter",mustangshelterfriends@gmail.com,(405) 578-4738,"Mustang",OK,73064,
"Friends of the Shelter Foundation",admin@shelterfriends.org,,"Newcastle",OK,73065,
"Friends with Four Paws",adoptioninfo@friendswithfourpaws.org,,"Oklahoma City",OK,73114,
"Fur Babies Adoptions and Rescue",furbabiesadoptions@gmail.com,(918) 360-8491,"Muskogee",OK,74403,
"German Shepherd Rescue Tulsa",adopt@gsrtulsa.com,918-282-8593,"Tulsa",OK,74136,
"Glenpool Animal Shelter/Control",animalcontrol2@cityofglenpool.com,(918) 322 - 8110,"Glenpool",OK,74033,
"Great Plains Mastiff Rescue",info@greatplainsmastiffrescue.org,Please Email Us,"Edmond",OK,73083,
"Groovy Paws Rescue",groovypawsrescue@yahoo.com,,"Norman",OK,73071,
"Hands Helping Paws, Inc.",handshelpingpaws@cox.net,(405) 410-5718,"Norman",OK,73069,
"Happy Acres Animal Sanctuary",ok_wagswhiskers@yahoo.com,email preferable,"Sulphur",OK,73086,
"Haven of Hope Rescue Foundation",hopefordogs@havenofhoperescue.com,,"Okarche",OK,73762,
"Hazeljanes Blessings IG Rescue",hazeljane13@gmail.com,918 814 6313,"Tulsa",OK,74120,
"Heart To Heart",ksamms55@yahoo.com,479-459-1583,"Wilburton",OK,74578,
"Heartland Lab Rescue Inc.",info@heartlandlabrescue.com,,"Edmond",OK,73003,
"Heartland Weimaraner Rescue",director@heartlandweimrescue.org,,"Yukon",OK,73099,
"Horse and Hound Rescue Foundation",lkettles@hughes.net,(405) 206-4689,"Guthrie",OK,73044,
"Horse Feathers Equine Center",plainswindrdr@gmail.com,(405) 260-7281,"Guthrie",OK,73044,
"Humane Society of Stillwater",shelter@hspets.org,405-377-1701,"Stillwater",OK,74074,
"Kitty Wranglers Cat Rescue Inc.",kittywranglers@yahoo.com,405-919-0864,"Oklahoma City",OK,73112,
"Lab Rescue OK , Inc.",applications@labrescue.net,,"Broken Arrow",OK,74104,
"Lakes Area Pet Society",lakesareapetshelter@yahoo.com,918-261-1502,"Disney",OK,74340,
"Lakeside Veterinary Services, PLLC",lakesideveterinary@yahoo.com,(918) 453-2655,"Park Hill",OK,74451,
"Legacy of Hope Dog Rescue",lohdr10@yahoo.com,9182809589,"Broken Arrow",OK,74014,
"Lindsay Veterinary Hospital",lvh@msbit.org,4057562929,"Lindsay",OK,73052,
"Love4all Adoption Services",earthkeeper21@hotmail.com,(918) 798-2131,"Tulsa",OK,74115,
"LowRider Dachshund Rescue",lowriderrescue@yahoo.com,(918) 260-2529,"Moore",OK,73160,
"Maltese Rescue of OKC",karolee4@att.net,(405) 919-2239,"Oklahoma City",OK,73132,
"Miami Animal Alliance Inc.",adoptions.maa@gmail.com,954-608-4918,"Miami",OK,74354,
"Misfits, Mutts and Meows",misfitsmuttsmeows@hotmail.com,(405) 471-3922,"Crescent",OK,73028,
"Muskogee Animal Shelter",kwilliams@muskogeeonline.org,918 684-6285,"Muskogee",OK,74401,
"Mutt Misfits Society",muttmisfits@gmail.com,,"Oklahoma City",OK,73112,
"N.O.A.H. Animal Rescue Inc",noahanimalrescue@aol.com,,"Tulsa",OK,74115,
