Name,Email,Phone,City,State,Zip,Website
"1st Avenue Shelter - Greenhill Humane Society",1stavenue@green-hill.org,541-844-1777,"Eugene",OR,97402,
"4 Paws Haven",pittlover@hotmail.com,,"Portland",OR,97229,
"4 The Cats Oregon",4thecatsoregon@gmail.com,(971) 930-2691,"Albany",OR,97322,
"Agave Dogs Rescue",agavedogs@gmail.com,(503) 888-8912,"Beavercreek",OR,97004,
"All Animal Care Clinic",team@allanimalhoodriver.com,5413865753,"Hood River",OR,97031,
"Animal Aid Inc.",contact@animalaidpdx.org,(503) 292-6628,"Portland",OR,97221,
"Animal Rescue & Care Fund, Inc.",ccrimins@msn.com,(503) 402-8692,"Portland",OR,97293,
"Best Friends of Baker Inc.",bestfriendsofbaker@yahoo.com,541-519-7387,"Baker City",OR,97814,
"Bonnie L Hays Small Animal Shelter of Washington County",animal_services@co.washington.or.us,503-846-7041,"Hillsboro",OR,97123,
"Born Again Pit Bull Rescue",info@bapbr.org,,"Sherwood",OR,97140,
"BrightSide Animal Center (Formerly Humane Society of Redmond)",adopt@brightsideanimals.org,541-923-0882,"Redmond",OR,97756,
"Canine Miracle Rescue",caninemiraclerescue@gmail.com,541-525-0316,"Eugene",OR,97402,
"Cat Adoption Team",contactus@catadoptionteam.org,(503) 925-8903,"Sherwood",OR,97140,
"Cat Alliance Team Sanctuary",admin@catallianceteam.org,503-625-0800,"Sherwood",OR,97140,
"Cat Rescue & Adoption Network",adopt@catrescues.org,(541) 225-4955,"Springfield",OR,97475,
"Cat's Cradle Rescue",info@catscradlerescue.com,503-320-6079,"Hillsboro",OR,97123,
"Central Coast Humane Society",bperry1973@gmail.com,(541) 994-5349,"Newport",OR,97365,
"Clackamas County Dog Services",elysegie@co.clackamas.or.us,(503) 655-8628,"Clackamas",OR,97015,
"Clatsop County Animal Control Services",lindadygert@gmail.com,(503)861-7387,"Warrenton",OR,97146,
"Coalition Advocating for Animals (CAFA)",cafaoregon@yahoo.com,(503) 588-6924,"Salem",OR,97306,
"Col Potter Cairn Rescue Network-NW",cpcrn@cairnrescue.com,,"Portland",OR,97223,
"Columbia Gorge Cat Rescue",columbiagorgecat@gmail.com,,"Hood RIver",OR,97031,
"Columbia Humane Society",animalwelfare@columbiahumane.org,503-397-4353,"St. Helens",OR,97051,
"Committed Alliance to Strays - C.A.T.S.",cats.kristina@gmail.com,541-779-2916,"Medford",OR,97501,
"Committed to Critters Rescue",c2c@rescueteam.com,,"Gresham",OR,97030,
"Companion Animal Rescue and Education CARE",pegsmanta@gmail.com,,"Phoenix",OR,97535,
"Critical Pet Rescue",criticalpetrescue@gmail.com,541-450-0002,"Grants Pass",OR,97527,
"Deaf Dogs of Oregon",deafdogsoforegon@gmail.com,,"Portland",OR,97223,
"Displaced Pets Rescue",christy@displacedpetsrescue.com,(503) 703-2923,"Vernonia",OR,97064,
"Dogs for Better Lives",sena@dogsforbetterlives.org,(541) 826-9220,"Central Point",OR,97502,
"Dogue de Bordeaux Rescue",spoiltdogues@sbcglobal.net,,"Oakland",OR,97462,
"Dream Team Angels Rescue",adoptrescuelive@gmail.com,(360) 688-8884,"Portland",OR,97239,
"Enzo's Acres",adoptions@enzosacres.com,,"Portland",OR,97232,
"Family Dogs New Life Shelter",bark@familydogsnewlife.org,(503) 771-5596,"Portland",OR,97206,
"Friends of Coos County Animals Inc.",foccas1@hotmail.com,(541) 269-1989,"Coos Bay",OR,97420,
"Friends of Pets of Klamath Basin",pets2@kfalls.net,541-850-0750,"Klamath Falls",OR,97601,
"Fur Footed Rescue, Inc.",furfooted@gmail.com,541.288.8728,"The Dalles",OR,97058,
"FurFriends Animal Rescue, Inc.",furfriends.rescue@gmail.com,,"Oregon City",OR,97045,
"Fuzzball Animal Rescue",fuzzballrescue@gmail.com,541-371-2007,"Hermiston",OR,97838,
"Golden Bond Rescue of Oregon",goldenbondrescue@yahoo.com,(503) 892-2897,"Portland",OR,97298,
"Greenhill Humane Society SPCA",information@green-hill.org,541/689-1503,"Eugene",OR,97402,
"Harmony New Beginnings Animal Rescue",harmonynbrescue@aol.com,503-569-1969,"Sheridan",OR,97378,
"Herd U Needed A Home Rescue",hunahapps@gmail.com,(541) 647-4080,"Bend",OR,97702,
"Home At Last Humane Society",info@homeatlasths.org,(541) 296-5189,"The Dalles",OR,97058,
"Homeward Bound Pets",shelter@hbpets.org,503-472-0341,"McMinnville",OR,97128,
"Hood River Adopt A Dog",hoodriveradoptadog@gmail.com,541 354 1083,"Hood River",OR,97031,
"House of Dreams",kittydreamsadoptions@gmail.com,(503) 262-0763,"Portland",OR,97294,
"Humane Society of Central Oregon",info@hsco.org,541-382-3537,"Bend",OR,97702,
"Humane Society of Eastern Oregon  Pet Rescue",hseopr@hotmail.com,541-564-6222,"Hermiston",OR,97838,
"Indigo Rescue",info@indigorescue.org,503.626.7222,"Beaverton",OR,97005,
"Jack Russell Rescue Oregon Washington & Idaho",russellrescueowi@gmail.com,,"Clatskanie",OR,97016,
"Jackson County Animal Care & Control",barbara.talbert@gmail.com,(541) 774-6654,"Phoenix",OR,97535,
"Josephine County Animal Control",animalshelter@co.josephine.or.us,(541) 474-5458,"Grants Pass",OR,97526,
"K-9 Homefinders & Rescue, Inc.",k9kids4adoption@gmail.com,541-926-5629,"Albany",OR,97321,
"Kitty Angel Team Adoption",vickitty@comcast.net,(541) 367-7575,"Foster",OR,97345,
"Kohl Kitty Kare",catsrforever@outlook.com,(541) 294-3876,"Coos Bay",OR,97420,
"Lane Area Ferret Shelter and Rescue",laneferrets@yahoo.com,(541) 484-1090,"Eugene",OR,97404,
"Lincoln County Animal Shelter",lcanimalshelter@co.lincoln.or.us,541-265-6610 opt 6,"Newport",OR,97365,
"Little Orphan Animals - Admin.",orphananimals@aol.com,,"Portland",OR,97223,
"Loved Again Pets",lovedagainpets@yahoo.com,(541) 999-2242,"Florence",OR,97439,
"Marion County Dog Shelter",dog@co.marion.or.us,(503) 588-5233,"Salem",OR,97301,
"Mastiff Rescue Oregon",mastiffrescueoregon@comcast.net,503-472-3792,"McMinnville",OR,97128,
"Meow Village",meowvillage@comcast.net,971-213-5919,"Wilsonville",OR,97070,
"Miss Gabriel Foundation",kimberly.howell@missgabriel.org,541-581-1521,"Rogue River",OR,97537,
"My Way Home Dog Rescue",mywayhomedogrescue@gmail.com,,"Portland",OR,97213,
"National Great Pyrenees Rescue",info@gprescuesociety.org,,"Banks",OR,97106,
"New Hope For Eastern Oregon Animals",newhopeanimals@live.com,541-403-2710,"Baker City",OR,97814,
"Newberg Animal Shelter",newberganimals@gmail.com,(503) 554-9285,"Newberg",OR,97132,
"Northwest Airedale Terrier Rescue",cturner859@aol.com,(503) 399-9819,"Salem",OR,97302,
"Northwest Animal Companions",amiyouel@mac.com,,"Portland",OR,97225,
"Northwest Cat Rescue",northwestcatrescue@nwcatrescue.org,(541) 505-6915,"Springfield",OR,97475,
"NW Pom Rescue",nwpomrescue@yahoo.com,,"Portland",OR,97220,
"One Tail at a Time PDX",otatpdx@gmail.com,,"Portland",OR,97211,
"One Voice 4 Paws",info@onevoice4paws.org,(541) 223-1105,"Albany",OR,97322,
"Ontario Feral Cat Project",info@ontarioferalcats.org,(541) 823-2427,"Ontario",OR,97914,
"Operation Safe Canine Animal Rescue",oscarsavesdogs@gmail.com,(503) 490-7038,"Clackamas",OR,97015,
"Oregon Dachshund Rescue Inc.",jrangan@comcast.net,503 313 3220,"Portland",OR,97210,
"Oregon Dog Rescue",info@oregondogrescue.org,(503) 612-0111,"Tualatin",OR,97062,
"Oregon Ferret Shelter",theferretmom@gmail.com,(971) 313-3622,"Prineville",OR,97754,
"Oregon Friends of Shelter Animals (OFOSA)",info@ofosa.org,503-747-7818,"Hillsboro",OR,97007,
"Oregon Humane Society",survey@oregonhumane.org,503-285-7722,"Portland",OR,97211,
"Oregon St Bernard Rescue",sixofswords@msn.com,503-502-8993,"Portland",OR,97292,
"Oregon Weimaraner Rescue",info@oregonweimrescue.org,,"Portland",OR,97124,
"Pawsitive Souls",pawsitivesouls@icloud.com,(971) 217-6857,"Gearhart",OR,97138,
"Pet Adoption Network",contactpan@yahoo.com,(541) 929-5941,"Philomath",OR,97370,
"Pioneer Humane Society / Pendleton Animal Welfare Shelter (PAWS)",pawspendleton@gmail.com,541-276-0181,"Pendleton",OR,97801,
"Pound to Posh Dog Rescue",poundtoposhdogrescue@gmail.com,,"Portland",OR,97214,
"Project POOCH, Inc.",adopt@pooch.org,(503) 697-0623,"Lake Oswego",OR,97034,
"Purrfect Fit Cat Adoptions",elizw2000@hotmail.com,541-386-5099,"Hood River",OR,97031,
"Red Barn Rabbit Rescue",alex@redbarnrabbitrescue.org,(541)895-5867,"Creswell",OR,97426,
"Reedsport K9 Shelter",k9shelter@cityofreedsport.org,541.662.2062,"Reedsport",OR,97467,
"Right Start Animal Rescue",rightstartrescue@yahoo.com,(503) 698-8925,"Beaverton",OR,97007,
"Rogue Valley Humane Society",connect@roguevalleyhumanesociety.org,(541) 479-5154,"Grants Pass",OR,97526,
"Rose City Fox Terrier Rescue, Inc.",info@rosecityfoxterrierrescue.com,,"Portland",OR,97266,
"Salem Dogs",salemdogs@aol.com,,"Salem",OR,97302,
"Sanctuary One",info@sanctuaryone.org,(541) 899-8627,"Jacksonville",OR,97530,
"Saving Grace Pet Adoption Center",staff@savinggrace.info,(541) 672-3907,"Roseburg",OR,97471,
"Scotswood Select Rescues",pbjrtau@gmail.com,(541) 998-8803,"Junction City",OR,97448,
"Second Chance Salem",info@secondchancesalem.org,503-999-8238,"Salem",OR,97301,
"Senior Dog Rescue of Oregon",sdroregon@gmail.com,541-224-2488,"Philomath",OR,97370,
