Name,Email,Phone,City,State,Zip,Website
"1Love4Animals inc.",jenz4animals@gmail.com,(610) 405-1514,"King of Prussia",PA,19406,
"2nd Chance 4 Life Rescue",automaticreply2ndchance@gmail.com,,"Elizabethtown",PA,17022,
"A Darrah Bull Bully Rescue",adarrahbullbullyrescue@gmail.com,814-5054368,"Roaring Spring",PA,16673,
"A Little Bit of Snuggles Dog Rescue, Inc.",littlebitofsnuggles@gmail.com,(412) 628-2877,"New Kensington",PA,15068,
"A Place for All Animal Rescue",contact@aplaceforall.org,,"Coatesville",PA,19320,
"A Tail To Tell Inc",lucilleballs2@yahoo.com,,"Mount Gretna",PA,17064,
"Above and Beyond English Setter Rescue",ddunwoody@cox.net,,"Birdsboro",PA,19508,
"Absolutely Purrfect",lori_p@fast.net,484-663-9967,"Lenhartsville",PA,19534,
"Action For Animals Inc. Humane Society",afahs@aol.com,(724) 539-2544,"Latrobe",PA,15650,
"Adams County SPCA",contactus@adamscountyspca.net,717-334-8876,"Gettysburg",PA,17325,
"Adopt-A-Sato",pambacco@gmail.com,(724) 217-0595,"Ardara",PA,15615,
"All 4 Paws Rescue",info@all4pawsrescue.com,(610) 731-1086,"Chester Springs",PA,19425,
"All But Furgotten Humane Animal Rescue",allbutfurgotten@gmail.com,(724) 382-7178,"North Huntingdon",PA,15642,
"Almost Home Animal Sanctuary",mastiffmojo@msn.com,484.220.0418,"Limekiln",PA,19606,
"Almost Home Dog Rescue",almosthome4dogs@yahoo.com,,"Doylestown",PA,18901,
"American Bulldog Rescue",jodi@americanbulldogrescue.org,,"Newtown",PA,18940,
"Angel Ridge Animal Rescue",aranres@yahoo.com,(724) 229-7053,"Meadowlands",PA,15347,
"Angels Among Us Animal Sanctuary",angelsamongusrs@live.com,,"Quentin",PA,17083,
"Angels For Animals",rescueangels4animals@gmail.com,724-941-5737,"Eighty Four",PA,15330,
"Animal Advocacy of Mercer and Crawford County INC",animaladvocacy@yahoo.com,,"Sharon",PA,16146,
