Name,Email,Phone,City,State,Zip,Website
"Almost Home Rescue, Inc.",support@almosthomersq.org,401-2DOGS10,"Providence",RI,2940,
"Animals Depend On People Too (A.D.O.P.T.)",sage999cat@cox.net,,"Cranston",RI,2921,
"Bristol Animal Shelter",friendsofbristolanimalshelter@gmail.com,(401)253-4834,"Bristol",RI,2809,
"Burrillville Animal Control",aco@burrillville.org,401-568-9480,"Oakland",RI,2858,
"Cat Adoption Team Services",catadoptionteam@aol.com,401-433-1946,"Riverside",RI,2915,
"East Greenwich Animal Protection League",egaplevents@gmail.com,(401) 467-3670,"East Greenwich",RI,2818,
"East Providence Animal Control Center",epacc@hotmail.com,(401) 435-7675,"East Providence",RI,2914,
"FairyDogMother Rescue",kathy.petsitting@gmail.com,,"Charlestown",RI,2813,
"Friends of Central Falls Animals",adoptions@centralfallsanimals.org,,"Central Falls",RI,2863,
"Friends of Exeter Animals",exeteranimalshelter@town.exeter.ri.us,(401) 294-2754,"Exeter",RI,2822,
"Friends of Homeless Animals, Inc.",friendsoha@yahoo.com,,"Providence",RI,2906,
"Furever Dachshund Rescue",laurasdoxies@gmail.com,,"North Smithfield",RI,2896,
"Furry Angels Dachshund Rescue",furryangelsdachshundrescue@yahoo.com,401-392-3585,"Foster",RI,2825,
"Handsome Dan's Rescue for Pit Bull Type Dogs",heather@obhounds.com,,"Cranston",RI,2905,
"Humane Association of Northwestern Rhode Island",phyllis@hanri.org,401-568-5734,"Pascoag",RI,2859,
"Jenny's Hope Rescue, Inc",jennyshoperescue@aol.com,914-242-1812,"Chepachet",RI,2814,
"Just Doodles and Friends Rescue",justdoodlesrescue@yahoo.com,,"West Warwick",RI,2893,
"Little Rhody Rescue",littlerhodyrescue@gmail.com,(401) 692-1117,"Glocester",RI,2814,
"Midnight Run Rescue",midnightrunrescue@gmail.com,,"East Greenwich",RI,2818,
"New England Humane Society",contact@newenglandhumanesociety.com,,"Harrisville",RI,2830,
"North Kingstown Animal Shelter",nkas395@yahoo.com,401-295-5579,"North Kingstown",RI,2852,
"Northwest Animal Protection League",stacia.pietropaolo@gmail.com,(401) 286-5931,"West Warwick",RI,2893,
"PAWS New England",info@pawsnewengland.com,,"Warwick",RI,2888,
"PawsWatch",cats@pawswatch.org,,"Warwick",RI,2887,
"Pawswatch Adoptable Cats",pawswatchep@gmail.com,401-434-6036,"Rumford",RI,2916,
"Pet Refuge",ddoehrmann@yahoo.com,(401) 294-1115,"North Kingstown",RI,2852,
"Potter League for Animals",info@potterleague.org,(401) 846-8276,"Middletown",RI,2842,
"Providence Animal Control",ttorres@aspectsinc.com,(401) 243-6040,"Providence",RI,2905,
"Providence Animal Rescue League",reception@parl.org,401-421-1399,"Providence",RI,2903,
"Rhode Home Rescue",rhodehomerescue@gmail.com,(401) 354-2426,"Providence",RI,2909,
"Rhode Island Parrot Rescue",laziadopt@gmail.com,(630) 506-3160,"Warwick",RI,2886,
"Rhode Island SPCA",training@rispca.com,(401) 438-8150,"Riverside",RI,2915,
"RI Friends of Felines",skellya29@gmail.com,401-738-2833,"Warwick",RI,2887,
"Richmond Animal Control",acefido@richmondpd.org,(401) 539-4236,"Wyoming",RI,2898,
"Save One Soul Animal Rescue League",info@sosarl.org,401.206.0727,"Wakefield",RI,2880,
"Scituate Animal Shelter",scituatepound1@juno.com,(401) 647-7200,"Clayville",RI,2815,
"Scruffy Paws Animal Rescue",scruffypawsanimalrescue@gmail.com,,"Johnston",RI,2919,
"Second Chance Cats of Kent County",kentcountycats@gmail.com,(401) 497-5371,"Coventry",RI,2816,
"South Kingstown Animal Shelter",skanimalshelter@southkingstownri.com,401 789-5515,"Wakefield",RI,2879,
"Southpaws Express",maramuser@gmail.com,,"West Warwick",RI,2893,
"The Abandoned Dogs of RI",abandoneddogsofri@gmail.com,,"Chepachet",RI,2814,
"Tigersden Rescue",tigersden6684@yahoo.com,(401) 439-5443,"Cranston",RI,2910,
"Tiverton Animal Control Pound",kdepoy@vetcor.com,(401) 624-6624,"Tiverton",RI,2878,
"Volunteer Services for Animals - Warwick",vsaheadquarters@yahoo.com,(401) 273-0358,"Providence",RI,2940,
"Warren Animal Hospital",wahadoptions@aol.com,(401) 245-8313,"Warren",RI,2885,
"West Warwick Animal Shelter",wwanimalshelter@gmail.com,401-615-3388,"West Warwick",RI,2904,
"Westerly Animal Control",tloughlin@westerlyri.gov,401-584-7941,"Westerly",RI,2891,
"Woonsocket Cat Sanctuary",gail@repm.com,1-401-765-4174,"Woonsocket",RI,2895,
