Name,Email,Phone,City,State,Zip,Website
"4PETSAKE RESCUE",rescue_4petsake@yahoo.com,(864) 353-2880,"ANDERSON",SC,29624,
"Actually Rescuing Cats",actuallyrescuingcats@gmail.com,,"Campobello",SC,29322,
"Aiken County Animal Shelter",shelter@aikencountysc.gov,803-642-1537,"Aiken",SC,29801,
"All 4 Mutz",all4mutz@outlook.com,,"Westminster",SC,29693,
"All 4 Paws",a4padopt@yahoo.com,(843) 237-7297,"Pawleys Island",SC,29585,
"Anderson County Humane Society",hartwelldesigns@gmail.com,,"Anderson",SC,29622,
"Angel's Hope",april@angelshopeinc.org,(803) 669-9500,"Dalzell",SC,29040,
"Animal Guardians of South Carolina",animalguardians@sccoast.net,843-283-6069,"Little River",SC,29566,
"Animal Lovers of Edisto Canine Rescue",animalloversofedisto@gmail.com,8438693869,"Edisto Island",SC,29438,
"Animal Protection League",aplpets@bellsouth.net,803-783-2119,"Columbia",SC,29201,
"Animal Safe Haven",animalsafehavensc@yahoo.com,,"Boiling Springs",SC,29316,
"Basset Rescue Crew of the Southeast",barcsemail@gmail.com,(803) 658-8229,"Columbia",SC,29202,
"BONE-A-FIDE Aussie Rescue Krewe",barkaussies@gmail.com,,"Columbia",SC,29250,
"Carmen's Rescue",mt0815@charter.net,,"Simpsonville",SC,29681,
"Carolina Basset Hound Rescue",rescue@cbhr.com,(888) 909-2387,"Charleston",SC,29416,
"Carolina Boxer Rescue",carolinaboxer@gmail.com,,"Columbia",SC,29464,
"Carolina Cats",carocatsaak@yahoo.com,,"Columbia",SC,29250,
"Carolina Coonhound Rescue",ccradopt@gmail.com,,"Charleston",SC,29416,
"Carolina Corgi Rescue",shirani.tisdale@yahoo.com,,"Edisto Island",SC,29438,
"Carolina German Shepherd Rescue",kellih@comporium.net,,"Leesville",SC,29070,
"Carolina Greys Greyhound Adoption, Inc.",jhorton8@sc.rr.com,803-957-3866,"Lexington",SC,29072,
"Carolina Hearts Aussie Rescue",adopt.char@gmail.com,,"Columbia",SC,29250,
"Carolina Kitties Rescue",shelterkitty.ad@gmail.com,843-383-4980,"Florence",SC,29501,
"Carolina Loving Hound Rescue",adopt@carolina-loving-hound-rescue.com,,"Greenville",SC,29617,
"Carolina Poodle Rescue",applications@carolinapoodlerescue.org,(864) 489-3559,"Pacolet",SC,29372,
"Cat Around Town Project",cat.around.town.project@gmail.com,803-237-1550,"Lugoff",SC,29078,
"Chance Fur Life Animal Rescue",info@chancefurlife.org,(864) 485-3186,"Spartanburg",SC,29303,
"Chapman's Dachshund Rescue",ginaechapman@aol.com,803 792 2473,"York",SC,29745,
"Charleston Animal Society",cgumienny@charlestonanimalsociety.org,(843) 747-4849,"Charleston",SC,29405,
"Chester County Animal Control",chesteranimalcontrol@chesterso.com,803-385-6341,"Chester",SC,29706,
"COASTAL ANIMAL RESCUE",coastalanimalrescue@yahoo.com,(843) 652-4500,"MURRELLS INLET",SC,29576,
"Collie Breed Rescue",delightinthelord91@aol.com,,"Columbia",SC,29223,
"Concerned Citizens for Animals",ccaadoptions@gmail.com,864-243-4CCA (4222),"Greenville",SC,29681,
"Critter Connection",critterconnectionspartanburg@gmail.com,,"Spartanburg",SC,29304,
"Crossroads Animal Rescue-CARE",drkathyjordan@yahoo.com,(864)972-9994,"Seneca",SC,29678,
"Cullen's Archangel RescuE, Inc. (CARE)",caretoadopt@gmail.com,(803) 622-9813,"Lexington",SC,29071,
"Daisy Girls Rescue",cam0172@yahoo.com,727-564-7872,"Gray Court",SC,29645,
"Darlington County Humane Society",darlingtonhumanepets@gmail.com,843-398-4402,"Darlington",SC,29532,
"Doc Williams SPCA",intakespec@homesc.com,(843) 761-0683,"Goose Creek",SC,29445,
"DogGone Shelter Intervention",dsi.rescue16@gmail.com,,"Latta",SC,29565,
"East Cooper Pet Relief",lwsdvm@comcast.net,(843) 884-9838,"Mt Pleasant",SC,29466,
"Equine Rescue of Aiken",adopt@aikenequinerescue.org,(803) 643-1850,"Aiken",SC,29803,
"Erica's Waggy Tails, Inc.",ericaswaggytails@gmail.com,,"Columbia",SC,29212,
"Eunoia Rescue",eunoiarescue@gmail.com,843-367-9797,"Charleston",SC,29414,
"Every Cat Counts TNR and Rescue",everycatcounts@bellsouth.net,,"Union",SC,29379,
"Fairfield County Animal Adoption Center",samira.yaghi@fairfield.sc.gov,(803) 815-0805,"Winnsboro",SC,29180,
"Feline Canine Fellowship Coalition",christinezois@hotmail.com,(973) 619-2956,"North Myrtle Beach",SC,29582,
