Name,Email,Phone,City,State,Zip,Website
"All Cats Rescue",allcatsrescue@gmail.com,,"Sioux Falls",SD,57101,
"Almost Home Canine Rescue",almosthomesd@yahoo.com,,"Madison",SD,57042,
"Battle Mountain Humane Society",battlemounatinhumanesociety@yahoo.com,605-745-7283,"Hot Springs",SD,57747,
"Beadle County Humane Society",bchs@santel.net,605-352-8955,"Huron",SD,57350,
"Brookings Regional Humane Society, Inc.",brookingsregionalhumanesociety@hotmail.com,605 697-7387 (PETS),"Brookings",SD,57006,
"Dakota Dachshund Rescue",dakotadachshund@hotmail.com,605-310-8443,"Sioux Falls",SD,57101,
"Midwest Puppy Mill Rescue",midwestpuppymillrescue@yahoo.com,,"Sioux Falls",SD,57106,
"Mitchell Animal Rescue",mitchellanimalrescue@gmail.com,605-770-2170,"Mitchell",SD,57301,
"Northern Plains Boxer Rescue",npbr@everyboxercounts.com,(888) 405-7560,"Vermillion",SD,57069,
"Oglala Pet Project",andrea@oglalapetproject.org,605-455-1518,"Kyle",SD,57752,
"Paws Animal Rescue",pets4adoption@yahoo.com,(605) 223-2287,"Pierre",SD,57501,
"Paws To Love",paws_2_love@yahoo.com,,"Tyndall",SD,57066,
"Purr N Ruff Rescue",purrnruff@yahoo.com,6052996399,"Mitchell",SD,57301,
"Sioux Empire Pit Bull Rescue,inc",rachaelleighton@yahoo.com,,"Sioux Falls",SD,57101,
"Star's Rat Rescue",adoptions@starsratrescue.com,(605) 840-4701,"Winner",SD,57580,
"Twin City Animal Shelter",gbunch@rushmore.com,(605) 584-2480,"Lead",SD,57754,
"Western Hills Humane Society",sdwhhs@gmail.com,605-642-1576,"Spearfish",SD,57783,
