Name,Email,Phone,City,State,Zip,Website
"A Paw And A Prayer Rescue",apawandaprayer@aol.com,(423) 718-0939,"Chattanooga",TN,37421,
"A Time 4 Paws",savetnpets@gmail.com,931.456.6906,"Crossville",TN,38555,
"A.A.R.F. (All About Rescue and Fixin Inc)",info@aarf-tn.com,(931) 260-8018,"Cookeville",TN,38501,
"Adopt A Golden Nashville",info@adoptagoldennashville.org,(615) 496-7297,"Nashville",TN,37213,
"Agape Animal Rescue",adopt@agaperescue.org,(615) 406-7799,"Nashville",TN,37229,
"ALIVE Rescue Memphis",ranise.aliverescue@gmail.com,,"Memphis",TN,38104,
"All 4s Rescue League",all4srescue@yahoo.com,(901) 870-4921,"Arlington",TN,38002,
"All Aboard Animal Rescue",allaboardanimalrescue@yahoo.com,,"Eagleville",TN,37060,
"All Heart Animal Rescue",allheartanimalrescue@gmail.com,,"Memphis",TN,38104,
"ALMOST HOME Animal Rescue",info@almosthometn.org,865-236-0830,"Blount County",TN,37802,
"Angel Maggie's Memorial Sanctuary",angelmaggiesms@yahoo.com,,"White House",TN,37188,
"Angels Among Us Animal Rescue",angie@angelsamongusanimalrescue.org,,"Brighton",TN,38011,
"Animal Awareness Association Of Overton County",aaaofovertoncounty@yahoo.com,931-267-0682,"Monroe",TN,38573,
"Animal Control of Dickson TN",jackiehale1@bellsouth.net,615-797-9716,"Dickson",TN,37055,
"Animal Harbor - Franklin County Humane Society",petadoption@charter.net,(931) 962-4472,"Winchester",TN,37398,
"Animal Relief Fund",brigid@copysolutionsinc.com,,"Franklin",TN,37067,
"Animal Support and Placement Rescue",storkwoods@comcast.net,,"Franklin",TN,37064,
"Ark of Cleveland, Inc.",arkofcleveland@aol.com,(423) 472-2744,"Cleveland",TN,37320,
"Bark and Soul Animal Rescue",barkandsoulrescue@gmail.com,,"Memphis",TN,38122,
"Barney's Orphanage @ Fort Corgi",fortcorgi@yahoo.com,,"Kingsport",TN,37664,
"Bartlett Animal Shelter",aklein@cityofbartlett.org,(901) 385-6484,"Bartlett",TN,38135,
"Beau's Wish Dog Rescue",forthedogs@beauswish.org,629-777-5568,"Springfield",TN,37172,
"Bedford County Animal Control",bcac@bedfordcountytn.org,931-685-1130,"Shelbyville",TN,37160,
"Belly Rubs Basset Rescue",bellyrubsbr@bellyrubs.org,email only,"Knoxville",TN,37933,
"Benton County Animal Shelter",bcashelter@gmail.com,731-584-3152,"Camden",TN,38320,
"Blackjack Animal Rescue",blackjackrescue@live.com,423-430-5339,"Piney Flats",TN,37686,
"Blount County Humane Society",adoptions@blountcountyhumanesociety.org,865-233-3739,"Maryville",TN,37802,
"Bonaparte's Retreat",info@bonapartesretreat.org,615-484-5193,"Nashville",TN,37215,
"Bunny Rescue",bunnyrescue1@mac.com,(615) 260-3808,"Columbia",TN,38401,
"Calavar Farm Animal Rescue",calavarfarm@gmail.com,615-595-8545,"Franklin",TN,37064,
"Carroll County Humane Society",cchstn@gmail.com,731-352-9950,"McKenzie",TN,38201,
"Cat and Kitten Rescue",catsandkittensrescue@gmail.com,(931) 622-7830,"McEwen",TN,37101,
"Cat Atrium",felicia@catatrium.com,,"Bartlett",TN,38134,
"Cat Clinic of Chattanooga",contactus@chattcatvet.com,423-752-0737,"Chattanooga",TN,37405,
"Cats Are Us",catsareustn@aol.com,(931) 503-0053,"Clarksville",TN,37042,
"Cats Paw Rescue",catspawrescue@gmail.com,(804) 691-4707,"Maryville",TN,37803,
"Central Veterinary Hospital",info@centralvethospital.com,865-525-1167,"Knoxville",TN,37916,
"Cheatham County Animal Awareness Foundation",friendsofccaaf1@gmail.com,,"Pegram",TN,37143,
"Cheatham County Animal Control Shelter",ccactn@gmail.com,(615) 792-3647,"Pegram",TN,37143,
"Chi-Chi's Rescue Team",tazdevil01@ymail.com,(931) 266-6073,"Clarksville",TN,37042,
"Circle Of Hope K-9 Rescue",doglover0829@yahoo.com,,"Milan",TN,38358,
"City of Columbia - Maury County Animal Services Facility",sparksrise@gmail.com,(931) 375-1402,"Columbia",TN,38401,
"City of Lawrenceburg Animal Control",cityanimalshelter@gmail.com,931-242-3511,"Lawrenceburg",TN,38464,
"City of McKenzie TN Shelter",cindyhess56@yahoo.co.za,731-535-2700,"McKenzie",TN,38201,
"City of Newport Animal Control",animalcontrol@newporttn.org,(423) 625-8444,"Newport",TN,37821,
"Cleveland Animal Control Division",clevelandforanokillcity@gmail.com,,"Cleveland",TN,37311,
"Clover for Rover Animal Rescue and Sanctuary",cloverforrover@yahoo.com,,"Gallatin",TN,37066,
"Clover Patch Sanctuary",cloverpatchsanctuary@gmail.com,,"Franklin",TN,37069,
"Coffee County Animal Control",leigha.paige32594@gmail.com,(931) 723-2730,"Manchester",TN,37355,
"Coffee County Humane Society",adoption@coffeehumane.org,(931) 728-0903,"Manchester",TN,37357,
"Collie & Sheltie Rescue of Middle TN",joniwillob@gmail.com,,"Chapel Hill",TN,37034,
"Companion Pet Rescue of Middle TN",adoptions.cprmidtn@gmail.com,6152608473,"Clarksville",TN,37043,
"Cookeville/Putnam County Animal Shelter",shelterstaff@cookeville-tn.org,931-526-3647,"Cookeville",TN,38501,
"Country K-9 Rescue",adhenning@earthlink.net,615-444-8011,"Lebanon",TN,37087,
"Country Road Animal Rescue",countryroadanimalrescue@gmail.com,931-332-6710,"Waynesboro",TN,38485,
