Name,Email,Phone,City,State,Zip,Website
"2 Many Dogs Rescue",2manydogstx@gmail.com,,"Wallis",TX,77485,
"365 Pet Connection",365petconnection@gmail.com,,"Lakeway",TX,78734,
"3L Animal Rescue",3lanimalrescue@gmail.com,,"Magnolia",TX,77355,
"4 Paws Farm, Inc",nancy@4pawsfarm.org,(979) 399-4198,"Hempstead",TX,77445,
"4DogSakes",4dogsakesrescue@gmail.com,210-629-0177,"San Antonio",TX,78209,
"4PAWS",petfinder@4pawsinc.org,email for more info,"Benbrook",TX,76126,
"4Paws2Love",info@4paws2love.org,(972)480-3590,"Plano",TX,75025,
"A Chance to Bloom",chancetobloom@gmail.com,(936) 333-1416,"Conroe",TX,77301,
"A Different Breed Animal Rescue",adbadoptions@yahoo.com,(972) 896-6313,"Dallas",TX,75360,
"A Doggie 4 You",adoggie4you@yahoo.com,210-385-0465,"Pipe Creek",TX,78063,
"A Life to Live",adopt@adopttosave.org,,"Baytown",TX,77521,
"A Pets Wish Rescue",apetswishrescue@yahoo.com,830-313-8799,"Del Rio",TX,78842,
"A Rottie Rescue, Inc.",info@arottierescue.com,2146019255,"Irving",TX,75014,
"Abandoned 2 Home Cat Rescue",lkrice@yahoo.com,(903) 543-1178,"Simms",TX,75574,
"Abandoned Animal Rescue",info@aartexas.org,(281) 789-4142,"Magnolia",TX,77355,
"Acres of Love Animal Rescue",bcacresoflove@gmail.com,(830) 392-6493,"Blanco",TX,78606,
"ADAPT- A Doberman Adoption Placement Team",l4912@aol.com,(281) 361-8797,"Kingwood",TX,77345,
"Adopt a Happy Tail",happytailsofgbc@yahoo.com,903-275-5990,"Mabank",TX,75147,
"Adopt a Husky of Dallas Inc.",huskiesandmutts@gmail.com,,"Plano",TX,75056,
"Adopt A Rescued Friend",info@aarfhouston.org,832-539-4004,"Houston",TX,77205,
"Adopt Aggieland",info@adoptaggieland.org,,"Bryan",TX,77802,
"Adopt-A-Pet",adoptapetvictoria@gmail.com,(361) 575-7387,"Victoria",TX,77901,
"ADORE Houston",info@adorehouston.org,,"Houston",TX,77007,
"Against All Odds- All Breed Rescue",againstalloddsrescue@gmail.com,972-612-8937,"Plano",TX,75075,
"Aggieland Humane Society",info@aggielandhumane.org,979-775-5755,"Bryan",TX,77801,
"Al's Hyde Park Rescue",hydeparkrescue@gmail.com,(210) 218-9289,"San Antonio",TX,78209,
"All American Dogs",adoptionsmoh@gmail.com,972-382-3647,"Pilot Point",TX,76258,
"All Border Collie Rescue",allbordercollierescue@gmail.com,please  e-mail,"The Woodlands",TX,77382,
"All Canine Haven Rescue",achrescue@gmail.com,214-242-3212,"Grand Prairie",TX,75050,
"All God's Creatures",allgodscreaturesbmt@wildblue.net,(409)753-1365,"Beaumont",TX,77713,
"All Good Dogs Education",allgooddogscea@gmail.com,,"Longview",TX,75605,
"All Texas Dachshund Rescue",info@atdr.org,,"Pearland",TX,77584,
"AlleyCat Angels of Texas",alleycatangels.texas@yahoo.com,(817) 429-2592,"Fort Worth",TX,76103,
"Allie's Haven Animal Rescue",aharinquiry@gmail.com,817-752-4101,"Fort Worth",TX,76108,
"Almost Home Animal Rescue",almosthomeanimals@yahoo.com,3092995665,"Burleson",TX,76028,
"Almost Home Pet Rescue",rescueforlife@hotmail.com,,"Katy",TX,77494,
"Alpine Humane Society",admin@alpinehumanesociety.org,,"Alpine",TX,79830,
"Amarillo Animal Management and Welfare",mypet@amarillo.gov,806-378-9032,"Amarillo",TX,79118,
"Amarillo SPCA",amarillospca@amaonline.com,(806)622-0555,"Amarillo",TX,79101,
"Amazing Grace Pet Rescue",amazinggracepetrescue@yahoo.com,,"Rosharon",TX,77583,
"American Boston Terrier Rescue",savingbostons@americanbostonterrierrescue.org,(972) 407-4440,"Gainesville",TX,76240,
"American Brittany Rescue-TX",abr.tx@americanbrittanyrescue.org,(866) 274-8911,"Fulshear",TX,77441,
"Angels Four Paws",wingsforpaws@gmail.com,832-659-2576,"Humble",TX,77396,
"Angie's Friends",astruse@yahoo.com,(678) 665-8571,"Dallas",TX,75218,
"Animal Adoption Center of Flower Mound",animalservices@flower-mound.com,972-874-6390,"Flower Mound",TX,75028,
"Animal Advocates of North Texas",animaladvocatesofnorthtexas@ymail.com,,"Keller",TX,76244,
"Animal Care Services Division City of San Antonio",acsadoptions@sanantonio.gov,210-207-6666,"San Antonio",TX,78227,
"Animal Defense League of Texas",info@adltexas.org,210-655-1481,"San Antonio",TX,78217,
"Animal Friends of Austin County",joanne.klauber@gmail.com,(979) 865-2525,"Bellville",TX,77418,
"Animal Hope",info@animalhope.org,817-984-1129,"Fort Worth",TX,76133,
"Animal Justice League",info@animaljusticeleague.org,,"Houston",TX,77292,
"Animal Outreach Association",animaloutreach@aol.com,,"Midland",TX,79706,
"Animal Refuge Foundation",martha@arfhouse.org,903-564-7056,"Sherman",TX,75092,
"Animal Rescue Foundation of Texas",info@arftx.com,(972) 318-9650,"Flower Mound",TX,75022,
"Animal Rescue Kingdom (A.R.K)",animalrescuekingdom@gmail.com,(832) 267-5777,"Sugar Land",TX,77498,
"Animal Rescue League of El Paso",info@arlep.org,(915)877-5002,"El Paso",TX,79821,
"Animal Rescue of Crosby County",arcc.rescue@gmail.com,,"Crosbyton",TX,79322,
"Animal Rescue of Texas (ART)",artadoptions@animalrescueoftexas.org,(214) 276-7802,"Dallas",TX,75205,
"Animal Shelter Volunteers of Texas",asvtexas@gmail.com,,"Montgomery",TX,77316,
"Animal Welfare Society of Kerr Co/Freeman Fritts",freemanfritts@stx.rr.com,830-257-4144,"Kerrville",TX,78028,
"Animals First Rescue",doggirl1@earthlink.net,,"Austin",TX,78734,
"Annie's Angels Texas Rescue Group",losrhone@gmail.com,(832) 483-0997,"Stafford",TX,77477,
"AOHTs (All Our Hearts Together) Rainbow Bridge",thoaboballen@yahoo.com,903-815-5955 cell/text I-phone,"Bonham",TX,75491,
"APAC - Association for a Pet Adoption Center",myhappytail@yahoo.com,(254) 541-1461,"Temple",TX,76505,
"Apollo Support & Rescue",inquire@apollosupportandrescue.org,,"Justin",TX,76247,
"ARF Animal Rescue Foundation",arftexas@att.net,(830) 433-2458,"Seguin",TX,78155,
"ARKLATEX Cocker Spaniel Rescue",cockers4me@hotmail.com,,"Texarkana",TX,75501,
"Astasias Angels Animal Rescue",astasiasangelsar@gmail.com,469-766-6336,"Wylie",TX,75098,
"At Home Houston Border Collie Rescue",juliekagel@gmail.com,832-633-1591,"Houston",TX,77036,
"AURORAS Animal Adoptions",aurorasrescue@hotmail.com,,"Santa Fe",TX,77517,
"Aussie Rescue & Placement Helpline",aussie330@aol.com,,"North Richland Hills",TX,76180,
"Austin Animal Center",animal.customerservice@austintexas.gov,(512)-978-0500,"Austin",TX,78702,
"Austin Boxer Rescue",info@austinboxerrescue.com,(512) 968-1343,"Austin",TX,78752,
"Austin Cats and Dogs Rescue",austincatsanddogsrescue@gmail.com,(512) 669-2269,"Cedar Park",TX,78613,
"Austin Dog Rescue",adoptions@austindog.org,,"Manchaca",TX,78652,
"Austin Lost and Found Pets",austinlostandfoundpets@gmail.com,(512) 965-6744,"Austin",TX,78715,
"Austin Pets Alive!",adopt@austinpetsalive.org,,"Austin",TX,78704,
"Austin Sheltie Rescue Inc",swig@sbcglobal.net,(512) 453-8094,"Austin",TX,78731,
"Austin Siamese Rescue",loveasiamese2@yahoo.com,512-354-7875,"Austin",TX,78711,
"Averting CAT-astrophe, Inc",avertingcatastrophe@gmail.com,,"Mansfield",TX,76063,
"AY CHIHUAHUA RESCUE",info@aychihuahuarescue.org,512-763-0244,"Austin",TX,78717,
"Azle Animal Shelter",jflores@ci.azle.tx.us,(817)444-8215,"Azle",TX,76020,
"BACCR - Baytown Humane Society",baccr1@aol.com,(832) 414-3729,"Baytown",TX,77522,
"Ballinger Animal Control",animalcontrol@ballingerpd.org,(325) 365-3591,"Ballinger",TX,76821,
"Bandera County Animal Control",animalcontrol@banderacounty.org,858-361-4686,"Bandera",TX,78003,
"BARC, The Humane Society",achs75801@yahoo.com,903-729-8074,"Palestine",TX,75801,
"Bark Ark and Purr Rescue",baaprescue@gmail.com,(817) 980-9781,"Venus",TX,76084,
"Barking Mad Animal Rescue",barkingmadanimalrescue@gmail.com,(409) 457-6495,"Hemphill",TX,75948,
"Barrio Dogs of Houston",tauna@barriodogs.org,000-00-0000,"Houston",TX,77223,
"Basset Buddies Rescue of Texas",info@bbrtx.org,(281)-657-7347,"Houston",TX,77219,
"Basset Rescue Across Texas, Inc.",info@bassetrescueacrosstexas.org,,"Carrollton",TX,75011,
"Bastrop Animal Rescue",adopt@bastropanimalrescue.org,,"Bastrop",TX,78602,
"Bastrop C.A.T.S.",bastropcats@gmail.com,,"Cedar Creek",TX,78612,
"Bastrop County Animal Shelter",wendy.ballard@co.bastrop.tx.us,(512) 549-5160,"Bastrop",TX,78602,
"BAV-Braveheart Animal Volunteers",bavbraveheart@yahoo.com,,"Bonham",TX,75418,
"Bay Area Pet Adoptions/SPCA",info@bayareapetadoptions.org,281-339-2086,"San Leon",TX,77565,
"Bayou Animal Services",info@bayouanimalservices.org,281-337-3117,"Dickinson",TX,77539,
"Baytown Animal Services",carianne.livengood@baytown.org,(281) 422-7600,"Baytown",TX,77521,
"BCS Spay",bcsspayday@gmail.com,(979) 393-0043,"College Station",TX,77842,
"Beaumont Animal Services",animalservices@beaumonttexas.gov,409-838-3304,"Beaumont",TX,77703,
"Bedford Animal Control",tracy.robertson@bedfordtx.gov,(817) 952-2191,"Bedford",TX,76021,
"Best Friends FurEver",bffurever@yahoo.com,,"Humble",TX,77338,
"Bestfriends Animal Rescue Club  (BARC)",bestfriends1147@gmail.com,,"Duncanville",TX,75116,
"BFFs: Best Fur Friends Rescue",information@bestfurfriendsrescue.org,,"Benbrook",TX,76126,
"Blue Angel Weimaraner Rescue",blueangelweims@att.net,,"Burleson",TX,76028,
"Blue Sky Animal Rescue",bsarescue@prodigy.net,,"Smithville",TX,78957,
"Blue's Angels",adoptbluesangels@gmail.com,,"Houston",TX,77004,
"Bluebonnet Animal Rescue Network",barn@lonestarmail.net,(903) 231-3276,"Whitewright",TX,75491,
"Bluebonnet Equine Humane Society",info@bluebonnetequine.org,1-888-542-5163,"Rosharon",TX,77844,
"BNoble Farms and Rescue",ashlynallen_bnoblefarms@aol.com,(972)567-2224,"Argyle",TX,76226,
"Border Collie Rescue & Rehab of Texas",bc.rescue.rehab@gmail.com,972-533-9172,"Allen",TX,75002,
"Boston Terrier Rescue of Greater Houston, Inc.",bostonrescue@aol.com,,"The Woodlands",TX,77380,
"Boston Terrier Rescue of North Texas",btrescue@texasbostons.com,(844) 428-7776,"Plano",TX,75086,
"Boxer Rescue of Texarkana",boxerrescueoftexarkana@gmail.com,,"Texarkana",TX,75505,
"Brave Bully Rescue",info@bravebullyrescue.org,,"Houston",TX,77055,
"Braveheart Animal Rescue",adoptions@braveheartanimalrescue.org,(817) 721-3651,"Arlington",TX,76001,
"Brazoria County Sheriffs Office Livestock /Animal Control",bcsoaco@gmail.com,979-388-2365,"Angleton",TX,77515,
"Brenham Humane Services",aharper@cityofbrenham.org,(979) 337-7351,"Brenham",TX,77833,
"Bridgeport Animal Shelter",jjohnson@cityofbridgeport.net,940-683-3430,"Bridgeport",TX,76426,
"Brittany Rescue in Texas, Inc.",pattie@brittanyrescueintexas.org,(888) 552-7488,"Fort Worth",TX,76133,
"Bryan Animal Center",jburkhaltr@bryantx.gov,9792095260,"Bryan",TX,77801,
"Buddies Place Rescue",contactbpcr@gmail.com,,"Fort Worth",TX,76121,
"Bull luv able Paws and Chi Wawas Rescue",khristy_hullett@hotmail.com,,"Dallas",TX,75214,
"Bulverde Area Humane Society",bahshelter@yahoo.com,830-980-2247,"Bulverde",TX,78163,
"Bunny Buddies",info@bunnybuddies.org,,"Houston",TX,77248,
"C.A.R.E. Community Animal Rescue Effort",care.animalrescue@yahoo.com,(254) 631-6937,"Mingus",TX,76463,
"CAMO - Rescue",camorescuetx@gmail.com,,"Odessa",TX,79762,
"Camp Lone Star Rescue, Inc.",petfinder@camplonestarrescue.org,,"Edgewood",TX,75117,
"Cane Rosso Rescue",rescue@ilcanerosso.com,(972) 323-8367,"Dallas",TX,75207,
"Canine Compassion",caninecompassion@yahoo.com,,"Bryan",TX,77803,
"Canine Karma Rescue",caninekarmarescue@gmail.com,,"Whitewright",TX,75491,
"Canine Soulmates Rescue",dogs@caninesoulmates.com,,"Grapevine",TX,76099,
"Canyon Lake Animal Shelter Society",canyonlakeanimalshelter@gmail.com,830-899-2527,"Canyon Lake",TX,78133,
"Cape Kitty Rescue",capekittyrescue@yahoo.com,(713) 818-1645,"Coldspring",TX,77331,
"CARE Companion Animal Rescue Effort",sue3574@yahoo.com,,"Cedar Park",TX,78613,
"Cat Allies of Texas Rescue",catalliesoftexas@gmail.com,8302372002,"Fischer",TX,78623,
"Cat Matchers",catmatchers@yahoo.com,972-458-7877,"Plano",TX,75026,
"Catnip Casa Cat Refuge",penny@catnipcasa.org,(512) 387-8029,"Austin",TX,78708,
"Cats for Life Adoptions",mkhendricks1@comcast.net,713-453-8621,"Houston",TX,77015,
"Cats' Angels, Inc. (Cats Angels)",cats_angels@sbcglobal.net,(512) 459-6417,"Austin",TX,78759,
"Cattailz.org",ro@cattailz.org,,"Weatherford",TX,76087,
"Central Texas Dachshund Rescue",adopt@ctdr.org,,"Austin",TX,73301,
"Central Texas Rat Rescue",centraltexasratrescue@gmail.com,2487611722,"Pflugerville",TX,78660,
"Charlie's Angels Dog Rescue",charliboyd03@aol.com,,"Hempstead",TX,77445,
"Charlynes Pound Puppies",info@poundpups.org,(512) 832-4101,"Thorndale",TX,76577,
"Charming Pet Rescue",charmingpetrescue@gmail.com,,"Boerne",TX,78006,
"Cherished Pets Animal Rescue (CPAR)",cherishedpetsrescue@gmail.com,(432) 258-3581,"Odessa",TX,79764,
"Chewy's Hope",chewyshope@yahoo.com,(817) 307-0373,"Boyd",TX,76023,
"Chihuahua Rescue & Transport, Inc",dfwcoordinator@chihuahua-rescue.com,,"Plano",TX,75023,
"ChinChildren Chinchilla Rescue",tgracemitchell@att.net,972-617-8864,"Red Oak",TX,75154,
"Chip N Snip",info@chipnsnip.org,,"Baytown",TX,77521,
"Chloe's Pet Rescue",chloespetrescue@gmail.com,2147639468,"Blue Ridge",TX,75424,
"Cinderella Pet Rescue, Inc.",contact@cinderella-pet-rescue.org,(956) 391-4399,"Mission",TX,78574,
"City of Allen Animal Shelter",animalshelter@cityofallen.org,214-509-4378,"Allen",TX,75002,
"City of Alvin Animal Adoption Center c/o Alvin Police Department",amiller@cityofalvin.com,281-388-4331,"Alvin",TX,77511,
"City Of Clyde Animal Shelter",maria.renate@yahoo.com,1-325-893-2963,"Clyde",TX,79510,
"City of Coppell Animal Services & Adoption Cent",animalservices@coppelltx.gov,(972) 304-3515,"Coppell",TX,75019,
"City of Corsicana Animal Shelter",kasta@ci.corsicana.tx.us,(903) 654-4928,"Corsicana",TX,75110,
"City Of Crowley Animal shelter",smansfield@ci.crowley.tx.us,817-297-2201 ext. 3300,"Crowley",TX,76036,
"City of Daingerfield",dftxshelter@yahoo.com,903/645-2120,"Daingerfield",TX,75638,
"City of Denton Animal Services",police.animalservices@cityofdenton.com,(940) 349-7594,"Denton",TX,76205,
"City of Edna Animal Shelter",animalcontrol@cityofedna.com,(361) 782-5271,"Edna",TX,77957,
"City of El Campo Animal Control",mjurasek@cityofelcampo.org,979-541-5097,"El Campo",TX,77437,
"City of Everman Animal Shelter",evermanaco3961@gmail.com,(817) 561-5495,"Everman",TX,76140,
"City of Fredericksburg Animal Shelter",ygerhardt@fbgtx.org,830 997-1907,"Fredericksburg",TX,78624,
"City of Friendswood Animal Control",rstenstrom@ci.friendswood.tx.us,281-996-3390,"Friendswood",TX,77546,
"City of Highland Village Animal Shelter",pets@highlandvillage.org,(469) 444-0915,"Highland Village",TX,75077,
"City of Houston, BARC Animal Shelter & Adoptions",barcadoptions@houstontx.gov,713-229-7331,"Houston",TX,77026,
"City of Hurst Animal Services",afrandsen@hursttx.gov,817-788-7216,"Hurst",TX,76054,
"City of Lancaster Animal Shelter",kcorrao@lancaster-tx.com,972-218-1210,"Lancaster",TX,75146,
"City of Lewisville Animal Shelter",colanservices@yahoo.com,972-219-3478,"Lewisville",TX,75029,
"City Of Lytle Animal Control",bettykroeger@sbcglobal.net,(830) 709-3832,"Lytle",TX,78052,
"City of Midlothian Animal Shelter",debbie.lubke@midlothian.tx.us,972-775-7614,"Midlothian",TX,76065,
"City of Missouri City Animal Shelter",mocityanimalsheltervolunteers@gmail.com,(281) 403-8707,"Missouri City",TX,77489,
"City of Nassau Bay Animal Control",troy.bradfield@nassaubay.com,(832) 574-0877,"Nassau Bay",TX,77058,
"City of Pearland Animal Control",pearlandpets@ci.pearland.tx.us,281-652-1970,"Pearland",TX,77581,
"City of Red Oak Animal Shelter",aabernathy@redoaktx.org,214-399-7730,"Red Oak",TX,75154,
"City of Terrell Animal Adoption Center",sharmon@cityofterrell.org,972-551-6641,"Terrell",TX,75160,
"City of Waller Animal Shelter",cityofwalleranimalshelter@gmail.com,(346) 254-7824,"Waller",TX,77484,
"City of Webster Animal Shelter",atrover@cityofwebster.com,(281) 316-3709,"Webster",TX,77598,
"City of Wichita Falls Animal Services",diann.bowman@wichitafallstx.gov,(940) 761-8894,"Wichita Falls",TX,76302,
"Classy Cats Incorporated",adopt@classycats.org,http://www.classycats.org,"Roanoke",TX,76262,
"Cleburne Animal Shelter",acunit@cleburne.net,817-556-8895,"Cleburne",TX,76033,
"Clipped Ear Cat Sanctuary",clippedear@aol.com,,"Spring",TX,77386,
"Cocker Spaniel Rescue of Austin/San Antonio",woof@austincockerrescue.org,512-527-9923,"Austin",TX,78755,
"Cocker Spaniel Rescue of East Texas - Houston",judijfett@aol.com,7132081314,"Houston",TX,77024,
"Cody's Friends Rescue",adopt@codysfriendsrescue.com,,"Dallas",TX,75248,
"Col Potter Cairn Rescue Network-South Central",cpcrn@cairnrescue.com,,"Fort Worth",TX,76137,
"Collin County Animal Services",animalshelter@co.collin.tx.us,972-547-7292,"McKinney",TX,75070,
