Name,Email,Phone,City,State,Zip,Website
"4 Paws Rescue",4pawsutah@gmail.com,(435) 512-3415,"Willard",UT,84340,
"A New Beginning Animal Rescue",adoptions@anbrescue.org,801-916-3924,"Layton",UT,84041,
"American Brittany Rescue - UT/ID",abr.ut@americanbrittanyrescue.org,(866) 274-8911,"Salt Lake City",UT,84106,
"Arctic Breeds Rescue",adopt@arcticrescue.com,,"Provo",UT,84604,
"Ashley Valley Community Cats",avcommunitycats@gmail.com,8015570420,"Vernal",UT,84078,
"Because Animals Matter (BAM)",admin@becauseanimalsmatter.com,(435) 773-5209,"Hurricane",UT,84737,
"Best Friends Animal Society",kristi@bestfriends.org,(435) 644-2001,"Kanab",UT,84741,
"Black Dog Walk",michael.collins7@comcast.net,801-710-4984,"Ogden",UT,84412,
"Blu's Ranch and Rescue",blusrandr@gmail.com,,"Lehi",UT,84043,
"Bulldog Club of Utah/Rescue",eviltwin9@q.com,8017500587,"Herriman",UT,84096,
"Cache Humane Society",dogs@cachehumane.org,(435) 792-3920,"Logan",UT,84323,
"Canines With a Cause",adopt@canineswithacause.org,801-792-1737,"Salt Lake City",UT,84116,
"Cavalier Crazy Rescue",cavaliercrazyrescue@gmail.com,,"Midvale",UT,84047,
"CEDAR ANIMAL RESCUE",caretaker@infowest.com,435-586-0899,"Cedar City",UT,84720,
"Celestial Zoo Pet Rescue",celestialzooutah@gmail.com,,"Eagle Mountain",UT,84005,
"Community Animal Welfare Society (CAWS)",adopt@caws.org,801-328-4731,"Salt Lake City",UT,84117,
"Danate Rescue Group",danaterescuepf@gmail.com,,"Salt Lake City",UT,84115,
"Davis County Animal Services",emckinnon@co.davis.ut.us,(801) 444-2200,"Fruit Heights",UT,84037,
"Doggie Mannerz",doggiemannerz@gmail.com,801-580-7007,"Salt Lake City",UT,84106,
"Duchesne County Animal Control",rvcarda@ubtanet.com,(435) 738 2015,"Duchesne",UT,84021,
"Friends of Community-Cats Rescue",friendsofcommunity-cats@outlook.com,(801) 882-0813,"Centerville",UT,84014,
"Fullmer Menagerie Animal Rescue",info@fullmermenagerieanimalrescue.org,435-406-6779,"Salina",UT,84654,
"Furever Buddys Dog Rescue",furever_buddys@yahoo.com,435-733-0870,"Roosevelt",UT,84066,
"Furever Friends Animal Oasis",fureverfriendsut@yahoo.com,,"Harrisville",UT,84404,
"Hearts 4 Paws",hearts4pawsdogs@gmail.com,801-867-9564,"West Valley",UT,84120,
"Herding Haven",kathie@herdinghaven.org,801-583-1021,"Salt Lake City",UT,84108,
"Humane Society of Northern Utah",1adoptions@gmail.com,(801) 648-2719,"Farr West",UT,84404,
"Humane Society of Utah",adoptions@utahhumane.org,(801) 261-2919 option 4,"Murray",UT,84157,
"Iggy Palace Sighthound Rescue",iggypalacerescue@gmail.com,(435) 494-1146,"Willard",UT,84340,
"Iron County Animal Shelter",ironcountyshelter@gmail.com,435-867-7618,"Cedar City",UT,84721,
"Ivins Animal Shelter & Adoption Center serving Ivins and Santa Clara",strujillo@ivins.com,435-628-1049,"Ivins",UT,84738,
"LaVerkin Animal Shelter",patti.dekker@laverkincity.org,435-772-5441,"La Verkin",UT,84745,
"Moab City Animal Shelter",janette@moabcity.org,(435) 259-0199,"Moab",UT,84532,
"OC Small Paws",soutocsp@hotmail.com,435-215-9282,"Hurricane",UT,84737,
"One More Chance CATS/DOGS",onemorechance@infowest.com,,"St. George",UT,84790,
"Pack N' Pounce",bcousi@gmail.com,(801) 710-4105,"Ogden",UT,84404,
"Parowan Animal Shelter/Parowan Animal Assistance League",hanleymr@gmail.com,(435)  559-1122,"Parowan",UT,84761,
"Pet Samaritan Fund",petsamaritan@gmail.com,See phone number in bio,"Salt Lake City",UT,84109,
"Providing Animals With Support (PAWS)",info@dixiepaws.org,435 688-9748,"Saint George",UT,84790,
"Rescue Rovers Dog Adoptions",rescuerovers@gmail.com,(435) 565-4031,"Salt Lake City",UT,84171,
"RSQ DOGS",rsqdogsutah@gmail.com,(800) 897-1136,"St. George",UT,84790,
"Ruff Patch Rescue",adoptions@ruffpatchrescue.com,(801) 205-9149,"West Jordan",UT,84084,
"Salt Lake County Animal Services",adoptions@slco.org,(385) 468-7387,"Salt Lake City",UT,84123,
"Samoyed Rescue of Utah",samylady@live.com,Please e-mail,"Ogden",UT,84412,
"Second Chance for Homeless Pets",adopt@utahpetadoptions.org,801-590-8999,"Salt Lake City",UT,84107,
"Sheltie Rescue of Utah",barbaraedelberg@xmission.com,(801) 942-4762,"Sandy",UT,84093,
"South Jordan Animal Services",prasmussen@sjc.utah.gov,801-254-4708,"South Jordan",UT,84095,
"Summit County Animal Control",animalcontrol@summitcounty.org,435-336-3985,"Coalville",UT,84017,
"Uintah Animal Shelter",uintahacsssd@ubtanet.com,(435) 781-7297,"Vernal",UT,84078,
"Utah Animal Adoption Center",info@utahanimals.org,(801) 355-7387,"Salt Lake City",UT,84116,
"Utah Animal Advocacy Foundation",jennc@mac.com,801-467-8610,"Salt Lake City",UT,84165,
"Utah Critter Sanctuary & Ferret & Parrot Rescue Shelter inc.",utahcrittersanctuary@yahoo.com,801-808-1145,"Layton",UT,84041,
"Utah Friends of Basset Hounds",adopt@utahbassethoundrescue.com,801/466-2639,"Salt Lake City",UT,84108,
"Utah Labrador and Newfoundland Rescue",ulnrescue@gmail.com,(801) 836-2508,"West Jordan",UT,84084,
"Utah Valley Animal Rescue, Inc.",utahvalleyanimalrescue@gmail.com,385-355-4738,"Spanish Fork",UT,84660,
"Utah's Perfect Pointers",utahsperfectpointers@yahoo.com,,"Salt Lake City",UT,84108,
"Wasatch Animal Rescue",warescue@live.com,,"Salt Lake City",UT,84105,
"Washington City Animal Shelter",khustead@washingtoncity.org,435-673-7194,"Washington",UT,84780,
"West Jordan Animal Shelter",dane@wjordan.com,(801) 282-3951,"West Jordan",UT,84081,
"West Valley Animal Services",westvalleyshelter@gmail.com,801-965-5800,"West Valley City",UT,84044,
"Y-Not Save A Sam Rescue",ynotasam@gmail.com,(435) 752-4005,"Logan",UT,84321,
