Name,Email,Phone,City,State,Zip,Website
"180 Degree Rescue",pawsitiveassistance@gmail.com,540-555-5555,"Fredericksburg",VA,22408,
"4Paws Rescue Team",info@fourpaws.org,(703) 715-6369,"Merrifield",VA,22116,
"A Forever Home Rescue Foundation",petfinder@aforeverhome.org,(703) 961-8690,"Chantilly",VA,20153,
"A New Beginning Feline Rescue",gwenc4kittenrescue@verizon.net,757-848-3776,"Hampton",VA,23669,
"A Tail To Be Told Animal Rescue",atailtobetold@gmail.com,(540) 907-1843,"Fredericksburg",VA,22408,
"A Taste Of Heaven Sanctuary, Inc.",catdogheaven1@gmail.com,,"Charles City",VA,23030,
"Adopt A Spot Dalmatian Rescue",adoptaspotdalrescue@gmail.com,,"Chesapeake",VA,23321,
"Adopt Rescue Cats",adoptions@arc-cats.org,804-262-9592,"Richmond",VA,23227,
"Alleghany Humane Society Inc.",alleghanyhumanesociety@gmail.com,540-862-2436,"Covington",VA,24426,
"Ambassador Pit Bull Alliance",adopt@ambassadorpitbulls.org,,"Gainesville",VA,20155,
"Amelia County Animal Shelter",ameliaanimalshelter@ameliacova.com,(804) 561-3878,"Amelia",VA,23002,
"Angel Dogs, Inc.",angeldogs@helpangeldogs.org,,"Richmond",VA,23220,
"Angels of Assisi",jworrell@angelsofassisi.org,(540) 344-8707,"Roanoke",VA,24016,
"Anicira Veterinary Center",adoptions@anicira.org,(540) 217-2512,"Harrisonburg",VA,22802,
"Animal Adoption and Rescue Foundation",aarfva@hotmail.com,804-254-0800,"Richmond",VA,23227,
"Animal Aid Society",zannk@yahoo.com,757-865-0511,"Hampton",VA,23666,
"Animal Allies",jleach1234@aol.com,(703) 940-9183,"Fairfax Station",VA,22039,
"Animal Care Assistance Program (ACAP)",info@animalcareassistanceprogram.org,(540) 850-2680,"Louisa",VA,23093,
"Animal Connections",kstraley.ac@gmail.com,(434) 242-9925,"Louisa",VA,23093,
"Animal Defense League of Washington County, Inc.",info@adlwashcova.org,(877) 301-2290,"Abingdon",VA,24212,
