Name,Email,Phone,City,State,Zip,Website
"A Canine Gem Rescue",acaninegemrescue@gmail.com,(802) 989-1675,"Colchester",VT,5446,
"All Breed Rescue, Inc.",allbreedvt@allbreedrescuevt.com,802-489-5889,"Williston",VT,5495,
"Central Vermont Humane Society",info@centralvermonthumane.org,802-476-3811,"East Montpelier",VT,5651,
"Champlain Valley Canine Rescue",tammy@cvcaninerescue.org,,"Charlotte",VT,5445,
"Franklin County Animal Rescue",info@fcarpets.org,(802) 524-9650,"St. Albans",VT,5478,
"Gerda's Equine Rescue, Inc.",gerdasequinerescue@gmail.com,802.874.7213,"Townshend",VT,5359,
"Golden Huggs Rescue Inc",info@goldenhuggs.org,email only,"Waitsfield",VT,5673,
"Good Karma Rescue Inc.",goodkarmarescue@gmail.com,(802) 595-5110,"Montpelier",VT,5602,
"Green Mtn Pug Rescue",pugmama7@yahoo.com,802-279-8858,"Mendon",VT,5701,
"Heidi's Haven Rescue",heidishaven@gmail.com,,"Ferrisburgh",VT,5456,
"Homeward Bound Animal Welfare Center",wendy@homewardboundanimals.org,802-388-1100,"Middlebury",VT,5753,
"Justice For Dogs",justicefordogs@aol.com,(802) 472-3894,"Wolcott",VT,5680,
"Kingdom Animal Shelter, Inc",adoptions@kingdomanimalshelter.com,(802) 741-7387,"St. Johnsbury",VT,5819,
"Little Woof Small Dog Rescue Inc.",littlewoofvt@gmail.com,,"Essex Junction",VT,5453,
"Long Trail Canine Rescue",lisa@longtraildogs.org,,"Wilder",VT,5088,
"Lucy Mackenzie Humane Society",info@lucymac.org,802-484-5829,"Brownsville",VT,5037,
"Maple Leaf Mutts",mapleleafmutts@gmail.com,(802) 776-8010,"Rutland",VT,5701,
"New England Helps Greek Strays",nehgs@gmavt.net,,"Vergennes",VT,5491,
"Passion 4 Paws",passion4pawsvt@gmail.com,8024883440,"Shelburne",VT,5482,
"Poodle Rescue of Vermont",info@poodlerescuevt.org,802 497 4144,"Essex Junction",VT,5451,
"Pope Memorial Frontier Animal Shelter Inc.",animals@fasv.comcastbiz.net,802-754-2228,"Orleans",VT,5855,
"Potters Angels Rescue",info@pottersangelsrescue.org,,"Randolph Center",VT,5061,
"Random Rescue",randomrescue@gmail.com,(802) 433-5912,"Williamstown",VT,5679,
"Riverside Rescue",riversiderescue@hotmail.com,802-892-5300,"Lunenburg",VT,5906,
"Rutland County Humane Society",adoptions@rchsvt.org,(802) 483-6700,"Pittsford",VT,5763,
"Second Chance Animal Center",secondchance@wildblue.net,802-375-2898,"Shaftsbury",VT,5262,
"Springfield Humane Society Inc.",spfldhumane@vermontel.net,(802) 885-3997,"Springfield",VT,5156,
"Turtle Hill Farm Animal Sanctuary of VT",lucywgoodrum@earthlink.net,802-484-9034,"Reading",VT,5062,
"Vermont English Bulldog Rescue",staurolitefarm@aol.com,802-399-2559,"Williston",VT,5495,
"VT Dog Rescue",802dogrescue@gmail.com,(802) 482-2711,"Hinesburg",VT,5461,
"White River Animal Rescue",adoptions@whiteriveranimalrescue.org,,"White River Junction",VT,5001,
