Name,Email,Phone,City,State,Zip,Website
"6Dogrees Rescue",karleen@6dogrees.com,,"Seattle",WA,98106,
"A Paw Up Rescue",alphamom33@aol.com,,"Prosser",WA,99350,
"Aberdeen Scottish Terrier Rescue",savethescotties@gmail.com,,"Renton",WA,98056,
"Adams County Pet Rescue",adopt@adamscountypetrescue.com,509-855-1402,"Othello",WA,99344,
"Adopt Shelter Animal Pets - West Richland",asap.availablepets@gmail.com,(509) 416-6637,"West Richland",WA,99353,
"Adopt-A-Pet",thedoghouse3091@hotmail.com,(360) 432-3091,"Shelton",WA,98584,
"All Mutts Great and Small",allmuttsgreatandsmall@yahoo.com,(509) 469-2754,"Yakima",WA,98908,
"Alley Cat Project",alleycatproject206@gmail.com,(206) 745-0243,"Seattle",WA,98121,
"Almost Home Project",almosthomeproject@yahoo.com,(360) 508-0151,"Chehalis",WA,98532,
"Alternative Humane Society of Whatcom County",alternativehumanesociety@gmail.com,(360) 671-7445,"Bellingham",WA,98227,
"American Brittany Rescue-WA/MT/Canada",abr.wa@americanbrittanyrescue.org,1-866-274-8911,"Spokane",WA,99217,
"Angel Paws of Pend Oreille County",luckyusranch@gmail.com,509 447 3541,"Newport",WA,99156,
"Angel Paws Pet Rescue",angelahoschek@msn.com,EMAIL ONLY,"Seattle",WA,98168,
"Animal Aid and Rescue Foundation",info@myaarf.org,,"Seahurst",WA,98062,
"Animal Protection Society - Friday Harbor",pets2homes@interisland.net,360-378-2158,"Friday Harbor",WA,98250,
"Animal Rescue Families",arf@silverlink.net,360-698-6576,"Bremerton",WA,98337,
"Animals In Need",regina@animalsinneed.net,360 675-2785,"Oak Harbor",WA,98277,
"Another Chance Cat Adoption",anotherchancecats2007@gmail.com,(253) 856-1771,"Des Moines",WA,98198,
"Another Chance Rescue",wigglesandwags@comcast.net,360-749-6711,"Longview",WA,98632,
"ARRF Animal Rescue",arrfanimalrescue@gmail.com,,"Roslyn",WA,98941,
"Barks R Us Rescue",candcmears@bentonrea.com,509 -985-8628,"Yakima",WA,98901,
"Bel-West Cat Rescue & Adoption",chapmanzella@comcast.net,360-384-3981,"Bellingham",WA,98226,
"Benton-Franklin Humane Society",shelter@bfhs.com,(509) 374-4235,"Kennewick",WA,99336,
"Best Friend Rodent Rescue",adoptions@bfrr.org,,"Everett",WA,98208,
"Big Dog Rescue Project",bdrpinfo@gmail.com,,"Port Orchard",WA,98367,
"Blue Mountain Humane Society",adoptions@bluemountainhumane.org,509-525-2452,"Walla Walla",WA,99362,
"Buddy Pet Rescue",buddypetrescue@gmail.com,(425) 941-8908,"Arlington",WA,98223,
"BullsEye Dog Rescue",info@bullseyerescue.org,,"Seattle",WA,98122,
"C.V.C.S.R.",mike@cvcsr.com,(360) 477-6670,"Sequim",WA,98382,
"Camano Animal Shelter Association",camanoshelter@yahoo.com,360-387-1902,"Camano Island",WA,98282,
"Canine Connections",canineconnectionsrescue@gmail.com,425-831-2578,"Snoqualmie",WA,98065,
"Cascade Animal Protection Society",cascadeanimal@yahoo.com,(253) 863-8004,"Sumner",WA,98390,
"Cat Tales Rescue",cattaleswa@gmail.com,,"Bothell",WA,98021,
"Center Valley Animal Rescue",info@centervalleyanimalrescue.org,(360) 765-0598,"Quilcene",WA,98368,
"Charlie's Foundation",charliesfoundation@yahoo.com,4254446162,"Seattle",WA,98188,
"CHEW Dog Rescue - Canine Health Education and Welfare",pawsontherun@gmail.com,253 265-6235,"Gig Harbor",WA,98335,
"Collar of Hope",info@collarofhope.org,(253) 466-4634,"Olalla",WA,98359,
"Colville Pet Rescue",rescue@cprgroup.org,509-675-8484,"Colville",WA,99114,
"Concern for Animals",developmentdirectorcfa@gmail.com,(360) 489-1478,"Olympia",WA,98506,
"D.O.G (Dogs of the Gorge)",dogsofthegorge@yahoo.com,541-978-0079,"Wishram",WA,98673,
"Dachshund Rescue NW & Dachshund Club of Spokane",dragoonfr@hotmail.com,,"Spokane",WA,99224,
"Dalmatian Rescue of Puget Sound",rescue@dalmatianrescueofpugetsound.org,360-568-9504,"Lake Stevens",WA,98258,
"Dancing Dog Farm & Rescue",dancingdogrescue@hotmail.com,,"Rainier",WA,98576,
"Daze of Camelot Animal Sanctuary",dazeofcamelot@gmail.com,,"Moses Lake",WA,98837,
"Dog Gone Seattle",adopt@doggoneseattle.org,,"Seattle",WA,98165,
"Dog Rescue Around Washington",drawsdogs@gmail.com,,"Tacoma",WA,98418,
"Down Dog Rescue",downdogrescue@gmail.com,,"Seattle",WA,98125,
"EA WA Siberian Husky Rescue",rescue@ewsr.org,509 382-2383,"Colville",WA,99114,
"Emerald City Pet Rescue",info@emeraldcitypetrescue.org,(206) 557-4661,"Seattle",WA,98116,
"Emmit's Magic Animal Rescue",emmitsmagicanimalrescue@gmail.com,,"Olympia",WA,98501,
"Equine Aid Horse and Donkey Rescue",info@equineaid.org,,"Monroe",WA,98272,
"Family Tails",familytailsdogrescue@gmail.com,,"Oak Harbor",WA,98277,
"Feline Friends",info@feline-friends.net,(360) 866-0599,"Olympia",WA,98502,
"Feral Care",infothewholecat@gmail.com,(425) 576-5548,"Bothell",WA,98012,
"Ferry Dog Mothers",fkrokower@msn.com,,"Seattle",WA,98117,
"Flying Dogs Animal Rescue League",flyingdogsarl@gmail.com,(509)290-4680,"Spokane",WA,99202,
"Foggy Creek Cavy Rescue",foggycreekcavyrescue@yahoo.com,,"Auburn",WA,98092,
"Foreclosure Pets",darcy@foreclosurepetswa.org,,"Olympia",WA,98516,
"Forget-Me-Not Animal Shelter of Ferry County",adopt@forgetmenotshelter.org,(509) 775-2308,"Republic",WA,99166,
"Forgotten Dogs Rescue",forgotten.dogs.rescue@gmail.com,,"Seattle",WA,98115,
"Fox Terrier Fanciers of Puget Sound Rescue",kmartin44@earthlink.net,360-733-5735,"Seattle",WA,98115,
"Friends for Life Animal Rescue",fflar@friendsforliferescue.org,(360) 588-5777,"Burlington",WA,98233,
"Friends of the Animals Foundation",info@fafseattle.org,(206) 719-4864,"Seattle",WA,98125,
"Furbaby Rescue",elleny@comcast.net,email only,"Blaine",WA,98230,
"Furever Homes Rescue",furever_homes@yahoo.com,360-280-7744,"Olympia",WA,98501,
"Furry Friends",information@furryfriendswa.org,(360)993-1097,"Vancouver",WA,98661,
"Genevieve G. Animal Advocacy",gganimaladvocacy@gmail.com,,"Seattle",WA,98116,
"Ginger's Death Row Dog Rescue",ginger@gingerspetrescue.org,,"Shoreline",WA,98133,
"Grant County Animal Outreach",gcanimaloutreach@hotmail.com,509-762-9616,"Moses Lake",WA,98837,
"Grassroots Rescue",grassrootsrescuewa@gmail.com,,"Everett",WA,98201,
"Happy Tails Happy Homes",info@happytailshappyhomes.org,(360) 305-0196,"Bellingham",WA,98228,
"Harbor Association of Volunteers for Animals",hava@hava-heart.org,(360) 942-4716,"Raymond",WA,98595,
"HART (Hearthfire Animal Rescue Team)",hearthfireart@gmail.com,,"West Richland",WA,99353,
"Hearts4Doxies",hearts4doxies@gmail.com,,"Renton",WA,98058,
"Homeward Pet Adoption Center",info@homewardpet.org,425-488-4444,"Woodinville",WA,98072,
"Humane Society of Cowlitz County",cowlitzhumane@gmail.com,(360) 577 -0151,"Longview",WA,98632,
"Humane Society of Mason County",info@humanesocietyofmasoncounty.com,360 509 1704,"Allyn",WA,98524,
"Humane Society of Skagit Valley",humanesocietyofskagitvalley@gmail.com,(360) 757-0445,"Burlington",WA,98233,
"Imagine Peace for Pups",imaginepeaceforpups@gmail.com,(425) 466-6500,"Kirkland",WA,98034,
"Italian Greyhound Rescue Foundation",igplaygroup@mac.com,,"Northwest",WA,98117,
"Julias Jungle",juliasjungle@hotmail.com,509-922-6197,"Spokane Valley",WA,99216,
"JustCare Animal Rescue",justcarecats@gmail.com,,"Oakville",WA,98568,
"Karin's Kritters",kparish@whidbey.com,,"Clinton",WA,98236,
"Kitsap Animal Rescue & Education",adoptions@nwkare.org,(360) 731-2729,"Silverdale",WA,98383,
"Kitsap Humane Society",customerservice@kitsap-humane.org,360-692-6977,"Silverdale",WA,98383,
"Kitty Haven",kittyhavencats@yahoo.com,(253) 383-3013,"Tacoma",WA,98464,
"Kitty Kat Haven",kittyhavenwa@gmail.com,(360) 508-6112,"Chehalis",WA,98532,
"Kitty Korner at Humane Society of Cowlitz County",hsccoffmgr@qwestoffice.net,360-578-9691,"Longview",WA,98632,
"Lady's Hope Dog Rescue",info@ladys-hope.org,,"Seattle",WA,98144,
"Lavender Haven Sanctuary",lavenderhavensanctuary@gmail.com,,"Kelso",WA,98626,
"Left Behind K-9 Rescue",adoptions.leftbehindk9@gmail.com,,"Covington",WA,98042,
"Lily's Pad Rescue",lilyspadrescue@gmail.com,(360) 953-1033,"Vancouver",WA,98663,
"Little Blessings Rescue",adoptions@littleblessingsrescue.vpweb.com,206473-1111,"Seattle",WA,98115,
"Little Dudes Ferret Ranch",ferretcamp@gmail.com,206-659-5332,"Eastside",WA,98045,
"Little Lives Small Animal Rescue",littlelivesrescue@yahoo.com,(509) 850-0023,"Pasco",WA,99302,
"Lucky Paws Rescue",contact@luckypawsrescuewa.org,(253) 229-6044,"Tacoma",WA,98448,
"Main Street Mutt Rescue",mainstreetmuttrescue@gmail.com,(360) 319-4426,"Ferndale",WA,98248,
"Mikey's Chance Canine Rescue",mikeyschance@gmail.com,,"West Richland",WA,99353,
"Mostly Mutts Animal Rescue",mostlymutts@yahoo.com,3605138887,"Washougal",WA,98671,
"Motley Zoo Animal Rescue",adopt@motleyzoo.org,206-453-8480,"Redmond",WA,98053,
"Must Love Dogs NW",incoming@mustlovedogsnw.org,18443647690,"Vancouver",WA,98687,
"MustLuvBoxers Rescue",mustluvboxersrescue@comcast.net,206-778-9457,"Edmonds",WA,98020,
"N.W. Bird Rescue",northwestbirdrescue@gmail.com,(360) 247-3626,"Vancouver",WA,98682,
"New Moon Farm Goat Rescue & Sanctuary",adopt@newmoonfarm.org,(844) 438-4628,"Arlington",WA,98223,
"NOAH",adopt@thenoahcenter.org,360-629-7055,"Stanwood",WA,98292,
"North Beach PAWS",debalaldeb@gmail.com,,"Ocean Shores",WA,98569,
"Northwest Animal Rescue and Rehabilitation (NWARR)",nwarradopt@gmail.com,,"Renton",WA,98058,
"Northwest Boxer Rescue",nwboxerrescue@hotmail.com,(509) 607-4740,"Woodinville",WA,98072,
"Northwest German Shepherd Rescue",info@northwestgermanshepherd.org,,"Bothell",WA,98041,
"Northwest International Pet Rescue",info@nwipr.org,Email Please,"Edmonds",WA,98026,
"NW Pixie Bob Rescue",nwpixiebobrescue@yahoo.com,425-358-1284,"Seattle",WA,98065,
"NW Snowdog Rescue",nwsnowdogrescue@aol.com,,"Deer Park",WA,99006,
"Oasis for Animals",oasis@whidbey.com,(360) 321-4142,"Langley",WA,98260,
"Okandogs",tomoshort1@gmail.com,5096704937,"Cashmere",WA,98815,
"Okanogan Regional Spay & Neuter Project (OK-SNIP)",oksnip@gmail.com,509-422-9960,"Okanogan",WA,98840,
"Olympic Peninsula Equine Network (OPEN)",olypenequinenet@gmail.com,360-207-1688,"Sequim",WA,98382,
"Olympic Peninsula Humane Society",justine@ophumanesociety.org,360-457-8206,"Port Angeles",WA,98363,
"Orcas Animal Protection Society",info@orcaspets.org,(360) 376-6777,"Eastsound",WA,98245,
"Out West Pet Rescue",outwestpetrescue@yahoo.com,(509) 832-3060,"Prosser",WA,99350,
"Pacific Animal Society",pas4change@gmail.com,,"Vancouver",WA,98682,
"Pacific Northwest KUVASZ Rescue",vicki@animalsreign.com,,"Seattle",WA,98125,
"Pacos Rescue Network",pacosrescue@yahoo.com,,"Redmond",WA,98052,
"Partners For Pets",unicornjmg@comcast.net,509- 893-9829,"Spokane Valley",WA,99037,
"Pasados Safe Haven",adoption@pasadosafehaven.org,(360) 793-9393,"Sultan",WA,98294,
"PAWS",info@paws.org,(425) 787-2500,"Lynnwood",WA,98037,
"PAWS of Bainbridge Island/North Kitsap",catadopt@pawsbainbridge.org,(206) 842-2451,"Bainbridge Island",WA,98110,
"PAWS of Bremerton",paws@pawsofbremerton.org,(360) 373-7043,"Bremerton",WA,98310,
"Peninsula Friends of Animals",safehavenpfoa@gmail.com,(360) 452-0414,"Sequim",WA,98382,
"Pet Health Clinic",sunnysidedvm@gmail.com,5098374166,"Sunnyside",WA,98944,
"Pet Medical Center of Pasco",stephanie@blyleesoasis.com,509-545-4931,"Pasco",WA,99301,
