Name,Email,Phone,City,State,Zip,Website
"A Promise of Love",apromiseoflove@gmail.com,,"Beloit",WI,53511,
"A.R.V.S.S.",arvssinfo@yahoo.com,,"Sun Prairie",WI,53590,
"A.S.A.P. - Associated Society Animal Protection",spartaasapshelter@gmail.com,(608) 269-3525,"Sparta",WI,54656,
"Adams County Humane Society",achs@adamscountyhumanesociety.org,608-339-6700,"Friendship",WI,53934,
"Affinity Rescue, Inc",affinityrescue20@yahoo.com,608-697-8803,"Pardeeville",WI,53954,
"Akita Rescue and Rehabilitation of Wisconsin ARROW",akitarescuewisconsin@gmail.com,,"East Troy",WI,53120,
"Almost Home Kitty Rescue",info@almosthomekittyrescue.org,,"Neenah",WI,54956,
"Amazing Grace Equine Sanctuary",agesrescue@gmail.com,262-627-0582,"Elkhart Lake",WI,53020,
"American Brittany Rescue-WI/MN/SD/ND",abr.wi@americanbrittanyrescue.org,(866) 274-8911,"Manitowoc",WI,54220,
"Angel's Wish, Inc.",info@angelswish.org,608-848-4174,"Verona",WI,53593,
"Arfs German Shepherd Rescue Inc",gsd@arfrescue.com,,"Lodi",WI,53555,
"Barkley's Forever Friends - Milwaukee",barkleysforeverfriends@gmail.com,(414) 771-7201,"Wauwatosa",WI,53213,
"Basset Buddies Rescue",info@bbrescue.org,(262) 347-8823,"Milwaukee",WI,53213,
"Bichon and Little Buddies Rescue",bichonandlittlebuddies@gmail.com,414-750-0152,"Mukwonago",WI,53149,
"Blind Dog Rescue Alliance, Inc.",info@blinddogrescue.com,877-BLIND-01,"Deforest",WI,53532,
"Brew City Bully Club",adopt@brewcitybullies.org,,"Greendale",WI,53129,
"Brown Paws Rescue",brownpawsrescue@gmail.com,608-215-5908,"Waunakee",WI,53597,
"Buffalo County Humane Association",bchapets@yahoo.com,(715) 579-7017,"Mondovi",WI,54755,
"Canine Cupids",adoptacupid@gmail.com,,"Milwaukee",WI,53214,
"Carl W. Nelson Animal Shelter",fostercwnas@yahoo.com,608-847-4060,"Mauston",WI,53948,
"CASA (Crawford Area Shelters for Animals), Inc.",casarescue1999@gmail.com,(608) 648-2461,"Ferryville",WI,54628,
"Catkins Animal Rescue, Inc",catkins_wi@yahoo.com,(715) 762-0122,"Park Falls",WI,54552,
"Center for Animal Rehab",care4rehab@gmail.com,(262) 875-4115,"Waukesha",WI,53186,
"Charming Felines",info@charmingfelines.com,(920) 604-3230,"Marinette",WI,54143,
"Chasing Daylight Animal Shelter",manager@chasingdaylight.org,608-374-2112,"Tomah",WI,54660,
"Chequamegon Humane Association, Inc",cheqhumane@gmail.com,(715) 682-9744,"Ashland",WI,54806,
"Clark County Humane Society",cchs2adopt@hotmail.com,(715) 743-4550,"Neillsville",WI,54456,
"Cocker Spaniel Resources Inc.",infocsresources@gmail.com,(715) 222-9532,"Hudson",WI,54016,
"Columbia County Humane Society",savink9s@aol.com,608-742-3666,"Portage",WI,53901,
"Community Cat, Inc.",communitycat@yahoo.com,608-201-3241,"Whitewater",WI,53190,
"Coulee Region Humane Society Inc.",amber.grosch@couleehumane.com,608.781.4014,"Onalaska",WI,54603,
"Crazy Ladies Cat Rescue",imems@yahoo.com,(920) 290-5571,"Berlin",WI,54923,
