Name,Email,Phone,City,State,Zip,Website
"A Reason To Believe Animal Rescue (ARTBAR)",artbar.wv@gmail.com,(304) 784-6678,"Lenore",WV,25676,
"Animal Friends of Barbour County",animalfriendsweb@yahoo.com,304-823-2012,"Philippi",WV,26416,
"Animal Friends of North Central West Virginia",afwvdirector@gmail.com,(304) 290-4738,"Dellslow",WV,26531,
"Animal Medical Center Morgantown",clientservices@morgantownamc.com,304-292-0126,"Morgantown",WV,26505,
"Animal Welfare Society of Jefferson County",adoptions@awsjc.org,304-725-0589,"Kearneysville",WV,25430,
"ARF, Inc. (Animal Rights Fur-ever)",arf+int+42+6000458887407815865@groups.io,,"Evans",WV,25241,
"Berkeley County Humane Society",slpersad@comcast.net,(304) 267-8389,"Martinsburg",WV,25405,
"Briggs Animal Adoption Center",adopt@baacs.org,304-724-6558,"Charles Town",WV,25414,
"Brooke County Animal Shelter",animalshelterbc@yahoo.com,304-394-0800,"Beechbottom",WV,26030,
"Doddridge County Humane Society, Inc.",dchsfamily99@gmail.com,304-782-4900,"Salem",WV,26426,
"Fayette County Animal Control Center",fcacc@ymail.com,(304) 574-3682,"Fayetteville",WV,25840,
"For the Love of All",ftloa@fortheloveofall.org,(304) 320-6110,"Pipestem",WV,25979,
"Friends for Life Inc.",wvcompanions@yahoo.com,(304) 667-1387,"Lewisburg",WV,24901,
"Friends Fur Life Rescue",applications@friendsfurliferescue.com,,"Berkeley Springs",WV,25411,
"Furever Love Rescue",fureverloverescue@yahoo.com,,"Hedgesville",WV,25427,
"Give Purrs A Chance",catcafe@givepurrsachance.org,(304) 258-7299,"Berkeley Springs",WV,25411,
"Greenbrier Humane Society",greenbrierhumanesociety@gmail.com,(304) 645-4775,"Lewisburg",WV,24901,
"Hampshire County Animal Control",hampshirecountyac@gmail.com,(304) 359-0226,"Paw Paw",WV,25434,
"Hampshire County Pet Adoption Program",hcpapdogs@hotmail.com,(304) 856-2696,"High View",WV,26808,
"Heart of Phoenix Equine Rescue, INC",equinerescue@live.com,,"Huntington",WV,25704,
"Helping Hand Pet Rescue of West Virginia",chvychevy1@msn.com,(304) 415-5463,"Saint Albans",WV,25177,
"Homeward Bound WV",contact@homewardboundwv.org,,"Morgantown",WV,26504,
"Humane Society of Harrison County",info@hshcwv.org,304-592-1600,"Shinnston",WV,26431,
"Humane Society of Morgan County",hsmc-wv@peoplepc.com,(304) 258-5592,"Berkeley Springs",WV,25411,
"Humane Society of Parkersburg",adoptions@hsop.org,(304) 422-5541,"Parkersburg",WV,26101,
"Humane Society of Raleigh County Inc.",rcpets13@yahoo.com,304-253-8921,"Beckley",WV,25802,
"Itty Bitty Kitty Committee, WV",cats4rescue@gmail.com,,"Charleston",WV,25364,
"Jefferson County Animal Control",jeffersoncountyanimalcontrol@gmail.com,(304) 728-3289,"Kearneysville",WV,25430,
"Lewis-Upshur Animal Control Facility",jlcochran@upshurcounty.org,304-472-3865,"Buckhannon",WV,26201,
"Marion County Humane Society",informationmcwvhs@gmail.com,304-366-5391,"Fairmont",WV,26554,
