Name,Email,Phone,City,State,Zip,Website
"3 Dog Rescue",kathy@3dogrescue.com,(307)587-4794,"Cody",WY,82414,
"Animal Adoption Center",adopt@animaladoptioncenter.org,307-739-1881,"Jackson",WY,83002,
"Animal Humane Association of Star Valley",luckysplace307@gmail.com,(307) 883-7387,"Thayne",WY,83127,
"Black Dog Animal Rescue",bdar@bdar.org,307-214-6600,"Cheyenne",WY,82009,
"Cheyenne Animal Shelter",info@caswy.org,(307) 632-6655,"Cheyenne",WY,82007,
"City/County Animal Shelter",actl@gillettewy.gov,(307) 686-5249,"Gillette",WY,82716,
"Green River Animal Control Shelter",kwilkins@cityofgreenriver.org,307-872-0570,"Green River",WY,82935,
"Happy Endings Animal Rescue",happyendingsanimalrescue23@gmail.com,(307) 360-6000,"Pinedale",WY,82941,
"Herding Rescue Dogs of Wyoming",wyoasr@gmail.com,(307) 752-0812,"Sheridan",WY,82801,
"Jackson/Teton County Animal Shelter",animalshelter@ci.jackson.wy.us,307 733-2139,"Jackson",WY,83002,
"Kindness Ranch Animal Sanctuary",adoptions@kindnessranch.org,(307) 331-0445,"Hartville",WY,82215,
"Lander Pet Connection Inc.",adoptions@landerpets.org,(307)330-5200,"Lander",WY,82520,
"Laramie Animal Welfare Society",contact@laramieanimals.org,307-745-4586,"Laramie",WY,82073,
"Laramie Peak Humane Society",laramiepeakhumanesociety@gmail.com,(307) 358-6475,"Douglas",WY,82633,
"Metro Animal Services",rsulzen@cityofcasperwy.com,307-235-8398/307-235-8399,"Casper",WY,82601,
"New Hope Humane Society",newhope@rtconnect.net,307-347-2324,"Worland",WY,82401,
"Park County Animal Shelter",manager@parkcountyanimalshelter.com,(307) 587-5110,"Cody",WY,82414,
"Paws and Claws Animal Adoption and Care Center, Inc.",pawsandclawsanimals@hotmail.com,(307) 723-0070,"Diamondville",WY,83116,
"Paws for Life Animal League and Riverton Animal Adoption Center",shelter@pawsriverton.com,307/857-6002,"Riverton",WY,82501,
"Pet Pals Inc. of Goshen County",adoptiondepartment@petpalsinc.org,307-532-3861,"Hawk Springs",WY,82217,
"Rawlins Rochelle Animal Shelter",lmanley@rawlins-wyoming.com,(307) 328-4534,"Rawlins",WY,82301,
"Red Desert Humane Society",rshumanesociety@gmail.com,(307) 362-1636,"Rock Springs",WY,82901,
"Second Chance Sheridan Cat Rescue",secondchance@sheridancatrescue.org,(307) 461-9555,"Sheridan",WY,82801,
"Sheridan Dog & Cat Shelter Inc.",dogncat@fiberpipe.net,307-674-7694,"Sheridan",WY,82801,
"Small Town Community Cats INC",stkitties68@yahoo.com,(307) 260-6722,"La Barge",WY,83123,
"Town of Pinedale Animal Control",parriscrooks@townofpinedale.us,307-367-3892,"Pinedale",WY,82941,
"Waggin' Tails Shelter",waggin_tails_shelter@hotmail.com,307-532-7001,"Torrington",WY,82240,
"Western Australian Shepherd Rescue",westernaussierescue@gmail.com,,"Sheridan",WY,82801,
"Yola and Boogy Fund",yolaandboogy@gmail.com,(307) 631-3814,"Cheyenne",WY,82009,
