Name,Email,Phone,City,State,Address,Website,Facebook,Instagram
"Houston SPCA",,(713) 869-7722,"where holiday magic meets wa... Stay in the Loop Stay up-to-date with the latest stories from Houston SPCA on Tracks & Tails! View More News Our Partners Join for our newsletter Thank you for signing up for our newsletter. Donate William &amp; Evelyn Griffin Campus for All Animals 7007 Old Katy Road Houston",TX,"37th annual Homes for the Holidays event, where holiday magic meets wa... Stay in the Loop Stay up-to-date with the latest stories from Houston SPCA on Tracks & Tails! View More News Our Partners Join for our newsletter Thank you for signing up for our newsletter. Donate William &amp; Evelyn Griffin Campus for All Animals 7007 Old Katy Road Houston, TX 77024",https://houstonspca.org,https://facebook.com/houstonspca,https://instagram.com/houstonspca
"Houston SPCA",,(713) 869-7722,"where holiday magic meets wa... Stay in the Loop Stay up-to-date with the latest stories from Houston SPCA on Tracks & Tails! View More News Our Partners Join for our newsletter Thank you for signing up for our newsletter. Donate William &amp; Evelyn Griffin Campus for All Animals 7007 Old Katy Road Houston",TX,"37th annual Homes for the Holidays event, where holiday magic meets wa... Stay in the Loop Stay up-to-date with the latest stories from Houston SPCA on Tracks & Tails! View More News Our Partners Join for our newsletter Thank you for signing up for our newsletter. Donate William &amp; Evelyn Griffin Campus for All Animals 7007 Old Katy Road Houston, TX 77024",https://www.houstonspca.org,https://facebook.com/houstonspca,https://instagram.com/houstonspca
"Houston Humane Society",info@houstonhumane.org,(713) 433-6421,"",,"",https://houstonhumane.org,https://facebook.com/HoustonHumaneSociety,https://instagram.com/houstonhumane
"Houston Humane Society",info@houstonhumane.org,(713) 433-6421,"",,"",https://www.houstonhumane.org,https://facebook.com/HoustonHumaneSociety,https://instagram.com/houstonhumane
"Houston Pets Alive",info@houstonpetsalive.org,(176) 495-9813,"",,"",https://www.houstonpetsalive.org,https://facebook.com/HoustonPetsAlive14,https://instagram.com/houstonpetsalive
"Austin Humane Society",,(176) 944-8847,"",,"",https://austinhumanesociety.org,https://facebook.com/austinhumanesociety,https://instagram.com/austin_humane
"Austin Humane Society",,(176) 944-8847,"",,"",https://www.austinhumanesociety.org,https://facebook.com/austinhumanesociety,https://instagram.com/austin_humane
"Austin Animal Rescue",contact@newhopesaveslives.org,(155) 127-8050,"000 Match — Just $921 t ✨ 𝐃𝐎𝐔𝐁𝐋𝐄 𝐘𝐎𝐔𝐑 𝐈𝐌𝐏𝐀𝐂𝐓 — 𝐓𝐎𝐃𝐀𝐘 𝐭𝐡𝐫𝐨𝐮𝐠𝐡 𝐂𝐡𝐫𝐢𝐬𝐭𝐦𝐚𝐬 𝐄𝐯𝐞 Load More Follow on Instagram YouTube Video VVVIQ1dWXzdEa0p4QmxjVVF0c3JjcDNBLm01SlViQXNnYzdV Goose was adopted! Our tiniest life saved last week Gracie &amp; Maudie&#039;s Rescue Story Load More... Subscribe New Hope Champions Celebrating Top Benefactors Who Champion Our Life-Saving Cause: Bringing Hope to Homeless Pets Our Partners contact@NewHopeSavesLives.org New Hope Animal Rescue NFP P.O. Box 40443 Austin",TX,"2026! C 𝐄𝐯𝐞𝐫𝐲 𝐠𝐢𝐟𝐭 𝐦𝐚𝐝𝐞 𝐛𝐞𝐟𝐨𝐫𝐞 𝐦𝐢𝐝𝐧𝐢𝐠𝐡𝐭 𝐨𝐟𝐟𝐞𝐫𝐬 𝐡𝐨𝐩𝐞 𝐭𝐨 𝐦𝐨𝐫 Help Us Unlock Our Full $5,000 Match — Just $921 t ✨ 𝐃𝐎𝐔𝐁𝐋𝐄 𝐘𝐎𝐔𝐑 𝐈𝐌𝐏𝐀𝐂𝐓 — 𝐓𝐎𝐃𝐀𝐘 𝐭𝐡𝐫𝐨𝐮𝐠𝐡 𝐂𝐡𝐫𝐢𝐬𝐭𝐦𝐚𝐬 𝐄𝐯𝐞 Load More Follow on Instagram YouTube Video VVVIQ1dWXzdEa0p4QmxjVVF0c3JjcDNBLm01SlViQXNnYzdV Goose was adopted! Our tiniest life saved last week Gracie &amp; Maudie&#039;s Rescue Story Load More... Subscribe New Hope Champions Celebrating Top Benefactors Who Champion Our Life-Saving Cause: Bringing Hope to Homeless Pets Our Partners contact@NewHopeSavesLives.org New Hope Animal Rescue NFP P.O. Box 40443 Austin , TX 78704",https://austinanimalrescue.org,https://facebook.com/pg,https://instagram.com/nhgivelife
"Austin Pets Alive",info@austinpetsalive.org,(512) 961-6519,"Austin",TX,"511 foster placements in 2024. Our Programs Our Sponsors Get the latest updates Subscribe to our Newsletter Main Location 1156 West Cesar Chavez, Austin, TX 78703",https://www.austinpetsalive.org,https://facebook.com/tr,https://instagram.com/austinpetsalive
"Sanantonio Pets Alive",info@sanantoniopetsalive.org,(210) 332-5441,"San Antonio",TX,"26&#8242; Woodlawn Park 1103 Cincinnati Ave, San Antonio, TX 78201",https://www.sanantoniopetsalive.org,https://facebook.com/sapetsalive,https://instagram.com/sapetsalive
"Fortworth Pets Alive",info@dallaspetsalive.org,(214) 444-9372,"",,"",https://www.fortworthpetsalive.org,https://facebook.com/DallasPetsAlive,https://instagram.com/dallaspetsalive
"Arlington Humane Society",,(666) 666-6666,"",,"",https://arlingtonhumanesociety.org,https://facebook.com/arlingtonhumanesociety,
"Arlington Humane Society",,(666) 666-6666,"",,"",https://www.arlingtonhumanesociety.org,https://facebook.com/arlingtonhumanesociety,
"Plano Animal Shelter",,(204) 061-2340,"",,"",https://planoanimalshelter.org,https://facebook.com/cityofplanotx,https://instagram.com/cityofplano
