Name,Email,Phone,City,State,Zip
"Gastineau Humane Society",kennel@ghspets.org,(907)789-0260,"Juneau",AK,99801
"Haines Animal Rescue Kennel",info@harkalaska.org,(907)766-3334,"Haines",AK,99827
"Southeast Alaska Organization for Animals",adopt@aksofa.org,(907) 957-9059,"Juneau",AK,99803
"2nd Chance Animal Sanctuary",sshaffer01@bellsouth.net,205-910-4423,"Hayden",AL,35079
"4Legs4Justice Animal Advocate and Rescue",4legs4justice@gmail.com,,"Anniston",AL,36202
"A New Leash on Life, Inc.",pets@anewleash.org,(256)489-PETS(7387),"Huntsville",AL,35741
"Adopt A Golden Birmingham",info@adoptagoldenbirmingham.com,(205) 290-7788,"Birmingham",AL,35236
"Adopt a Kitty",marla@adopt-a-kitty.org,251-404-0022,"Mobile",AL,36619
"Aide for Animals",bhaas@aideforanimals.org,251-463-1688,"Mobile",AL,36605
"Alabama Animal Adoption Society",aaas2808@gmail.com,205-871-6351,"Homewood",AL,35209
"Alabama Animal Welfare Organization",kristymobley17@hotmail.com,,"Mobile",AL,36601
"Alabama Rabbit Rescue",alabamarabbitrescue@gmail.com,,"Birmingham",AL,35243
"Alabama Siberian Husky Rescue, Inc.",info@alsiberianhuskyrescue.com,,"Clay",AL,35048
"Alabama SPCA",adopt@alabamaspca.org,(205) 440-3647,"Tuscaloosa",AL,35401
"All About Dogs Coastal Rescue",allaboutdogscr@gmail.com,,"Magnolia Springs",AL,36555
"Andalusia Area Humane Society",aahs@andycable.com,(334) 582-2665,"Andalusia",AL,36420
"Animal Rescue Foundation",inquiries@animalrescuemobile.org,(251) 586-5534,"Mobile",AL,36605
"Arab Animal Shelter",arabanimalshelter@gmail.com,256-931-7270,"Arab",AL,35016
"ASPCI",aspci.org@gmail.com,,"Pell City",AL,35128
"Athens Limestone Animal Shelter",thedogpound7889@yahoo.com,256-771-7889,"Athens",AL,35611
"Baldwin County Humane Society (BARC!)",info@baldwinhumane.org,(251) 928-4585,"Fairhope",AL,36532
"Bama Bully Rescue",mail@bamabully.org,,"Birmingham",AL,35201
"Basset Hound Rescue of Alabama Inc.",operations@bhral.org,(888) 501-2472,"Northport",AL,35476
"Bibb County AL Pound",friendsofbibbcountyalpound@yahoo.com,205-340-1316,"Brent",AL,35034
"Bigbee Humane Society",bigbeehumane@gmail.com,,"Demopolis",AL,36732
"Blair Humane Society",ron@fcdf.org,205 274 9971,"Cleveland",AL,35049
"Bow Wows and Meows Pet Rescue",vw329@aol.com,,"Seale",AL,36875
"Buddy's Buddies Animal Rescue, Inc",bbar@rescueteam.com,863-257-4228,"Alexander City",AL,35010
"C.H.A.R.M., Inc. (City of Headland Animal Rescue Mission)",charmheadland@gmail.com,334-693-9097,"Headland",AL,36345
"CAAWA",caawarescue@yahoo.com,256-636-4627,"Cullman",AL,35056
"Callie's Place",traceymrobertson@aol.com,2057920197,"Northport",AL,35473
"Challenger's House",challengershouse@mchsi.com,256-420-5995,"Toney",AL,35773
"Cherokee Humane Society, Inc.",humanesociety@tds.net,256-779-7159,"Cedar Bluff",AL,35959
"City of Mobile Animal Shelter",lursene@cityofmobile.org,251-208-2800,"Mobile",AL,36604
"Clarke County Animal Shelter",clarkecoshelter@gmail.com,(251) 275-1055,"Grove Hill",AL,36451
"Clay County Animal Shelter",claycountyanimalshelter@gmail.com,256-354-1453,"Ashland",AL,36251
