Name,Email,Phone,City,State,Website,Type,Notes
ASPCA,partnerships@aspca.org,,New York,NY,https://www.aspca.org,National,Major national org - reach out to local chapters
Best Friends Animal Society,info@bestfriends.org,435-644-2001,Kanab,UT,https://bestfriends.org,National,Network of 3000+ partners
The Humane Society of the United States,partnerships@humanesociety.org,,Washington,DC,https://www.humanesociety.org,National,Largest animal welfare org
Petfinder Foundation,info@petfinderfoundation.com,,Tucson,AZ,https://www.petfinderfoundation.com,National,Works with 11000+ shelters
Austin Pets Alive!,info@austinpetsalive.org,512-961-6519,Austin,TX,https://www.austinpetsalive.org,Regional,Large no-kill shelter
North Shore Animal League,info@animalleague.org,516-883-7575,Port Washington,NY,https://www.animalleague.org,Regional,World's largest no-kill rescue
San Diego Humane Society,info@sdhumane.org,619-299-7012,San Diego,CA,https://www.sdhumane.org,Regional,Major California shelter
PAWS Chicago,info@pawschicago.org,773-935-7297,Chicago,IL,https://www.pawschicago.org,Regional,Midwest leader
Atlanta Humane Society,info@atlantahumane.org,404-875-5331,Atlanta,GA,https://www.atlantahumane.org,Regional,Southeast leader
Seattle Humane,info@seattlehumane.org,425-641-0080,Bellevue,WA,https://www.seattlehumane.org,Regional,Pacific Northwest
Arizona Humane Society,info@azhumane.org,602-997-7585,Phoenix,AZ,https://www.azhumane.org,Regional,Arizona's largest
Houston SPCA,info@houstonspca.org,713-869-7722,Houston,TX,https://www.houstonspca.org,Regional,Texas largest
Pennsylvania SPCA,info@pspca.org,866-243-7722,Philadelphia,PA,https://www.pspca.org,Regional,Historic shelter (1867)
Oregon Humane Society,info@oregonhumane.org,503-285-7722,Portland,OR,https://www.oregonhumane.org,Regional,Pacific Northwest
Animal Humane Society,info@animalhumanesociety.org,763-522-4325,Golden Valley,MN,https://www.animalhumanesociety.org,Regional,Minnesota largest
Denver Dumb Friends League,info@ddfl.org,303-751-5772,Denver,CO,https://www.ddfl.org,Regional,Colorado largest
Anti-Cruelty Society,info@anticruelty.org,312-644-8338,Chicago,IL,https://www.anticruelty.org,Regional,Chicago area
Nashville Humane Association,info@nashvillehumane.org,615-352-1010,Nashville,TN,https://www.nashvillehumane.org,Regional,Tennessee
KC Pet Project,info@kcpetproject.org,816-513-9821,Kansas City,MO,https://www.kcpetproject.org,Regional,Missouri/Kansas
Dumb Friends League,info@ddfl.org,303-751-5772,Denver,CO,https://www.ddfl.org,Regional,Rocky Mountain region
Lucky Dog Animal Rescue,info@luckydoganimalrescue.org,,Washington,DC,https://www.luckydoganimalrescue.org,Foster-based,DC/VA/MD area
Big Dog Ranch Rescue,info@bfrr.org,561-791-6465,Loxahatchee,FL,https://www.bigdogranchrescue.org,Breed-specific,Florida - large dogs
Golden Retriever Rescue of Atlanta,info@grra.com,,Atlanta,GA,https://www.grra.com,Breed-specific,Southeast goldens
Labrador Retriever Rescue of Florida,info@lrrof.org,,Orlando,FL,https://www.lrrof.org,Breed-specific,Florida labs
Pit Bull Rescue Central,info@pbrc.net,,,https://www.pbrc.net,Breed-specific,National pit bull network
German Shepherd Rescue of New England,info@gsrne.org,,,https://www.gsrne.org,Breed-specific,Northeast GSDs
Greyhound Pets of America,info@greyhoundpets.org,,,https://www.greyhoundpets.org,Breed-specific,National greyhound rescue
